name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Evolving Wilds,common
Plummet,common
+2 Mace,common
Arborea Pegasus,common
Blink Dog,uncommon
The Book of Exalted Deeds,mythic
Celestial Unicorn,common
Cleric Class,uncommon
Cloister Gargoyle,uncommon
A-Cloister Gargoyle,uncommon
Dancing Sword,rare
Dawnbringer Cleric,common
A-Dawnbringer Cleric,common
Delver's Torch,common
Devoted Paladin,common
Divine Smite,uncommon
Dragon's Disciple,uncommon
Dwarfhold Champion,common
A-Dwarfhold Champion,common
Flumph,rare
Gloom Stalker,common
Grand Master of Flowers,mythic
Guardian of Faith,rare
Half-Elf Monk,common
"Icingdeath, Frost Tyrant",mythic
Ingenious Smith,uncommon
Keen-Eared Sentry,uncommon
Loyal Warhound,rare
Minimus Containment,common
Monk of the Open Hand,uncommon
Moon-Blessed Cleric,uncommon
"Nadaar, Selfless Paladin",rare
Oswald Fiddlebender,rare
Paladin Class,rare
Paladin's Shield,common
Planar Ally,common
Plate Armor,uncommon
A-Plate Armor,uncommon
Portable Hole,uncommon
Potion of Healing,common
Priest of Ancient Lore,common
Rally Maneuver,uncommon
Ranger's Hawk,common
Steadfast Paladin,common
Teleportation Circle,rare
Veteran Dungeoneer,common
White Dragon,uncommon
You Hear Something on Watch,common
You're Ambushed on the Road,common
Aberrant Mind Sorcerer,uncommon
Air-Cult Elemental,common
Arcane Investigator,common
Bar the Gate,common
The Blackstaff of Waterdeep,rare
Blue Dragon,uncommon
Charmed Sleep,common
Clever Conjurer,common
Contact Other Plane,common
Demilich,mythic
A-Demilich,mythic
Displacer Beast,uncommon
Djinni Windseer,common
Dragon Turtle,rare
Eccentric Apprentice,uncommon
Feywild Trickster,uncommon
Fly,uncommon
"Grazilaxx, Illithid Scholar",rare
Guild Thief,uncommon
"Iymrith, Desert Doom",mythic
Mind Flayer,rare
Mordenkainen,mythic
Mordenkainen's Polymorph,common
Pixie Guide,common
Power of Persuasion,uncommon
Ray of Frost,uncommon
Rimeshield Frost Giant,common
Scion of Stygia,common
Secret Door,common
Shocking Grasp,common
Shortcut Seeker,common
Silver Raven,common
Soulknife Spy,common
Split the Party,uncommon
Sudden Insight,uncommon
Tasha's Hideous Laughter,rare
Trickster's Talisman,uncommon
True Polymorph,rare
Wizard Class,uncommon
A-Wizard Class,uncommon
Wizard's Spellbook,rare
You Come to a River,common
You Find the Villains' Lair,common
You See a Guard Approach,common
Yuan-Ti Malison,rare
Acererak the Archlich,mythic
A-Acererak the Archlich,mythic
Asmodeus the Archfiend,rare
Baleful Beholder,common
Black Dragon,uncommon
The Book of Vile Darkness,mythic
Check for Traps,uncommon
Clattering Skeletons,common
Deadly Dispute,common
Death-Priest of Myrkul,uncommon
A-Death-Priest of Myrkul,uncommon
Demogorgon's Clutches,uncommon
Devour Intellect,common
Drider,uncommon
Dungeon Crawler,uncommon
"Ebondeath, Dracolich",mythic
Eyes of the Beholder,common
Fates' Reversal,common
A-Fates' Reversal,common
Feign Death,common
Forsworn Paladin,rare
Gelatinous Cube,rare
Grim Bounty,common
Grim Wanderer,uncommon
Herald of Hadar,common
Hired Hexblade,common
Hoard Robber,common
Lightfoot Rogue,uncommon
"Lolth, Spider Queen",mythic
Manticore,common
Power Word Kill,uncommon
Precipitous Drop,common
A-Precipitous Drop,common
Ray of Enfeeblement,uncommon
Reaper's Talisman,uncommon
Sepulcher Ghoul,common
A-Sepulcher Ghoul,common
Shambling Ghast,common
Skullport Merchant,uncommon
Sphere of Annihilation,rare
Thieves' Tools,common
Vampire Spawn,common
Vorpal Sword,rare
Warlock Class,uncommon
Westgate Regent,rare
Wight,rare
Yuan-Ti Fang-Blade,common
Zombie Ogre,common
Armory Veteran,common
A-Armory Veteran,common
Barbarian Class,uncommon
Battle Cry Goblin,uncommon
Boots of Speed,common
Brazen Dwarf,common
Burning Hands,uncommon
Chaos Channeler,uncommon
Critical Hit,uncommon
"Delina, Wild Mage",rare
Dragon's Fire,common
Dueling Rapier,common
Earth-Cult Elemental,common
Farideh's Fireball,common
Flameskull,mythic
Goblin Javelineer,common
Goblin Morningstar,uncommon
Hoarding Ogre,common
Hobgoblin Bandit Lord,rare
Hobgoblin Captain,common
Hulking Bugbear,uncommon
Improvised Weaponry,common
Inferno of the Star Mounts,mythic
Jaded Sell-Sword,common
Kick in the Door,common
Magic Missile,uncommon
Meteor Swarm,rare
Minion of the Mighty,rare
Orb of Dragonkind,rare
Plundering Barbarian,common
Price of Loyalty,common
Red Dragon,uncommon
Rust Monster,uncommon
Swarming Goblins,common
Tiger-Tribe Hunter,uncommon
Unexpected Windfall,common
Valor Singer,common
Wish,rare
Xorn,rare
You Come to the Gnoll Camp,common
You Find Some Prisoners,uncommon
You See a Pair of Goblins,uncommon
"Zalto, Fire Giant Duke",rare
"Zariel, Archduke of Avernus",mythic
Bulette,common
Bull's Strength,common
Choose Your Weapon,uncommon
Circle of Dreams Druid,rare
Circle of the Moon Druid,common
Compelled Duel,common
Dire Wolf Prowler,common
Druid Class,uncommon
A-Druid Class,uncommon
Ellywick Tumblestrum,mythic
A-Ellywick Tumblestrum,mythic
Elturgard Ranger,common
Find the Path,common
A-Find the Path,common
Froghemoth,rare
Gnoll Hunter,common
Green Dragon,uncommon
Hill Giant Herdgorger,common
Hunter's Mark,uncommon
Inspiring Bard,common
Instrument of the Bards,rare
Intrepid Outlander,uncommon
Loathsome Troll,uncommon
Long Rest,rare
Lurking Roper,uncommon
Neverwinter Dryad,common
Ochre Jelly,rare
A-Ochre Jelly,rare
Old Gnawbone,mythic
Owlbear,common
Prosperous Innkeeper,uncommon
Purple Worm,uncommon
Ranger Class,rare
Ranger's Longbow,common
Scaled Herbalist,common
Spoils of the Hunt,common
Sylvan Shepherd,common
The Tarrasque,mythic
Underdark Basilisk,common
