name,rarity
Wrath of God,rare
Gravedigger,common
Shatterstorm,uncommon
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
As Foretold,mythic
Aven Initiate,common
Pull from Tomorrow,rare
Supernatural Stamina,common
Anger of the Gods,rare
Lord of Extinction,mythic
"Nicol Bolas, God-Pharaoh",mythic
River Hoopoe,uncommon
Bone Picker,common
Thoughtseize,rare
Abrade,common
The Scarab God,mythic
Desert of the Glorified,common
Evolving Wilds,common
Renewed Faith,common
Rest in Peace,rare
Pact of Negation,rare
Horror of the Broken Lands,common
Thresher Lizard,common
Champion of Wits,rare
Curator of Mysteries,rare
Angel of Sanctions,mythic
Anointed Procession,rare
Anointer Priest,common
Approach of the Second Sun,rare
Aven Mindcensor,rare
Binding Mummy,common
Cartouche of Solidarity,common
Cast Out,uncommon
Compulsory Rest,common
Djeru's Resolve,common
Fan Bearer,common
Forsake the Worldly,common
Gideon of the Trials,mythic
Gideon's Intervention,rare
Glory-Bound Initiate,rare
Gust Walker,common
Impeccable Timing,common
In Oketra's Name,common
Mighty Leap,common
Oketra the True,mythic
Oketra's Attendant,uncommon
Protection of the Hekma,uncommon
Regal Caracal,rare
Sacred Cat,common
Supply Caravan,common
Tah-Crop Elite,common
Those Who Serve,common
Trial of Solidarity,uncommon
Vizier of Deferment,uncommon
Vizier of Remedies,uncommon
Ancient Crab,common
Cartouche of Knowledge,common
Censor,uncommon
Compelling Argument,common
Cryptic Serpent,uncommon
Drake Haven,rare
Essence Scatter,common
Floodwaters,common
Hekma Sentinels,common
Hieroglyphic Illumination,common
Kefnet the Mindful,mythic
Labyrinth Guardian,uncommon
Lay Claim,uncommon
Naga Oracle,common
New Perspectives,rare
Seeker of Insight,common
Shimmerscale Drake,common
Slither Blade,common
Trial of Knowledge,uncommon
Vizier of Many Faces,rare
Vizier of Tumbling Sands,uncommon
Winds of Rebuke,common
Archfiend of Ifnir,rare
Baleful Ammit,uncommon
Blighted Bat,common
Bontu the Glorified,mythic
Cartouche of Ambition,common
Cruel Reality,mythic
Dispossess,rare
Doomed Dissenter,common
Dread Wanderer,rare
Dune Beetle,common
Festering Mummy,common
Final Reward,common
"Liliana, Death's Majesty",mythic
Liliana's Mastery,rare
Lord of the Accursed,uncommon
Miasmic Mummy,common
Nest of Scarabs,uncommon
Pitiless Vizier,common
Ruthless Sniper,uncommon
Scarab Feast,common
Shadow of the Grave,rare
Soulstinger,common
Splendid Agony,common
Trespasser's Curse,common
Trial of Ambition,uncommon
Unburden,common
Wander in Death,common
Wasteland Scorpion,common
Ahn-Crop Crasher,uncommon
Battlefield Scavenger,uncommon
Bloodlust Inciter,common
Brute Strength,common
By Force,uncommon
Cartouche of Zeal,common
Combat Celebrant,mythic
Deem Worthy,uncommon
Desert Cerodon,common
Glorious End,mythic
Glorybringer,rare
Harsh Mentor,rare
Hazoret the Fervent,mythic
Magma Spray,common
Nef-Crop Entangler,common
Nimble-Blade Khenra,common
Pathmaker Initiate,common
Pursue Glory,common
Soul-Scar Mage,rare
Sweltering Suns,rare
Tormenting Voice,common
Trial of Zeal,uncommon
Cartouche of Strength,common
Champion of Rhonas,rare
Crocodile of the Crossing,uncommon
Defiant Greatmaw,uncommon
Dissenter's Deliverance,common
Exemplar of Strength,uncommon
Greater Sandwurm,common
Haze of Pollen,common
Hooded Brawler,common
Initiate's Companion,common
Manglehorn,uncommon
Naga Vitalist,common
Oashra Cultivator,common
Ornery Kudu,common
Pouncing Cheetah,common
Prowling Serpopard,rare
Quarry Hauler,common
Rhonas the Indomitable,mythic
Sandwurm Convergence,rare
Shed Weakness,common
Shefet Monitor,uncommon
Sixth Sense,uncommon
Stinging Shot,common
Synchronized Strike,uncommon
Trial of Strength,uncommon
Vizier of the Menagerie,mythic
Watchful Naga,uncommon
Ahn-Crop Champion,uncommon
Aven Wind Guide,uncommon
Enigma Drake,uncommon
"Hapatra, Vizier of Poisons",rare
Honored Crop-Captain,uncommon
Khenra Charioteer,uncommon
Merciless Javelineer,uncommon
"Neheb, the Worthy",rare
"Nissa, Steward of Elements",mythic
"Samut, Voice of Dissent",mythic
Shadowstorm Vizier,uncommon
"Temmet, Vizier of Naktamun",rare
Wayward Servant,uncommon
Dusk // Dawn,rare
Commit // Memory,rare
Never // Return,rare
Insult // Injury,rare
Mouth // Feed,rare
Start // Finish,uncommon
Reduce // Rubble,uncommon
Destined // Lead,uncommon
Onward // Victory,uncommon
Spring // Mind,uncommon
Prepare // Fight,rare
Failure // Comply,rare
Rags // Riches,rare
Cut // Ribbons,rare
Heaven // Earth,rare
Bontu's Monument,uncommon
Edifice of Authority,uncommon
Gate to the Afterlife,uncommon
Hazoret's Monument,uncommon
Kefnet's Monument,uncommon
Oketra's Monument,uncommon
Rhonas's Monument,uncommon
Throne of the God-Pharaoh,rare
Watchers of the Dead,uncommon
Canyon Slough,rare
Cascading Cataracts,rare
Fetid Pools,rare
Irrigated Farmland,rare
Scattered Groves,rare
Sheltered Thicket,rare
Sunscorched Desert,common
Aven of Enduring Hope,common
Crested Sunmare,mythic
Dauntless Aven,common
Desert's Hold,uncommon
Disposal Mummy,common
Hour of Revelation,rare
Oketra's Avenger,common
Overwhelming Splendor,mythic
Solemnity,rare
Solitary Camel,common
Steward of Solidarity,uncommon
Sunscourge Champion,uncommon
Unconventional Tactics,uncommon
Aerial Guide,common
Countervailing Winds,common
Eternal of Harsh Truths,uncommon
"Jace, Unraveler of Secrets",mythic
Nimble Obstructionist,rare
Ominous Sphinx,uncommon
Riddleform,uncommon
Seer of the Last Tomorrow,common
Spellweaver Eternal,common
Strategic Planning,common
Striped Riverwinder,common
Supreme Will,uncommon
"Unesh, Criosphinx Sovereign",mythic
Unquenchable Thirst,common
Vizier of the Anointed,uncommon
Bontu's Last Reckoning,rare
Demonic Pact,mythic
Doomfall,uncommon
Khenra Eternal,common
Lethal Sting,common
Liliana's Defeat,uncommon
Marauding Boneslasher,common
"Razaketh, the Foulblooded",mythic
Torment of Hailfire,rare
Vile Manifestation,uncommon
Wasp of the Bitter End,uncommon
Blur of Blades,common
Burning-Fist Minotaur,uncommon
"Chandra, Pyromaster",mythic
Chandra's Defeat,uncommon
Crash Through,common
Earthshaker Khenra,rare
Fervent Paincaster,uncommon
Firebrand Archer,common
Gilded Cerodon,common
Hour of Devastation,rare
Imminent Doom,rare
Khenra Scrapper,common
Magmaroth,uncommon
"Neheb, the Eternal",mythic
Open Fire,common
Puncturing Blow,common
Sand Strangler,uncommon
Thorned Moloch,common
