name,rarity
Blanchwood Armor,uncommon
Giant Growth,common
Battlefield Forge,rare
Brushland,rare
Llanowar Wastes,rare
Underground River,rare
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Disenchant,common
Disfigure,common
Go for the Throat,uncommon
Monastery Swiftspear,common
Evolving Wilds,common
Corrupt,common
Epic Confrontation,common
Diabolic Intent,rare
Loran of the Third Path,rare
Skyfisher Spider,uncommon
Haywire Mite,uncommon
Aeronaut Cavalry,common
Airlift Chaplain,common
Ambush Paratrooper,common
Calamity's Wake,uncommon
Deadly Riposte,common
Great Desert Prospector,uncommon
In the Trenches,mythic
Kayla's Command,rare
Kayla's Reconstruction,rare
Lay Down Arms,uncommon
"Loran, Disciple of History",uncommon
Loran's Escape,common
Mass Production,uncommon
Meticulous Excavation,uncommon
Military Discipline,common
"Myrel, Shield of Argive",mythic
Phalanx Vanguard,common
Powerstone Engineer,common
Prison Sentence,common
Recommission,common
Recruitment Officer,uncommon
Repair and Recharge,uncommon
Siege Veteran,rare
Soul Partition,rare
Static Net,uncommon
Survivor of Korlis,common
Thopter Architect,uncommon
Tocasia's Welcome,rare
Union of the Third Path,common
Warlord's Elite,common
Yotian Medic,common
Autonomous Assembler,rare
Combat Thresher,uncommon
Platoon Dispenser,mythic
Scrapwork Cohort,common
Steel Seraph,rare
Tocasia's Onulet,common
Urza's Sylex,mythic
Veteran's Powerblade,common
Yotian Frontliner,uncommon
Air Marshal,common
Curate,common
Defabricate,uncommon
Desynchronize,common
"Drafna, Founder of Lat-Nam",rare
Fallaji Archaeologist,common
Flow of Knowledge,uncommon
Forging the Anchor,uncommon
"Hurkyl, Master Wizard",rare
Hurkyl's Final Meditation,rare
Involuntary Cooldown,uncommon
Keeper of the Cadence,uncommon
Koilos Roc,common
Lat-Nam Adept,common
Machine Over Matter,common
Mightstone's Animation,common
A-Mightstone's Animation,common
One with the Multiverse,mythic
Retrieval Agent,common
Scatter Ray,common
Skystrike Officer,rare
Splitting the Powerstone,uncommon
A-Splitting the Powerstone,uncommon
Stern Lesson,common
Take Flight,uncommon
"Teferi, Temporal Pilgrim",mythic
Third Path Savant,common
Thopter Mechanic,uncommon
"Urza, Powerstone Prodigy",uncommon
"A-Urza, Powerstone Prodigy",uncommon
Urza's Command,rare
A-Urza's Command,rare
Urza's Rebuff,common
Weakstone's Subjugation,common
Wing Commando,common
Zephyr Sentinel,uncommon
Arcane Proxy,mythic
Coastal Bulwark,common
Combat Courier,common
Depth Charge Colossus,common
Hulking Metamorph,uncommon
Spotter Thopter,uncommon
Surge Engine,mythic
The Temporal Anchor,rare
Terisian Mindbreaker,rare
"Ashnod, Flesh Mechanist",rare
Ashnod's Intervention,common
Battlefield Butcher,uncommon
Carrion Locust,common
Disciples of Gix,uncommon
Dreams of Steel and Oil,uncommon
Emergency Weld,common
Fateful Handoff,rare
"Gix, Yawgmoth Praetor",mythic
Gix's Caress,common
Gix's Command,rare
Gixian Infiltrator,common
Gixian Puppeteer,rare
Gixian Skullflayer,common
Gnawing Vermin,uncommon
Gruesome Realization,uncommon
Gurgling Anointer,uncommon
Hostile Negotiations,rare
Kill-Zone Acrobat,common
Misery's Shadow,rare
Moment of Defiance,common
No One Left Behind,uncommon
Overwhelming Remorse,common
Painful Quandary,rare
Powerstone Fracture,common
Ravenous Gigamole,common
Thran Vigil,uncommon
Thraxodemon,common
Trench Stalker,common
Ashnod's Harvester,uncommon
Clay Revenant,common
Dredging Claw,common
Goring Warplow,common
Phyrexian Fleshgorger,mythic
Razorlash Transmogrant,rare
Scrapwork Rager,common
Transmogrant Altar,uncommon
Transmogrant's Crown,rare
Arms Race,uncommon
Bitter Reunion,common
Brotherhood's End,rare
Conscripted Infantry,common
Draconic Destiny,mythic
Dwarven Forge-Chanter,common
Excavation Explosion,common
A-Excavation Explosion,common
The Fall of Kroog,uncommon
Fallaji Chaindancer,common
"Feldon, Ronom Excavator",rare
Giant Cindermaw,uncommon
Goblin Blast-Runner,common
Horned Stoneseeker,uncommon
Mechanized Warfare,rare
"Mishra, Excavation Prodigy",uncommon
"A-Mishra, Excavation Prodigy",uncommon
Mishra's Command,rare
Mishra's Domination,common
Mishra's Onslaught,common
Obliterating Bolt,uncommon
Over the Top,rare
Penregon Strongbull,common
Pyrrhic Blast,uncommon
Raze to the Ground,common
Roc Hunter,common
Sardian Cliffstomper,uncommon
Sibling Rivalry,common
Tomakul Scrapsmith,common
Tyrant of Kher Ridges,rare
Unleash Shell,common
Visions of Phyrexia,rare
A-Visions of Phyrexia,rare
Whirling Strike,common
Blitz Automaton,common
Fallaji Dragon Engine,uncommon
Heavyweight Demolisher,uncommon
Mishra's Juggernaut,common
Mishra's Research Desk,uncommon
"Phyrexian Dragon Engine // Mishra, Lost to Phyrexia",rare
"Mishra, Lost to Phyrexia",mythic
Scrapwork Mutt,common
Skitterbeam Battalion,mythic
Alloy Animist,uncommon
Argothian Opportunist,common
Argothian Sprite,common
Audacity,uncommon
Awaken the Woods,mythic
Blanchwood Prowler,common
Burrowing Razormaw,common
Bushwhack,uncommon
Citanul Stalwart,common
Fade from History,rare
Fallaji Excavation,uncommon
Fauna Shaman,rare
Fog of War,common
Gaea's Courser,uncommon
Gaea's Gift,common
Gnarlroot Pallbearer,common
"Gwenna, Eyes of Gaea",rare
Hoarding Recluse,common
Obstinate Baloth,uncommon
Perimeter Patrol,common
Sarinth Steelseeker,uncommon
Shoot Down,common
Tawnos's Tinkering,common
Teething Wurmlet,rare
"Titania, Voice of Gaea // Titania, Gaea Incarnate",mythic
Titania's Command,rare
Tomakul Honor Guard,common
Wasteful Harvest,common
Boulderbranch Golem,common
Cradle Clearcutter,uncommon
A-Haywire Mite,uncommon
Iron-Craw Crusher,uncommon
Mask of the Jadecrafter,uncommon
Perennial Behemoth,rare
Rootwire Amalgam,mythic
Rust Goliath,common
Simian Simulacrum,rare
Arbalest Engineers,uncommon
Battery Bearer,uncommon
Deathbloom Ritualist,rare
Evangel of Synthesis,uncommon
Fallaji Vanguard,uncommon
"Hajar, Loyal Bodyguard",rare
"Harbin, Vanguard Aviator",rare
Hero of the Dunes,uncommon
Junkyard Genius,uncommon
Legions to Ashes,rare
"Mishra, Claimed by Gix // Mishra, Lost to Phyrexia",mythic
"Mishra, Tamer of Mak Fawa",rare
Queen Kayla bin-Kroog,rare
"Saheeli, Filigree Master",mythic
"A-Saheeli, Filigree Master",mythic
Sarinth Greatwurm,mythic
"Tawnos, the Toymaker",rare
Third Path Iconoclast,uncommon
"Tocasia, Dig Site Mentor",rare
"Urza, Lord Protector // Urza, Planeswalker",mythic
"Urza, Prince of Kroog",rare
Yotian Dissident,uncommon
Yotian Tactician,uncommon
Bladecoil Serpent,mythic
Clay Champion,mythic
Aeronaut's Wings,common
Argivian Avenger,uncommon
Cityscape Leveler,mythic
Energy Refractor,common
Goblin Firebomb,common
Levitating Statue,uncommon
"Liberator, Urza's Battlethopter",rare
"The Mightstone and Weakstone // Urza, Planeswalker",rare
"Urza, Planeswalker",mythic
Mine Worker,common
Portal to Phyrexia,mythic
Power Plant Worker,common
Reconstructed Thopter,uncommon
Slagstone Refinery,uncommon
Spectrum Sentinel,uncommon
The Stasis Coffin,rare
Steel Exemplar,uncommon
The Stone Brain,rare
Stone Retrieval Unit,common
Su-Chi Cave Guard,uncommon
Supply Drop,common
Swiftgear Drake,common
Symmetry Matrix,uncommon
Thran Power Suit,uncommon
Thran Spider,rare
A-Thran Spider,rare
Tower Worker,common
"Argoth, Sanctum of Nature // Titania, Gaea Incarnate",rare
"Titania, Gaea Incarnate",mythic
Blast Zone,rare
Demolition Field,uncommon
Fortified Beachhead,rare
Hall of Tagsin,rare
A-Hall of Tagsin,rare
Mishra's Foundry,rare
Tocasia's Dig Site,common
Rescue Retriever,rare
Geology Enthusiast,rare
A-Geology Enthusiast,rare
Terror Ballista,rare
Artificer's Dragon,rare
Woodcaller Automaton,rare
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
