name,rarity
Phyrexian Rager,common
Adarkar Wastes,rare
Caves of Koilos,rare
Karplusan Forest,rare
Shivan Reef,rare
Sulfurous Springs,rare
Yavimaya Coast,rare
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Dragon Whelp,uncommon
Griffin Protector,common
Negate,common
Lightning Strike,uncommon
Essence Scatter,common
Bone Splinters,common
Impulse,common
Shore Up,common
Serra Redeemer,rare
Aether Channeler,rare
Broken Wings,common
Llanowar Loamspeaker,rare
Tear Asunder,uncommon
Haunted Mire,common
Wooded Ridgeline,common
Love Song of Night and Day,uncommon
Captain's Call,common
Thrill of Possibility,common
"Karn, Living Legacy",mythic
"A-Karn, Living Legacy",mythic
Anointed Peacekeeper,rare
Archangel of Wrath,rare
Argivian Cavalier,common
Argivian Phalanx,common
Artillery Blast,common
Benalish Faithbonder,common
Benalish Sleeper,common
Charismatic Vanguard,common
Citizen's Arrest,common
Cleaving Skyrider,uncommon
Clockwork Drawbridge,common
Coalition Skyknight,uncommon
"Danitha, Benalia's Hope",rare
Defiler of Faith,rare
Destroy Evil,common
Guardian of New Benalia,rare
Heroic Charge,common
Join Forces,uncommon
Juniper Order Rootweaver,common
Knight of Dawn's Light,uncommon
Leyline Binding,rare
Mesa Cavalier,common
Phyrexian Missionary,uncommon
Prayer of Binding,uncommon
Resolute Reinforcements,uncommon
Runic Shot,uncommon
Samite Herbalist,common
Serra Paragon,mythic
Shalai's Acolyte,uncommon
Stall for Time,common
Take Up the Shield,common
Temporary Lockdown,rare
Urza Assembles the Titans,rare
Valiant Veteran,rare
Wingmantle Chaplain,uncommon
Academy Loremaster,rare
Academy Wall,common
Battlewing Mystic,uncommon
Combat Research,uncommon
Coral Colony,uncommon
Defiler of Dreams,rare
Djinn of the Fountain,uncommon
Ertai's Scorn,uncommon
Founding the Third Path,uncommon
Frostfist Strider,uncommon
Haughty Djinn,rare
Haunting Figment,common
Impede Momentum,common
Joint Exploration,uncommon
Micromancer,uncommon
The Phasing of Zhalfir,rare
Phyrexian Espionage,common
Pixie Illusionist,common
Protect the Negotiators,uncommon
Rona's Vortex,uncommon
Silver Scrutiny,rare
Soaring Drake,common
Sphinx of Clear Skies,mythic
Talas Lookout,common
Tidepool Turtle,common
Timely Interference,common
Tolarian Geyser,common
Tolarian Terror,common
Vesuvan Duplimancy,mythic
Voda Sea Scavenger,common
Vodalian Hexcatcher,rare
Vodalian Mindsinger,rare
Volshe Tideturner,common
Aggressive Sabotage,common
Balduvian Atrocity,uncommon
Battle-Rage Blessing,common
Battlefly Swarm,common
Blight Pile,uncommon
"Braids, Arisen Nightmare",rare
Braids's Frightful Return,uncommon
Choking Miasma,uncommon
The Cruelty of Gix,rare
Cult Conscript,uncommon
Cut Down,uncommon
Defiler of Flesh,rare
Drag to the Bottom,rare
Eerie Soultender,common
Evolved Sleeper,rare
Extinguish the Light,common
Gibbering Barricade,common
Knight of Dusk's Shadow,uncommon
Liliana of the Veil,mythic
Monstrous War-Leech,uncommon
Phyrexian Vivisector,common
Phyrexian Warhorse,common
Pilfer,uncommon
The Raven Man,rare
Sengir Connoisseur,uncommon
Shadow Prophecy,common
Shadow-Rite Priest,rare
"Sheoldred, the Apocalypse",mythic
Sheoldred's Restoration,uncommon
Splatter Goblin,common
Stronghold Arena,rare
Tattered Apparition,common
Toxic Abomination,common
Tribute to Urborg,common
Urborg Repossession,common
Writhing Necromass,common
Balduvian Berserker,uncommon
Chaotic Transformation,rare
Coalition Warbrute,common
Defiler of Instinct,rare
The Elder Dragon War,rare
Electrostatic Infantry,uncommon
Fires of Victory,uncommon
Flowstone Infusion,common
Flowstone Kavu,common
Furious Bellow,common
Ghitu Amplifier,common
Goblin Picker,common
Hammerhand,common
Hurler Cyclops,uncommon
Hurloon Battle Hymn,uncommon
In Thrall to the Pit,common
"Jaya, Fiery Negotiator",mythic
Jaya's Firenado,common
Keldon Flamesage,rare
Keldon Strike Team,common
Meria's Outrider,common
A-Meria's Outrider,common
Molten Monstrosity,common
Phoenix Chick,uncommon
Radha's Firebrand,rare
A-Radha's Firebrand,rare
Rundvelt Hordemaster,rare
Shivan Devastator,mythic
Smash to Dust,common
Sprouting Goblin,uncommon
A-Sprouting Goblin,uncommon
"Squee, Dubious Monarch",rare
Temporal Firestorm,rare
Twinferno,uncommon
Viashino Branchrider,common
Warhost's Frenzy,uncommon
Yavimaya Steelcrusher,common
Yotia Declares War,uncommon
Barkweave Crusher,common
Bite Down,common
Bog Badger,common
Colossal Growth,common
Deathbloom Gardener,common
Defiler of Vigor,rare
Elfhame Wurm,common
Elvish Hydromancer,uncommon
Floriferous Vinewall,common
Gaea's Might,common
Herd Migration,rare
Hexbane Tortoise,common
Leaf-Crowned Visionary,rare
Linebreaker Baloth,uncommon
Llanowar Greenwidow,rare
A-Llanowar Greenwidow,rare
A-Llanowar Loamspeaker,rare
Llanowar Stalker,common
Magnigoth Sentry,common
Mossbeard Ancient,uncommon
Nishoba Brawler,uncommon
Quirion Beastcaller,rare
Scout the Wilderness,common
A-Scout the Wilderness,common
Silverback Elder,mythic
Slimefoot's Survey,uncommon
Snarespinner,common
Strength of the Coalition,uncommon
Sunbathing Rootwalla,common
A-Sunbathing Rootwalla,common
Tail Swipe,uncommon
Territorial Maro,uncommon
Threats Undetected,rare
Urborg Lhurgoyf,rare
Vineshaper Prodigy,common
The Weatherseed Treaty,uncommon
The World Spell,mythic
Yavimaya Iconoclast,uncommon
Yavimaya Sojourner,common
"Ajani, Sleeper Agent",mythic
"Aron, Benalia's Ruin",uncommon
"Astor, Bearer of Blades",rare
"Baird, Argivian Recruiter",uncommon
"Balmor, Battlemage Captain",uncommon
Bortuk Bonerattle,uncommon
"Elas il-Kor, Sadistic Pilgrim",uncommon
Ertai Resurrected,rare
"Garna, Bloodfist of Keld",uncommon
"Ivy, Gleeful Spellthief",rare
"Jhoira, Ageless Innovator",rare
"Jodah, the Unifier",mythic
King Darien XLVIII,rare
"Lagomos, Hand of Hatred",uncommon
"Meria, Scholar of Antiquity",rare
"Nael, Avizoa Aeronaut",uncommon
"A-Nael, Avizoa Aeronaut",uncommon
"Najal, the Storm Runner",uncommon
"Nemata, Primeval Warden",rare
Queen Allenal of Ruadach,uncommon
"Radha, Coalition Warlord",uncommon
"A-Radha, Coalition Warlord",uncommon
"Raff, Weatherlight Stalwart",uncommon
Ratadrabik of Urborg,rare
"Rith, Liberated Primeval",mythic
Rivaz of the Claw,rare
"Rona, Sheoldred's Faithful",uncommon
"Rulik Mons, Warren Chief",uncommon
"A-Rulik Mons, Warren Chief",uncommon
"Shanna, Purifying Blade",mythic
Sol'Kanar the Tainted,mythic
Soul of Windgrace,mythic
A-Soul of Windgrace,mythic
"Stenn, Paranoid Partisan",rare
"Tatyova, Steward of Tides",uncommon
"A-Tatyova, Steward of Tides",uncommon
"Tori D'Avenant, Fury Rider",uncommon
"Tura Kennerüd, Skyknight",uncommon
"Uurg, Spawn of Turg",uncommon
"A-Uurg, Spawn of Turg",uncommon
"Vohar, Vodalian Desecrator",uncommon
"Zar Ojanen, Scion of Efrava",uncommon
"A-Zar Ojanen, Scion of Efrava",uncommon
"Zur, Eternal Schemer",mythic
Automatic Librarian,common
Golden Argosy,rare
Hero's Heirloom,uncommon
Inscribed Tablet,uncommon
Jodah's Codex,uncommon
Karn's Sylex,mythic
Meteorite,common
Relic of Legends,uncommon
Salvaged Manaworker,common
Shield-Wall Sentinel,common
Timeless Lotus,mythic
Vanquisher's Axe,common
Walking Bulwark,uncommon
Weatherlight Compleated,mythic
Contaminated Aquifer,common
Crystal Grotto,common
Geothermal Bog,common
Idyllic Beachfront,common
Molten Tributary,common
Plaza of Heroes,rare
Radiant Grove,common
Sacred Peaks,common
Sunlit Marsh,common
Tangled Islet,common
Thran Portal,rare
A-Thran Portal,rare
Cosmic Epiphany,rare
Tyrannical Pitlord,rare
Ragefire Hellkite,rare
Briar Hydra,rare
A-Briar Hydra,rare
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
