name,rarity
Serra Angel,rare
Siege-Gang Commander,rare
Llanowar Elves,common
Verdant Force,rare
Icy Manipulator,uncommon
Juggernaut,uncommon
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Fire Elemental,uncommon
Firesong and Sunspeaker,rare
"Jodah, Archmage Eternal",rare
"Muldrotha, the Gravetide",mythic
Sanctum Spirit,common
Cloudreader Sphinx,common
Relic Runner,common
Sentinel of the Pearl Trident,uncommon
Cast Down,common
Divest,common
Orcish Vandal,common
"Jhoira, Weatherlight Captain",rare
Jhoira's Familiar,uncommon
Gilded Lotus,rare
Memorial to Glory,uncommon
Thorn Elemental,rare
Sage of Lat-Nam,rare
Zhalfirin Void,uncommon
Weight of Memory,uncommon
Meandering River,common
Timber Gorge,common
Aesthir Glider,common
Gideon's Reproach,common
"Baird, Steward of Argive",uncommon
"Tetsuko Umezawa, Fugitive",uncommon
Helm of the Host,rare
Clifftop Retreat,rare
Hinterland Harbor,rare
Sulfur Falls,rare
Woodland Cemetery,rare
Divination,common
"Teshar, Ancestor's Apostle",rare
Urza's Ruinous Blast,rare
"Traxos, Scourge of Kroog",rare
Blackblade Reforged,rare
Mox Amber,mythic
The Eldest Reborn,uncommon
Memorial to Folly,uncommon
"Garna, the Bloodflame",uncommon
"Naru Meha, Master Wizard",mythic
Jaya Ballard,mythic
Memorial to Genius,uncommon
"Danitha Capashen, Paragon",uncommon
"Zahid, Djinn of the Lamp",uncommon
Demonlord Belzenlok,rare
Final Parting,uncommon
"Whisper, Blood Liturgist",uncommon
"Yargle, Glutton of Urborg",uncommon
Champion of the Flame,common
"Valduk, Keeper of the Flame",uncommon
Fungal Plots,uncommon
"Aryel, Knight of Windgrace",uncommon
"Raff Capashen, Ship's Mage",uncommon
"Slimefoot, the Stowaway",uncommon
"Tatyova, Benthic Druid",uncommon
Forebear's Blade,uncommon
The Mending of Dominaria,rare
Oath of Teferi,rare
Ancient Animus,common
Howling Golem,common
On Serra's Wings,uncommon
"Slinn Voda, the Rising Deep",uncommon
Jaya's Immolating Inferno,rare
"Tiana, Ship's Caretaker",uncommon
Memorial to War,uncommon
Adamant Will,common
Syncopate,common
Goblin Warchief,uncommon
Skirk Prospector,common
Gaea's Blessing,uncommon
"Josu Vess, Lich Knight",rare
Arvad the Cursed,uncommon
Primevals' Glorious Rebirth,rare
Lyra Dawnbringer,mythic
Damping Sphere,uncommon
Isolated Chapel,rare
"Karn, Scion of Urza",mythic
Aven Sentry,common
Benalish Honor Guard,common
Benalish Marshal,rare
Blessed Light,common
Board the Weatherlight,uncommon
Call the Cavalry,common
Charge,common
D'Avenant Trapper,common
Daring Archaeologist,rare
Dauntless Bodyguard,uncommon
Dub,common
"Evra, Halcyon Witness",rare
Excavation Elephant,common
Fall of the Thran,rare
Healing Grace,common
History of Benalia,mythic
Invoke the Divine,common
Knight of Grace,uncommon
Knight of New Benalia,common
"Kwende, Pride of Femeref",uncommon
Mesa Unicorn,common
Pegasus Courser,common
Seal Away,uncommon
Sergeant-at-Arms,common
Serra Disciple,common
"Shalai, Voice of Plenty",rare
Tragic Poet,common
Triumph of Gerrard,uncommon
Academy Drake,common
Academy Journeymage,common
The Antiquities War,rare
Arcane Flight,common
Artificer's Assistant,common
Befuddle,common
Blink of an Eye,common
Cold-Water Snapper,common
Curator's Ward,uncommon
Deep Freeze,common
Diligent Excavator,uncommon
Homarid Explorer,common
In Bolas's Clutches,uncommon
Karn's Temporal Sundering,rare
Merfolk Trickster,uncommon
The Mirari Conjecture,rare
"Naban, Dean of Iteration",rare
Opt,common
Precognition Field,rare
Rescue,common
Tempest Djinn,rare
Time of Ice,uncommon
Tolarian Scholar,common
Unwind,common
Vodalian Arcanist,common
Wizard's Retort,uncommon
Blessing of Belzenlok,common
Cabal Evangel,common
Cabal Paladin,common
Caligo Skin-Witch,common
Chainer's Torment,uncommon
Dark Bargain,common
Deathbloom Thallid,common
Demonic Vigor,common
Dread Shade,rare
Drudge Sentinel,common
Eviscerate,common
Feral Abomination,common
Fungal Infection,common
"Kazarov, Sengir Pureblood",rare
Knight of Malice,uncommon
Lich's Mastery,rare
Lingering Phantom,uncommon
Phyrexian Scriptures,mythic
Rat Colony,common
Rite of Belzenlok,rare
Settle the Score,uncommon
Soul Salvage,common
Stronghold Confessor,common
Thallid Omnivore,common
Thallid Soothsayer,uncommon
"Torgaar, Famine Incarnate",rare
"Urgoros, the Empty One",uncommon
Vicious Offering,common
Windgrace Acolyte,common
Yawgmoth's Vile Offering,rare
Bloodstone Goblin,common
Fervent Strike,common
Fiery Intervention,common
Fight with Fire,uncommon
Firefist Adept,uncommon
The First Eruption,rare
The Flame of Keld,uncommon
Frenzied Rage,common
Ghitu Chronicler,common
Ghitu Journeymage,common
Ghitu Lavarunner,common
Goblin Barrage,uncommon
Goblin Chainwhirler,rare
Haphazard Bombardment,rare
Keldon Overseer,common
Keldon Raider,common
Keldon Warcaller,common
Radiating Lightning,common
Rampaging Cyclops,common
Run Amok,common
Seismic Shift,common
Shivan Fire,common
Skizzik,uncommon
"Squee, the Immortal",rare
Two-Headed Giant,rare
Verix Bladewing,mythic
Warcry Phoenix,uncommon
Warlord's Fury,common
Wizard's Lightning,uncommon
Adventurous Impulse,common
Arbor Armament,common
Baloth Gorger,common
Broken Bond,common
Corrosive Ooze,common
Elfhame Druid,uncommon
Gaea's Protector,common
Gift of Growth,common
Grow from the Ashes,common
"Grunn, the Lonely King",uncommon
Kamahl's Druidic Vow,rare
Krosan Druid,common
Llanowar Envoy,common
Llanowar Scout,common
Mammoth Spider,common
"Marwyn, the Nurturer",rare
"Multani, Yavimaya's Avatar",mythic
Nature's Spiral,uncommon
Pierce the Sky,common
Primordial Wurm,common
Saproling Migration,common
Song of Freyalise,uncommon
Spore Swarm,uncommon
Sporecrown Thallid,uncommon
Steel Leaf Champion,rare
Sylvan Awakening,rare
Territorial Allosaurus,rare
Untamed Kavu,uncommon
Wild Onslaught,uncommon
Yavimaya Sapherd,common
"Adeliz, the Cinder Wind",uncommon
Darigaaz Reincarnated,mythic
Grand Warlord Radha,rare
"Hallar, the Firefletcher",uncommon
"Rona, Disciple of Gix",uncommon
"Shanna, Sisay's Legacy",uncommon
"Teferi, Hero of Dominaria",mythic
Amaranthine Wall,uncommon
Bloodtallow Candle,common
Guardians of Koilos,common
Jousting Lance,common
Mishra's Self-Replicator,rare
Navigator's Compass,common
Pardic Wanderer,common
Powerstone Shard,common
Shield of the Realm,uncommon
Short Sword,common
Skittering Surveyor,common
Sorcerer's Wand,uncommon
Sparring Construct,common
Thran Temporal Gateway,rare
Urza's Tome,uncommon
Voltaic Servant,common
Weatherlight,mythic
Cabal Stronghold,rare
Memorial to Unity,uncommon
"Teferi, Timebender",mythic
Temporal Machinations,common
"Niambi, Faithful Healer",rare
Teferi's Sentinel,uncommon
"Chandra, Bold Pyromancer",mythic
Chandra's Outburst,rare
Karplusan Hound,uncommon
Pyromantic Pilgrim,common
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
"Yargle, Glutton of Urborg // Yargle, Glutton of Urborg",rare
