name,rarity
Pyroclasm,uncommon
Terramorphic Expanse,common
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Murder,common
Scorching Dragonfire,common
Acrobatic Cheerleader,common
Cult Healer,common
Dazzling Theater // Prop Room,rare
Dollmaker's Shop // Porcelain Gallery,mythic
Emerge from the Cocoon,common
Enduring Innocence,rare
Ethereal Armor,uncommon
Exorcise,uncommon
Fear of Abduction,uncommon
Fear of Immobility,common
Fear of Surveillance,common
Friendly Ghost,common
Ghostly Dancers,rare
Glimmer Seeker,uncommon
Grand Entryway // Elegant Rotunda,common
Hardened Escort,common
Jump Scare,common
Leyline of Hope,rare
Lionheart Glimmer,uncommon
Living Phone,common
Optimistic Scavenger,uncommon
Orphans of the Wheat,uncommon
Overlord of the Mistmoors,mythic
Patched Plaything,uncommon
Possessed Goat,common
Reluctant Role Model,rare
Savior of the Small,uncommon
Seized from Slumber,common
Shardmage's Rescue,uncommon
Sheltered by Ghosts,uncommon
Shepherding Spirits,common
Split Up,rare
Splitskin Doll,uncommon
Surgical Suite // Hospital Room,uncommon
"Toby, Beastie Befriender",rare
Trapped in the Screen,common
Unidentified Hovership,rare
Unsettling Twins,common
Unwanted Remake,uncommon
Veteran Survivor,uncommon
The Wandering Rescuer,mythic
Abhorrent Oculus,mythic
Bottomless Pool // Locker Room,uncommon
Central Elevator // Promising Stairs,rare
Clammy Prowler,common
Creeping Peeper,common
Cursed Windbreaker,uncommon
Daggermaw Megalodon,common
Don't Make a Sound,common
Duskmourn's Domination,uncommon
Enduring Curiosity,rare
Enter the Enigma,common
Entity Tracker,rare
Erratic Apparition,common
Fear of Failed Tests,uncommon
Fear of Falling,uncommon
Fear of Impostors,uncommon
Fear of Isolation,uncommon
Floodpits Drowner,uncommon
Get Out,uncommon
Ghostly Keybearer,uncommon
Glimmerburst,common
Leyline of Transformation,rare
Marina Vendrell's Grimoire,rare
Meat Locker // Drowned Diner,common
The Mindskinner,rare
Mirror Room // Fractured Realm,mythic
Overlord of the Floodpits,mythic
Paranormal Analyst,uncommon
Piranha Fly,common
Scrabbling Skullcrab,uncommon
Silent Hallcreeper,rare
Stalked Researcher,common
"Stay Hidden, Stay Silent",uncommon
The Tale of Tamiyo,rare
Tunnel Surveyor,common
Twist Reality,common
Unable to Scream,common
Underwater Tunnel // Slimy Aquarium,common
Unnerving Grasp,uncommon
Unwilling Vessel,uncommon
Vanish from Sight,common
Appendage Amalgam,common
Balemurk Leech,common
Cackling Slasher,common
Come Back Wrong,rare
Commune with Evil,uncommon
Cracked Skull,common
Cynical Loner,uncommon
Dashing Bloodsucker,uncommon
Defiled Crypt // Cadaver Lab,uncommon
Demonic Counsel,rare
Derelict Attic // Widow's Walk,common
Doomsday Excruciator,rare
Enduring Tenacity,rare
Fanatic of the Harrowing,common
Fear of Lost Teeth,common
Fear of the Dark,common
Final Vengeance,common
Funeral Room // Awakening Hall,mythic
Give In to Violence,common
Grievous Wound,rare
Innocuous Rat,common
Killer's Mask,uncommon
Let's Play a Game,uncommon
Leyline of the Void,rare
Live or Die,uncommon
Meathook Massacre II,mythic
Miasma Demon,uncommon
Nowhere to Run,uncommon
Osseous Sticktwister,uncommon
Overlord of the Balemurk,mythic
Popular Egotist,uncommon
Resurrected Cultist,common
Spectral Snatcher,common
Sporogenic Infection,uncommon
Unholy Annex // Ritual Chamber,rare
Unstoppable Slasher,rare
"Valgavoth, Terror Eater",mythic
Valgavoth's Faithful,uncommon
Vile Mutilator,uncommon
Winter's Intervention,common
Withering Torment,uncommon
Bedhead Beastie,common
Betrayer's Bargain,uncommon
Boilerbilges Ripper,common
Chainsaw,rare
Charred Foyer // Warped Space,mythic
Clockwork Percussionist,common
Cursed Recording,rare
Diversion Specialist,uncommon
Enduring Courage,rare
Fear of Being Hunted,uncommon
Fear of Burning Alive,uncommon
Fear of Missing Out,rare
Glassworks // Shattered Yard,common
Grab the Prize,common
Hand That Feeds,common
Impossible Inferno,common
Infernal Phantom,uncommon
Irreverent Gremlin,uncommon
Leyline of Resonance,rare
A-Leyline of Resonance,rare
Most Valuable Slayer,common
"Norin, Swift Survivalist",uncommon
Overlord of the Boilerbilges,mythic
Painter's Studio // Defaced Gallery,uncommon
Piggy Bank,uncommon
Ragged Playmate,common
Rampaging Soulrager,common
Razorkin Hordecaller,uncommon
Razorkin Needlehead,rare
Ripchain Razorkin,common
The Rollercrusher Ride,mythic
Screaming Nemesis,mythic
Ticket Booth // Tunnel of Hate,common
Trial of Agony,uncommon
Turn Inside Out,common
Untimely Malfunction,uncommon
Vengeful Possession,uncommon
Vicious Clown,common
Violent Urge,uncommon
Waltz of Rage,rare
"Altanak, the Thrice-Called",uncommon
Anthropede,common
Balustrade Wurm,rare
Bashful Beastie,common
Break Down the Door,uncommon
Cathartic Parting,uncommon
Cautious Survivor,common
Coordinated Clobbering,uncommon
Cryptid Inspector,common
Defiant Survivor,uncommon
Enduring Vitality,rare
Fear of Exposure,uncommon
Flesh Burrower,common
Frantic Strength,common
Grasping Longneck,common
Greenhouse // Rickety Gazebo,uncommon
Hauntwoods Shrieker,mythic
Hedge Shredder,rare
Horrid Vigor,common
House Cartographer,uncommon
Insidious Fungus,uncommon
"Kona, Rescue Beastie",rare
Leyline of Mutation,rare
Manifest Dread,common
Moldering Gym // Weight Room,common
Monstrous Emergence,common
Omnivorous Flytrap,rare
Overgrown Zealot,uncommon
Overlord of the Hauntwoods,mythic
Patchwork Beastie,uncommon
Rootwise Survivor,uncommon
Say Its Name,common
Slavering Branchsnapper,common
Spineseeker Centipede,common
Threats Around Every Corner,uncommon
Twitching Doll,rare
"Tyvar, the Pummeler",mythic
Under the Skin,uncommon
Valgavoth's Onslaught,rare
Walk-In Closet // Forgotten Cellar,mythic
Wary Watchdog,common
Wickerfolk Thresher,uncommon
"Arabella, Abandoned Doll",uncommon
Baseball Bat,uncommon
Beastie Beatdown,uncommon
Broodspinner,uncommon
Disturbing Mirth,uncommon
Drag to the Roots,uncommon
Fear of Infinity,uncommon
Gremlin Tamer,uncommon
Growing Dread,uncommon
Inquisitive Glimmer,uncommon
Intruding Soulrager,uncommon
The Jolly Balloon Man,rare
"Kaito, Bane of Nightmares",mythic
Marina Vendrell,rare
Midnight Mayhem,uncommon
"Nashi, Searcher in the Dark",rare
"Niko, Light of Hope",mythic
Oblivious Bookworm,uncommon
Peer Past the Veil,rare
Restricted Office // Lecture Hall,rare
"Rip, Spawn Hunter",rare
Rite of the Moth,uncommon
Roaring Furnace // Steaming Sauna,rare
Sawblade Skinripper,uncommon
Shrewd Storyteller,uncommon
Shroudstomper,uncommon
Skullsnap Nuisance,uncommon
Smoky Lounge // Misty Salon,uncommon
The Swarmweaver,rare
Undead Sprinter,rare
"Victor, Valgavoth's Seneschal",rare
Wildfire Wickerfolk,uncommon
"Winter, Misanthropic Guide",rare
"Zimone, All-Questioning",rare
Attack-in-the-Box,uncommon
Bear Trap,common
Conductive Machete,uncommon
Dissection Tools,rare
Found Footage,common
Friendly Teddy,common
Ghost Vacuum,rare
Glimmerlight,common
Haunted Screen,uncommon
Keys to the House,uncommon
Malevolent Chandelier,common
"Marvin, Murderous Mimic",rare
Saw,uncommon
Abandoned Campground,common
Blazemire Verge,rare
Bleeding Woods,common
Etched Cornfield,common
Floodfarm Verge,rare
Gloomlake Verge,rare
Hushwood Verge,rare
Lakeside Shack,common
Murky Sewer,common
Neglected Manor,common
Peculiar Lighthouse,common
Raucous Carnival,common
Razortrap Gorge,common
Strangled Cemetery,common
Thornspire Verge,rare
Valgavoth's Lair,rare
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
