name,rarity
Righteousness,rare
Youthful Knight,common
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Corridor Monitor,common
Frogify,common
Arcane Signet,common
Command Tower,common
Thornwood Falls,common
Realm-Cloaked Giant // Cast Off,mythic
Chittering Witch,rare
Piper of the Swarm,rare
Opportunistic Dragon,rare
Kenrith's Transformation,uncommon
Return of the Wildspeaker,rare
Return to Nature,common
Charmed Sleep,common
"Gadwick, the Wizened",rare
Scorching Dragonfire,common
Fling,common
Run Away Together,common
Fabled Passage,rare
Gilded Goose,rare
"Garruk, Cursed Huntsman",mythic
Stolen by the Fae,rare
Faeburrow Elder,rare
"Grumgully, the Generous",uncommon
Castle Ardenvale,rare
"Emry, Lurker of the Loch",rare
Shimmer Dragon,rare
Workshop Elders,rare
"Alela, Artful Provocateur",mythic
Wind-Scarred Crag,common
Taste of Death,rare
Gluttonous Troll,rare
Gingerbread Cabin,common
Midnight Clock,rare
Bonecrusher Giant // Stomp,rare
Embereth Shieldbreaker // Battle Display,uncommon
Beanstalk Giant // Fertile Footsteps,uncommon
Lovestruck Beast // Heart's Desire,rare
Drown in the Loch,uncommon
Escape to the Wilds,rare
Castle Embereth,rare
Castle Locthwain,rare
Castle Vantress,rare
All That Glitters,common
Mace of the Valiant,uncommon
Witching Well,common
"Rankle, Master of Pranks",rare
The Great Henge,mythic
Crashing Drawbridge,common
Stonecoil Serpent,rare
Sporecap Spider,common
The Circle of Loyalty,mythic
Thrill of Possibility,common
Opt,common
Murderous Rider // Swift End,rare
Mirrormade,rare
"Syr Konrad, the Grim",uncommon
Stormfist Crusader,rare
Acclaimed Contender,rare
Archon of Absolution,uncommon
Ardenvale Paladin,common
Ardenvale Tactician // Dizzying Swoop,common
Bartered Cow,common
Beloved Princess,common
Charming Prince,rare
Deafening Silence,uncommon
Faerie Guidemother // Gift of the Fae,common
Flutterfox,common
Fortifying Provisions,common
Giant Killer // Chop Down,rare
Glass Casket,uncommon
Happily Ever After,rare
Harmonious Archon,mythic
Hushbringer,rare
Knight of the Keep,common
"Linden, the Steadfast Queen",rare
Lonesome Unicorn // Rider in Need,common
Mysterious Pathlighter,uncommon
Outflank,common
Prized Griffin,common
Rally for the Throne,uncommon
Shepherd of the Flock // Usher to Safety,uncommon
Shining Armor,common
Silverflame Ritual,common
Silverflame Squire // On Alert,common
