name,rarity
Pacifism,common
Serra Angel,rare
Arcanis the Omnipotent,rare
Cancel,common
Flashfreeze,uncommon
Time Stop,rare
Unsummon,common
Deathmark,uncommon
Shivan Dragon,rare
Blanchwood Armor,uncommon
Giant Growth,common
Llanowar Elves,common
Overrun,uncommon
Juggernaut,uncommon
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Disenchant,common
Savannah Lions,rare
Fire Elemental,uncommon
Mentor of the Meek,uncommon
Skeleton Archer,common
Vampiric Rites,uncommon
Biogenic Upgrade,uncommon
Gnarlback Rhino,common
"Aurelia, the Warleader",mythic
Drogskol Reaver,rare
Heroic Reinforcements,uncommon
"Muldrotha, the Gravetide",mythic
Thousand-Year Storm,rare
Wilt-Leaf Liege,rare
Crusader of Odric,common
Valorous Stance,uncommon
Driver of the Dead,common
Abrade,common
Battle-Rattle Shaman,common
Rapacious Dragon,common
Doubling Season,mythic
Fierce Empath,common
Reclamation Sage,uncommon
Maelstrom Pulse,rare
Swiftblade Vindicator,rare
Adaptive Automaton,rare
Basilisk Collar,rare
Expedition Map,common
Gleaming Barrier,common
Aetherize,uncommon
Inspiring Call,uncommon
New Horizons,common
Mortify,uncommon
Gilded Lotus,rare
Hedron Archive,uncommon
Dismal Backwater,common
Evolving Wilds,common
Rugged Highlands,common
Scoured Barrens,common
Swiftwater Cliffs,common
Temple of Abandon,rare
Temple of Epiphany,rare
Temple of Mystery,rare
Thornwood Falls,common
Tranquil Cove,common
Ball Lightning,rare
Feldon's Cane,uncommon
Confiscate,uncommon
Duress,common
Phyrexian Arena,rare
Zombify,uncommon
Leonin Skyhunter,uncommon
Frenzied Goblin,common
Wildheart Invoker,common
Boros Charm,uncommon
Cloudblazer,uncommon
Swiftfoot Boots,uncommon
Negate,common
Druid of the Cowl,common
Angel of Finality,rare
Imprisoned in the Moon,rare
Reassembling Skeleton,uncommon
Dragonlord's Servant,uncommon
Dragonmaster Outcast,mythic
"Etali, Primal Storm",rare
Gratuitous Violence,rare
Taurean Mauler,rare
Terror of Mount Velus,rare
Garruk's Uprising,uncommon
Savage Ventmaw,uncommon
Burnished Hart,uncommon
Meteor Golem,uncommon
Solemn Simulacrum,rare
Vampire Spawn,common
Banishing Light,uncommon
Goblin Oriflamme,uncommon
Scorching Dragonfire,common
Regal Caracal,rare
Essence Scatter,common
Vizier of the Menagerie,mythic
Enigma Drake,uncommon
Demonic Pact,mythic
Crash Through,common
Firebrand Archer,common
Death Baron,rare
Dragon Fodder,common
Angel of Vitality,uncommon
Affectionate Indrik,uncommon
Gigantosaurus,rare
Fleeting Distraction,common
Maalfeld Twins,uncommon
Fog Bank,uncommon
Kitesail Corsair,common
Unflinching Courage,uncommon
Felidar Cub,common
Stasis Snare,uncommon
Sure Strike,common
Lightshell Duo,common
Run Away Together,common
Three Tree Mascot,common
Uncharted Haven,common
Blossoming Sands,common
Chart a Course,uncommon
Inspiring Overseer,common
Jazal Goldmane,rare
An Offer You Can't Refuse,uncommon
Broken Wings,common
"Ghalta, Primal Hunger",rare
Primeval Bounty,mythic
Rampaging Baloths,mythic
Jungle Hollow,common
Temple of Enlightenment,rare
Temple of Malady,rare
Temple of Plenty,rare
Temple of Triumph,rare
Temple of Malice,rare
Feed the Swarm,common
Steel Hellkite,rare
Temple of Deceit,rare
Temple of Silence,rare
Deadly Riposte,common
Painful Quandary,rare
Giant Cindermaw,uncommon
Obliterating Bolt,uncommon
Bushwhack,uncommon
Goblin Firebomb,common
Demolition Field,uncommon
Mazemind Tome,rare
"Ramos, Dragon Engine",mythic
Soul-Guide Lantern,uncommon
Ajani's Pridemate,uncommon
Vampire Nighthawk,uncommon
Guttersnipe,uncommon
Azorius Guildgate,common
Boros Guildgate,common
Dimir Guildgate,common
Golgari Guildgate,common
Gruul Guildgate,common
Izzet Guildgate,common
Orzhov Guildgate,common
Rakdos Guildgate,common
Selesnya Guildgate,common
Simic Guildgate,common
Into the Roil,common
Rite of Replication,rare
Elvish Archdruid,rare
Imperious Perfect,uncommon
Thornweald Archer,common
Dread Summons,rare
Dragon Mage,rare
Prime Speaker Zegana,mythic
Trygon Predator,uncommon
Rogue's Passage,uncommon
Wind-Scarred Crag,common
Scavenging Ooze,rare
Consuming Aberration,rare
Harbinger of the Tides,rare
Bloodfell Caves,common
Dictate of Kruphix,rare
"Zetalpa, Primal Dawn",rare
Think Twice,common
Heroes' Bane,uncommon
Predator Ooze,rare
Brass's Bounty,rare
Pyromancer's Goggles,mythic
Myojin of Night's Reach,rare
Carnelian Orb of Dragonkind,common
Gate Colossus,uncommon
"Drakuseth, Maw of Flames",rare
Shipwreck Dowser,common
Exsanguinate,uncommon
Rune-Scarred Demon,rare
Hoarding Dragon,uncommon
"Krenko, Mob Boss",rare
Snakeskin Veil,common
"Surrak, the Hunt Caller",uncommon
Wildwood Scourge,uncommon
"Tatyova, Benthic Druid",uncommon
Felidar Retreat,rare
Fireshrieker,uncommon
Secluded Courtyard,uncommon
