name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Divine Visitation,mythic
Capture Sphere,common
Severed Strands,common
Goblin Banneret,uncommon
Lava Coil,common
Impervious Greatwurm,rare
Assassin's Trophy,rare
Glowspore Shaman,common
League Guildmage,uncommon
Thousand-Year Storm,rare
Might of the Masses,common
Swiftblade Vindicator,rare
Chromatic Lantern,rare
Prey Upon,common
Plaguecrafter,uncommon
Knight of Autumn,rare
Fearless Halberdier,common
Inescapable Blaze,uncommon
Maniacal Rage,common
Affectionate Indrik,uncommon
Generous Stray,common
Righteous Blow,common
Sure Strike,common
Boros Guildgate,common
Dimir Guildgate,common
Golgari Guildgate,common
Izzet Guildgate,common
Selesnya Guildgate,common
Goblin Electromancer,common
Disdainful Stroke,common
Chemister's Insight,uncommon
Crackling Drake,uncommon
Izzet Locket,common
Bounty Agent,rare
Citywide Bust,rare
Murmuring Mystic,uncommon
Beast Whisperer,rare
Find // Finality,rare
Erratic Cyclops,rare
Boros Locket,common
"Niv-Mizzet, Parun",rare
Conclave Tribunal,uncommon
Parhelion Patrol,common
Roc Charger,uncommon
Sunhome Stalwart,uncommon
Leapfrog,common
Passwall Adept,common
Watcher in the Mist,common
Cosmotronic Wave,common
Direct Current,common
Fire Urchin,common
Ornery Goblin,common
Wojek Bodyguard,common
Kraul Harpooner,uncommon
Discovery // Dispersal,uncommon
Fresh-Faced Recruit,common
Integrity // Intervention,uncommon
Pitiless Gorgon,common
Status // Statue,uncommon
Thief of Sanity,rare
Trostani Discordant,mythic
Underrealm Lich,mythic
Vernadi Shieldmate,common
Whisper Agent,common
Overgrown Tomb,rare
Sacred Foundry,rare
Steam Vents,rare
Temple Garden,rare
Watery Grave,rare
Lotleth Giant,common
Response // Resurgence,rare
Child of Night,common
Devious Cover-Up,common
Crushing Canopy,common
Wee Dragonauts,common
Midnight Reaper,rare
Dream Eater,mythic
Healer's Hawk,common
Burglar Rat,common
Circuitous Route,uncommon
Narcomoeba,uncommon
"Etrata, the Silencer",rare
"Izoni, Thousand-Eyed",rare
Blade Instructor,common
Candlelight Vigil,common
Collar the Culprit,common
Crush Contraband,uncommon
Dawn of Hope,rare
Demotion,uncommon
Flight of Equenauts,uncommon
Gird for Battle,uncommon
Haazda Marshal,uncommon
Hunted Witness,common
Inspiring Unicorn,uncommon
Intrusive Packbeast,common
Ledev Guardian,common
Light of the Legion,rare
Loxodon Restorer,common
Luminous Bonds,common
Skyline Scout,common
Sworn Companions,common
Take Heart,common
Tenth District Guard,common
Venerated Loxodon,rare
Citywatch Sphinx,uncommon
Dazzling Lights,common
Dimir Informant,common
Drowned Secrets,rare
Enhanced Surveillance,uncommon
Guild Summit,uncommon
Maximize Altitude,common
Mission Briefing,rare
Muse Drake,common
Nightveil Sprite,uncommon
Omnispell Adept,rare
Quasiduplicate,rare
Radical Idea,common
Selective Snare,uncommon
Sinister Sabotage,uncommon
Thoughtbound Phantasm,uncommon
Unexplained Disappearance,common
Vedalken Mesmerist,common
Wall of Mist,common
Wishcoin Crab,common
Barrier of Bones,common
Bartizan Bats,common
Blood Operative,rare
Creeping Chill,uncommon
Dead Weight,common
Deadly Visit,common
Doom Whisperer,mythic
Douser of Lights,common
Gruesome Menagerie,rare
Hired Poisoner,common
Kraul Swarm,uncommon
Mausoleum Secrets,rare
Mephitic Vapors,common
Moodmark Painter,common
Necrotic Wound,uncommon
Never Happened,common
Pilfering Imp,uncommon
Price of Fame,uncommon
Ritual of Soot,rare
Spinal Centipede,common
Undercity Necrolisk,uncommon
Veiled Shade,common
Vicious Rumors,common
Whispering Snitch,uncommon
Arclight Phoenix,mythic
Barging Sergeant,common
Book Devourer,uncommon
Command the Storm,common
Electrostatic Field,uncommon
Experimental Frenzy,rare
Goblin Cratermaker,uncommon
Goblin Locksmith,common
Gravitic Punch,common
Hellkite Whelp,uncommon
Legion Warboss,rare
Maximize Velocity,common
Risk Factor,rare
Rubblebelt Boar,common
Runaway Steam-Kin,rare
Smelt-Ward Minotaur,uncommon
Street Riot,uncommon
Torch Courier,common
Arboretum Elemental,uncommon
Bounty of Might,rare
Devkarin Dissident,common
District Guide,uncommon
Golgari Raiders,uncommon
Grappling Sundew,uncommon
Hatchery Spider,rare
Hitchclaw Recluse,common
Ironshell Beetle,common
Kraul Foragers,common
Nullhide Ferox,mythic
Pack's Favor,common
Pause for Reflection,common
Pelt Collector,rare
Portcullis Vine,common
Siege Wurm,common
Sprouting Renewal,uncommon
Urban Utopia,common
Vigorspore Wurm,common
Vivid Revival,rare
Wary Okapi,common
Wild Ceratok,common
Artful Takedown,common
"Aurelia, Exemplar of Justice",mythic
Beacon Bolt,uncommon
Beamsplitter Mage,uncommon
Boros Challenger,uncommon
Camaraderie,rare
Centaur Peacemaker,common
Chance for Glory,mythic
Charnel Troll,rare
Conclave Cavalier,uncommon
Conclave Guildmage,uncommon
Darkblade Agent,common
Deafening Clarion,rare
Dimir Spybug,uncommon
Disinformation Campaign,uncommon
"Emmara, Soul of the Accord",rare
Erstwhile Trooper,common
Firemind's Research,rare
Garrison Sergeant,common
Golgari Findbroker,uncommon
Hammer Dropper,common
House Guildmage,uncommon
Hypothesizzle,common
Ionize,rare
Join Shields,uncommon
Justice Strike,uncommon
"Lazav, the Multifarious",mythic
Ledev Champion,uncommon
Legion Guildmage,uncommon
March of the Multitudes,mythic
Mnemonic Betrayal,mythic
Molderhulk,uncommon
Nightveil Predator,uncommon
Notion Rain,common
Ochran Assassin,uncommon
"Ral, Izzet Viceroy",mythic
Rhizome Lurcher,common
Rosemane Centaur,common
Skyknight Legionnaire,common
Sonic Assault,common
Sumala Woodshaper,common
Swarm Guildmage,uncommon
Swathcutter Giant,uncommon
"Tajic, Legion's Edge",rare
Thought Erasure,uncommon
Truefire Captain,uncommon
Undercity Uprising,common
Unmoored Ego,rare
