name,rarity
Naturalize,common
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Lightning Bolt,common
Cast Down,common
Basilisk Collar,rare
Ambition's Cost,uncommon
Plummet,common
Prophetic Prism,common
Black Market Connections,rare
"Prosper, Tome-Bound",mythic
Grim Hireling,rare
Wand of Orcus,rare
Fiendlash,rare
Belt of Giant Strength,rare
Catti-brie of Mithral Hall,rare
Meteor Golem,uncommon
Celestial Unicorn,common
Dawnbringer Cleric,common
A-Dawnbringer Cleric,common
Devoted Paladin,common
Minimus Containment,common
Monk of the Open Hand,uncommon
Portable Hole,uncommon
Priest of Ancient Lore,common
Rally Maneuver,uncommon
Steadfast Paladin,common
You Hear Something on Watch,common
You're Ambushed on the Road,common
Air-Cult Elemental,common
Charmed Sleep,common
Clever Conjurer,common
Contact Other Plane,common
Guild Thief,uncommon
Ray of Frost,uncommon
Rimeshield Frost Giant,common
Shocking Grasp,common
Soulknife Spy,common
You Come to a River,common
You Find the Villains' Lair,common
Baleful Beholder,common
Black Dragon,uncommon
Deadly Dispute,common
Demogorgon's Clutches,uncommon
Drider,uncommon
Eyes of the Beholder,common
Grim Bounty,common
Grim Wanderer,uncommon
Hoard Robber,common
Manticore,common
Sepulcher Ghoul,common
A-Sepulcher Ghoul,common
Shambling Ghast,common
Skullport Merchant,uncommon
Thieves' Tools,common
Vampire Spawn,common
Battle Cry Goblin,uncommon
Dragon's Fire,common
Dueling Rapier,common
Earth-Cult Elemental,common
Farideh's Fireball,common
Hobgoblin Captain,common
Improvised Weaponry,common
Jaded Sell-Sword,common
Red Dragon,uncommon
Unexpected Windfall,common
Valor Singer,common
You Come to the Gnoll Camp,common
You Find Some Prisoners,uncommon
Choose Your Weapon,uncommon
Circle of the Moon Druid,common
Gnoll Hunter,common
Hill Giant Herdgorger,common
Inspiring Bard,common
Lurking Roper,uncommon
Owlbear,common
Prosperous Innkeeper,uncommon
Sylvan Shepherd,common
Underdark Basilisk,common
Wild Shape,uncommon
