name,rarity
Pacifism,common
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Capture Sphere,common
Cathartic Reunion,common
Reconnaissance Mission,uncommon
Dismal Backwater,common
Evolving Wilds,common
Rugged Highlands,common
Scoured Barrens,common
Swiftwater Cliffs,common
Thornwood Falls,common
Tranquil Cove,common
Plummet,common
Essence Scatter,common
Blazing Volley,common
Greater Sandwurm,common
Unlikely Aid,common
Fertilid,common
Frost Lynx,common
Anticipate,common
Thieving Otter,common
Colossification,rare
Blossoming Sands,common
Luminous Broodmoth,mythic
Bastion of Remembrance,uncommon
Jungle Hollow,common
Wind-Scarred Crag,common
Bloodfell Caves,common
Primal Empathy,uncommon
Sprite Dragon,uncommon
Corpse Churn,common
Heartless Act,uncommon
Serrated Scorpion,common
Ram Through,common
"Zilortha, Strength Incarnate",rare
Narset of the Ancient Way,mythic
Bonders' Enclave,rare
Lead the Stampede,uncommon
Migration Path,uncommon
"Illuna, Apex of Wishes",mythic
"Nethroi, Apex of Death",mythic
Dark Bargain,common
Adventurous Impulse,common
Shark Typhoon,rare
Convolute,common
Aegis Turtle,common
Voracious Greatshark,rare
Bushmeat Poacher,common
Dead Weight,common
Archipelagore,uncommon
Pouncing Shoreshark,uncommon
Sea-Dasher Octopus,rare
Ivy Elemental,rare
Adaptive Shimmerer,common
Farfinder,common
Mysterious Egg,common
Blade Banish,common
Checkpoint Officer,common
Coordinated Charge,common
Cubwarden,rare
Daysquad Marshal,common
Divine Arrow,common
Drannith Healer,common
Drannith Magistrate,rare
Fight as One,uncommon
Flourishing Fox,uncommon
Garrison Cat,common
Helica Glider,common
Huntmaster Liger,uncommon
Imposing Vantasaur,common
Keensight Mentor,uncommon
Lavabrink Venturer,rare
Light of Hope,common
Majestic Auricorn,uncommon
Maned Serval,common
Mythos of Snapdax,rare
Patagia Tiger,common
Perimeter Sergeant,common
Sanctuary Lockdown,uncommon
Savai Sabertooth,common
Snare Tactician,common
Solid Footing,common
Splendor Mare,uncommon
Spontaneous Flight,common
Stormwild Capridor,uncommon
Swallow Whole,uncommon
Valiant Rescuer,uncommon
Vulpikeet,common
Will of the All-Hunter,uncommon
Avian Oddity,uncommon
Boon of the Wish-Giver,uncommon
Crystacean,common
Dreamtail Heron,common
Escape Protocol,uncommon
Facet Reader,common
Frostveil Ambush,common
Glimmerbell,common
Gust of Wind,common
Hampering Snare,common
Keep Safe,common
Mystic Subdual,uncommon
Mythos of Illuna,rare
Neutralize,uncommon
Of One Mind,common
Ominous Seas,uncommon
Phase Dolphin,common
Pollywog Symbiote,uncommon
Startling Development,common
Wingfold Pteron,common
Wingspan Mentor,uncommon
Blitz Leech,common
Blood Curdle,common
Boot Nipper,common
Call of the Death-Dweller,uncommon
Cavern Whisperer,common
Chittering Harvester,uncommon
Dirge Bat,rare
Durable Coilbug,common
Duskfang Mentor,uncommon
Easy Prey,uncommon
Extinction Event,rare
Gloom Pangolin,common
Grimdancer,uncommon
Hunted Nightmare,rare
Insatiable Hemophage,uncommon
Lurking Deadeye,common
Memory Leak,common
Mutual Destruction,common
Mythos of Nethroi,rare
Nightsquad Commando,common
Suffocating Fumes,common
Unbreakable Bond,uncommon
Unexpected Fangs,common
Void Beckoner,uncommon
Whisper Squad,common
Zagoth Mamba,uncommon
Blisterspit Gremlin,common
Blitz of the Thunder-Raptor,uncommon
Clash of Titans,uncommon
Cloudpiercer,common
Drannith Stinger,common
Everquill Phoenix,rare
Ferocious Tigorilla,common
Fire Prophecy,common
Flame Spill,uncommon
Footfall Crater,uncommon
Forbidden Friendship,common
Frenzied Raptor,common
Frillscare Mentor,uncommon
Go for Blood,common
Heightened Reflexes,common
Lava Serpent,common
"Lukka, Coppercoat Outcast",mythic
Momentum Rumbler,uncommon
Mythos of Vadrok,rare
Porcuparrot,uncommon
Prickly Marmoset,common
Pyroceratops,common
Raking Claws,common
Reptilian Reflection,uncommon
Rooting Moloch,uncommon
Rumbling Rockslide,common
Sanctuary Smasher,uncommon
Shredded Sails,common
Spelleater Wolverine,common
Tentative Connection,common
Unpredictable Cyclone,rare
Weaponize the Monsters,uncommon
"Yidaro, Wandering Monster",rare
Almighty Brushwagg,common
Auspicious Starrix,uncommon
Barrier Breach,uncommon
Bristling Boar,common
Charge of the Forever-Beast,uncommon
Essence Symbiote,common
Excavation Mole,common
Exuberant Wolfbear,uncommon
Flycatcher Giraffid,common
Fully Grown,common
Gemrazer,rare
Glowstone Recluse,uncommon
Honey Mammoth,common
Hornbash Mentor,uncommon
Humble Naturalist,common
"Kogla, the Titan Ape",rare
Migratory Greathorn,common
Monstrous Step,uncommon
Mosscoat Goriak,common
Mythos of Brokkos,rare
Sudden Spinnerets,common
Survivors' Bond,common
Thwart the Enemy,common
Titanoth Rex,uncommon
"Vivien, Monsters' Advocate",mythic
Wilt,common
Back for More,uncommon
Boneyard Lurker,uncommon
"Brokkos, Apex of Forever",mythic
Channeled Force,uncommon
"Chevill, Bane of Monsters",mythic
Death's Oasis,rare
Dire Tactics,uncommon
Eerie Ultimatum,rare
Emergent Ultimatum,rare
Frondland Felidar,rare
General Kudro of Drannith,mythic
General's Enforcer,uncommon
Genesis Ultimatum,rare
Inspired Ultimatum,rare
"Kinnan, Bonder Prodigy",mythic
Labyrinth Raptor,rare
Lore Drakkis,uncommon
Necropanther,uncommon
Offspring's Revenge,rare
Parcelbeast,uncommon
Quartzwood Crasher,rare
Regal Leosaur,uncommon
"Rielle, the Everwise",mythic
Ruinous Ultimatum,rare
Savai Thundermane,uncommon
Skull Prophet,uncommon
Skycat Sovereign,rare
Slitherwisp,rare
"Snapdax, Apex of the Hunt",mythic
Song of Creation,rare
Titans' Nest,rare
Trumpeting Gnarr,uncommon
"Vadrok, Apex of Thunder",mythic
Whirlwind of Thought,rare
"Winota, Joiner of Forces",mythic
"A-Winota, Joiner of Forces",mythic
Zenith Flare,uncommon
Alert Heedbonder,uncommon
Cunning Nightbonder,uncommon
Fiend Artisan,mythic
"Gyruda, Doom of Depths",rare
"Jegantha, the Wellspring",rare
Jubilant Skybonder,uncommon
"Kaheera, the Orphanguard",rare
"Keruga, the Macrosage",rare
Lurrus of the Dream-Den,rare
"Lutri, the Spellchaser",rare
"Obosh, the Preypiercer",rare
Proud Wildbonder,uncommon
Sonorous Howlbonder,uncommon
"Umori, the Collector",rare
"Yorion, Sky Nomad",rare
"Zirda, the Dawnwaker",rare
Crystalline Giant,rare
Indatha Crystal,uncommon
Ketria Crystal,uncommon
The Ozolith,rare
Raugrin Crystal,uncommon
Savai Crystal,uncommon
Sleeper Dart,common
Springjaw Trap,common
Zagoth Crystal,uncommon
Indatha Triome,rare
Ketria Triome,rare
Raugrin Triome,rare
Savai Triome,rare
Zagoth Triome,rare
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
