name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Strategic Planning,common
Snow-Covered Plains,common
Snow-Covered Island,common
Snow-Covered Swamp,common
Snow-Covered Mountain,common
Snow-Covered Forest,common
Broken Wings,common
Esika's Chariot,rare
"Toski, Bearer of Secrets",rare
Binding the Old Gods,uncommon
Maskwood Nexus,rare
Disdainful Stroke,common
Glorious Protector,rare
Reflections of Littjara,rare
Crippling Fear,rare
Demon Bolt,common
Battle Mammoth,mythic
Firja's Retribution,rare
Highland Forest,common
Port of Karfell,uncommon
Snowfield Sinkhole,common
Inga Rune-Eyes,uncommon
Dwarven Hammer,common
Snakeskin Veil,common
Realmwalker,rare
Battle for Bretagard,rare
Tyrite Sanctum,rare
Path to the World Tree,uncommon
Invoke the Divine,common
Run Amok,common
"Kardur, Doomscourge",uncommon
Youthful Valkyrie,uncommon
Axgard Cavalry,common
Goldvein Pick,common
Seize the Spoils,common
"Fynn, the Fangbearer",uncommon
Immersturm Predator,rare
Village Rites,common
Elven Ambush,uncommon
Giant Ox,common
Righteous Valkyrie,rare
Spectral Steel,uncommon
Stalwart Valkyrie,common
Starnheim Aspirant,uncommon
Valkyrie Harbinger,rare
Avalanche Caller,uncommon
Berg Strider,common
Frostpeak Yeti,common
Icebind Pillar,uncommon
Littjara Kinseekers,common
Mistwalker,common
Pilfering Hawk,common
Undersea Invader,common
Demonic Gifts,common
Dread Rider,common
Karfell Kennel-Master,common
Goldspan Dragon,mythic
Immersturm Raider,common
Vault Robber,common
Elderleaf Mentor,common
Elven Bow,uncommon
Elvish Warmaster,rare
Roots of Wisdom,common
Bloodline Pretender,uncommon
Raiders' Karve,common
Shimmerdrift Vale,common
Run Ashore,common
Revitalize,common
Starnheim Courser,common
Valkyrie's Sword,uncommon
Draugr Thought-Thief,common
Elderfang Disciple,common
Koma's Faithful,common
Skemfar Shadowsage,uncommon
Tyvar Kell,mythic
Axgard Braggart,common
Battershield Warrior,uncommon
Battlefield Raptor,common
Beskir Shieldmate,common
Bound in Gold,common
Clarion Spirit,uncommon
Codespell Cleric,common
Divine Gambit,uncommon
Doomskar,rare
Doomskar Oracle,common
Gods' Hall Guardian,common
Goldmaw Champion,common
"Halvar, God of Battle // Sword of the Realms",mythic
Iron Verdict,common
Kaya's Onslaught,uncommon
Master Skald,common
Rally the Ranks,rare
"Reidane, God of the Worthy // Valkmira, Protector's Shield",rare
Resplendent Marshal,mythic
Rune of Sustenance,uncommon
Runeforge Champion,rare
Search for Glory,rare
Shepherd of the Cosmos,uncommon
"Sigrid, God-Favored",rare
Starnheim Unleashed,mythic
Story Seeker,common
Usher of the Fallen,uncommon
Valor of the Worthy,common
Warhorn Blast,common
Wings of the Cosmos,common
"Alrund, God of the Cosmos // Hakka, Whispering Raven",mythic
"A-Alrund, God of the Cosmos // A-Hakka, Whispering Raven",mythic
Alrund's Epiphany,mythic
A-Alrund's Epiphany,mythic
Annul,common
Ascendant Spirit,rare
Augury Raven,common
Behold the Multiverse,common
Bind the Monster,common
Brinebarrow Intruder,common
"Cosima, God of the Voyage // The Omenkeel",rare
Cosmos Charger,rare
A-Cosmos Charger,rare
Cyclone Summoner,rare
Depart the Realm,common
Frost Augur,uncommon
Frostpyre Arcanist,uncommon
Giant's Amulet,uncommon
Glimpse the Cosmos,uncommon
Graven Lore,rare
Icebreaker Kraken,rare
Karfell Harbinger,common
Mists of Littjara,common
Mystic Reflection,rare
"Orvar, the All-Form",mythic
Ravenform,common
Rune of Flight,uncommon
Saw It Coming,uncommon
Blood on the Snow,rare
Bloodsky Berserker,uncommon
Burning-Rune Demon,mythic
Deathknell Berserker,common
Dogged Pursuit,common
Draugr Necromancer,rare
Draugr Recruiter,common
Draugr's Helm,uncommon
Dream Devourer,rare
Duskwielder,common
"Egon, God of Death // Throne of Death",rare
Eradicator Valkyrie,mythic
Feed the Serpent,common
Grim Draugr,common
Hailstorm Valkyrie,uncommon
Haunting Voyage,mythic
Infernal Pet,common
Jarl of the Forsaken,common
Poison the Cup,uncommon
Priest of the Haunted Edge,common
Raise the Draugr,common
Return Upon the Tide,uncommon
A-Return Upon the Tide,uncommon
Rise of the Dread Marn,rare
Rune of Mortality,uncommon
Skemfar Avenger,rare
A-Skemfar Avenger,rare
Skull Raid,common
"Tergrid, God of Fright // Tergrid's Lantern",rare
Tergrid's Shadow,uncommon
"Valki, God of Lies // Tibalt, Cosmic Impostor",mythic
"Varragoth, Bloodsky Sire",rare
Vengeful Reaper,uncommon
Weigh Down,common
Withercrown,common
Arni Brokenbrow,rare
Basalt Ravager,uncommon
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",rare
Breakneck Berserker,common
Calamity Bearer,rare
Cinderheart Giant,common
Craven Hulk,common
Crush the Weak,uncommon
Doomskar Titan,uncommon
Dragonkin Berserker,rare
Dual Strike,uncommon
Dwarven Reinforcements,common
Fearless Liberator,uncommon
Fearless Pup,common
Frenzied Raider,uncommon
Frost Bite,common
Hagi Mob,common
"Magda, Brazen Outlaw",rare
Open the Omenpaths,common
Provoke the Trolls,uncommon
Quakebringer,mythic
Reckless Crew,rare
Rune of Speed,uncommon
Shackles of Treachery,common
Smashing Success,common
Squash,common
Tibalt's Trickery,rare
"Toralf, God of Fury // Toralf's Hammer",mythic
Tormentor's Helm,common
Tundra Fumarole,rare
Tuskeri Firewalker,common
Arachnoform,common
Blessing of Frost,rare
Blizzard Brawl,uncommon
Boreal Outrider,uncommon
A-Elderleaf Mentor,common
A-Elven Bow,uncommon
"Esika, God of the Tree // The Prismatic Bridge",mythic
Glittering Frost,common
Gnottvold Recluse,common
Grizzled Outrider,common
Guardian Gladewalker,common
Horizon Seeker,common
Icehide Troll,common
In Search of Greatness,rare
Jaspera Sentinel,common
"Jorn, God of Winter // Kaldring, the Rimestaff",rare
King Harald's Revenge,common
