name,rarity
Cancel,common
Naturalize,common
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Shatter,common
Abzan Falconer,uncommon
Ainok Bond-Kin,common
Seeker of the Way,common
Jeskai Elder,common
Monastery Swiftspear,common
Hardened Scales,rare
Tuskguard Captain,common
Abzan Ascendancy,rare
Abzan Charm,uncommon
Bear's Companion,uncommon
Crackling Doom,uncommon
Jeskai Ascendancy,rare
Jeskai Charm,uncommon
"Sidisi, Brood Tyrant",rare
Sultai Soothsayer,uncommon
Villainous Wealth,rare
Utter End,rare
Dismal Backwater,common
Frontier Bivouac,uncommon
Rugged Highlands,common
Scoured Barrens,common
Swiftwater Cliffs,common
Thornwood Falls,common
Tranquil Cove,common
Dragon's Eye Savants,common
Mystic of the Hidden Way,common
Ruthless Ripper,common
Act of Treason,common
Hordeling Outburst,common
Trumpet Blast,common
Woolly Loxodon,common
Tormenting Voice,common
Crippling Chill,common
Take Up Arms,uncommon
Swarm of Bloodflies,uncommon
Smite the Monstrous,common
Dutiful Return,common
Blossoming Sands,common
Jungle Hollow,common
Mystic Monastery,uncommon
Arc Lightning,common
Wind-Scarred Crag,common
Brave the Sands,uncommon
Disdainful Stroke,common
Treasure Cruise,common
Ankle Shanker,rare
Duneblast,rare
Nomad Outpost,uncommon
Opulent Palace,uncommon
Sandsteppe Citadel,uncommon
Bloodfell Caves,common
Wingmate Roc,mythic
Clever Impersonator,mythic
Kheru Spellsnatcher,rare
Thousand Winds,rare
Grim Haruspex,rare
Hooded Hydra,mythic
Trail of Mystery,rare
Icefeather Aven,uncommon
Sagu Mauler,rare
Secret Plans,uncommon
Sultai Charm,uncommon
Temur Charm,uncommon
Dig Through Time,rare
Bloodsoaked Champion,rare
Gurmag Swiftwing,uncommon
Heart-Piercer Bow,common
"Narset, Enlightened Master",mythic
Tomb of the Spirit Dragon,uncommon
Bitter Revelation,common
Deflecting Palm,rare
Kill Shot,common
Burn Away,uncommon
Necropolis Fiend,rare
Sultai Ascendancy,rare
Siege Rhino,rare
Windstorm,uncommon
Zurgo Helmsmasher,mythic
Mardu Heart-Piercer,uncommon
Seek the Horizon,uncommon
Surrak Dragonclaw,mythic
Summit Prowler,common
Ride Down,uncommon
Flooded Strand,mythic
Polluted Delta,mythic
Bloodstained Mire,mythic
Wooded Foothills,mythic
Windswept Heath,mythic
Despise,rare
Suspension Field,rare
Abzan Battle Priest,uncommon
Riverwheel Aerialists,common
Mer-Ek Nightblade,uncommon
Sultai Flayer,uncommon
Awaken the Bear,common
Incremental Growth,uncommon
"Sarkhan, the Dragonspeaker",mythic
Swift Kick,common
War-Name Aspirant,uncommon
Hooting Mandrills,common
Roar of Challenge,uncommon
Savage Punch,common
Defiant Strike,common
Bloodfire Expert,common
High Sentinels of Arashin,rare
Alabaster Kirin,common
Dazzling Ramparts,uncommon
End Hostilities,rare
Erase,common
Feat of Resistance,common
Firehoof Cavalry,common
Herald of Anafenza,rare
Jeskai Student,common
Mardu Hateblade,common
Mardu Hordechief,common
Master of Pearls,rare
Rush of Battle,common
Sage-Eye Harrier,common
Salt Road Patrol,common
Siegecraft,common
Timely Hordemate,uncommon
Venerable Lammasu,uncommon
War Behemoth,common
Watcher of the Roost,uncommon
Blinding Spray,uncommon
Embodiment of Spring,common
Force Away,common
Glacial Stalker,common
Icy Blast,rare
Jeskai Windscout,common
Mistfire Weaver,uncommon
Monastery Flock,common
Pearl Lake Ancient,mythic
Quiet Contemplation,uncommon
Scaldkin,common
Scion of Glaciers,uncommon
Set Adrift,uncommon
Singing Bell Strike,common
Stubborn Denial,uncommon
Taigam's Scheming,common
Waterwhirl,uncommon
Weave Fate,common
Wetland Sambar,common
Whirlwind Adept,common
Bellowing Saddlebrute,uncommon
Dead Drop,uncommon
Debilitating Injury,common
Disowned Ancestor,common
Empty the Pits,mythic
Kheru Bloodsucker,uncommon
Kheru Dreadmaw,common
Krumar Bond-Kin,common
Mardu Skullhunter,common
Molting Snakeskin,common
Murderous Cut,uncommon
Raiders' Spoils,uncommon
Rakshasa's Secret,common
Retribution of the Ancients,rare
Rite of the Serpent,common
Rotting Mastodon,common
Shambling Attendants,common
Sidisi's Pet,common
Sultai Scavenger,common
Throttle,common
Unyielding Krumar,common
Ainok Tracker,common
Arrow Storm,common
Ashcloud Phoenix,mythic
Barrage of Boulders,common
Bloodfire Mentor,common
Bring Low,common
Canyon Lurkers,common
Crater's Claws,rare
Dragon Grip,uncommon
Dragon-Style Twins,rare
Goblinslide,uncommon
Horde Ambusher,uncommon
Howl of the Horde,rare
Jeering Instigator,rare
Leaping Master,common
Mardu Blazebringer,uncommon
Mardu Warshrieker,common
Valley Dasher,common
Alpine Grizzly,common
Archers' Parapet,common
Become Immense,uncommon
Dragonscale Boon,common
Feed the Clan,common
Heir of the Wilds,uncommon
Highland Game,common
Kin-Tree Warden,common
Longshot Squad,common
Meandering Towershell,rare
Pine Walker,uncommon
Rattleclaw Mystic,rare
Sagu Archer,common
