name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Cavern of Souls,mythic
Abrade,common
Chart a Course,uncommon
Sorcerous Spyglass,rare
Mischievous Pup,uncommon
Self-Reflection,uncommon
Eaten by Piranhas,uncommon
Thrashing Brontodon,uncommon
Dead Weight,common
Rumbling Rockslide,common
Armored Kincaller,common
"Chimil, the Inner Sun",mythic
Abuelo's Awakening,rare
Acrobatic Leap,common
Adaptive Gemguard,common
Attentive Sunscribe,common
Bat Colony,uncommon
Clay-Fired Bricks // Cosmium Kiln,uncommon
Cosmium Blast,common
Dauntless Dismantler,uncommon
Deconstruction Hammer,common
Dusk Rose Reliquary,uncommon
Envoy of Okinec Ahau,common
Fabrication Foundry,rare
Family Reunion,common
Get Lost,rare
Glorifier of Suffering,common
Guardian of the Great Door,uncommon
Helping Hand,uncommon
Ironpaw Aspirant,common
Kinjalli's Dawnrunner,uncommon
Kutzil's Flanker,rare
Malamet War Scribe,uncommon
Market Gnome,uncommon
Might of the Ancestors,uncommon
Miner's Guidewing,common
"Ojer Taq, Deepest Foundation // Temple of Civilization",mythic
Oltec Archaeologists,common
Oltec Cloud Guard,common
Oteclan Landmark // Oteclan Levitator,common
Petrify,common
Quicksand Whirlpool,common
Resplendent Angel,mythic
Ruin-Lurker Bat,uncommon
Sanguine Evangelist,rare
Soaring Sandwing,common
Spring-Loaded Sawblades // Bladewheel Chariot,uncommon
Thousand Moons Crackshot,common
Thousand Moons Infantry,common
Thousand Moons Smithy // Barracks of the Thousand,rare
Tinker's Tote,common
Unstable Glyphbridge // Sandswirl Wanderglyph,rare
Vanguard of the Rose,uncommon
Warden of the Inner Sky,rare
"Akal Pakal, First Among Equals",rare
Ancestral Reminiscence,common
Brackish Blunder,common
Braided Net // Braided Quipu,rare
Cogwork Wrestler,common
Confounding Riddle,uncommon
Council of Echoes,uncommon
Deeproot Pilgrimage,rare
Didact Echo,common
The Enigma Jewel // Locus of Enlightenment,mythic
The Everflowing Well // The Myriad Pools,rare
Frilled Cave-Wurm,common
Hermitic Nautilus,uncommon
Hurl into History,uncommon
Inverted Iceberg // Iceberg Titan,common
Kitesail Larcenist,rare
Lodestone Needle // Guidestone Compass,uncommon
"Malcolm, Alluring Scoundrel",rare
Marauding Brinefang,common
Merfolk Cave-Diver,uncommon
Oaken Siren,common
"Ojer Pakpatiq, Deepest Epoch // Temple of Cyclical Time",mythic
Orazca Puzzle-Door,common
Out of Air,common
Pirate Hat,common
Relic's Roar,common
River Herald Scout,common
Sage of Days,common
Shipwreck Sentry,common
Sinuous Benthisaur,uncommon
Song of Stupefaction,common
Spyglass Siren,uncommon
Staunch Crewmate,uncommon
Subterranean Schooner,rare
Tishana's Tidebinder,rare
Unlucky Drop,common
Waterlogged Hulk // Watertight Gondola,uncommon
Waterwind Scout,common
Waylaying Pirates,common
Zoetic Glyph,uncommon
Abyssal Gorestalker,uncommon
"Aclazotz, Deepest Betrayal // Temple of the Dead",mythic
Acolyte of Aclazotz,common
Another Chance,common
Bitter Triumph,uncommon
Bloodletter of Aclazotz,mythic
Bloodthorn Flail,uncommon
Bringer of the Last Gift,rare
Broodrage Mycoid,common
Canonized in Blood,uncommon
Chupacabra Echo,uncommon
Corpses of the Lost,rare
Deathcap Marionette,common
Deep Goblin Skulltaker,common
Deep-Cavern Bat,uncommon
Defossilize,uncommon
Echo of Dusk,common
Fanatical Offering,common
Fungal Fortitude,common
Gargantuan Leech,uncommon
Grasping Shadows // Shadows' Lair,uncommon
Greedy Freebooter,common
Join the Dead,common
Malicious Eclipse,uncommon
Mephitic Draught,common
Preacher of the Schism,rare
Primordial Gnawer,common
Queen's Bay Paladin,rare
Rampaging Spiketail,common
Ray of Ruin,common
Screaming Phantom,common
Skullcap Snail,common
Soulcoil Viper,uncommon
Souls of the Lost,rare
Stalactite Stalker,rare
Starving Revenant,rare
Stinging Cave Crawler,uncommon
Synapse Necromage,uncommon
Tarrian's Journal // The Tomb of Aclazotz,rare
Terror Tide,rare
Tithing Blade // Consuming Sepulcher,common
Visage of Dread // Dread Osseosaur,uncommon
Vito's Inquisitor,common
Ancestors' Aid,common
Belligerent Yearling,uncommon
Bonehoard Dracosaur,mythic
"Brass's Tunnel-Grinder // Tecutlan, the Searing Rift",rare
Brazen Blademaster,common
"Breeches, Eager Pillager",rare
Burning Sun Cavalry,common
Calamitous Cave-In,uncommon
Child of the Volcano,common
Curator of Sun's Creation,uncommon
Daring Discovery,common
Diamond Pick-Axe,uncommon
Dinotomaton,common
Dire Flail // Dire Blunderbuss,rare
Dowsing Device // Geode Grotto,uncommon
Dreadmaw's Ire,uncommon
Enterprising Scallywag,uncommon
Etali's Favor,common
Geological Appraiser,uncommon
A-Geological Appraiser,uncommon
Goblin Tomb Raider,common
Goldfury Strider,uncommon
Hit the Mother Lode,rare
Hotfoot Gnome,common
Idol of the Deep King // Sovereign's Macuahuitl,common
"Inti, Seneschal of the Sun",rare
Magmatic Galleon,rare
"Ojer Axonil, Deepest Might // Temple of Power",mythic
Panicked Altisaur,common
Plundering Pirate,common
Poetic Ingenuity,rare
Rampaging Ceratops,uncommon
Saheeli's Lattice // Mastercraft Raptor,uncommon
Scytheclaw Raptor,uncommon
Seismic Monstrosaur,common
Sunfire Torch,common
Sunshot Militia,common
Tectonic Hazard,common
Triumphant Chomp,uncommon
Trumpeting Carnosaur,rare
Volatile Wanderglyph,common
Zoyowa's Justice,uncommon
Basking Capybara,common
Bedrock Tortoise,rare
Cavern Stomper,common
Cenote Scout,uncommon
Coati Scavenger,uncommon
Colossadactyl,uncommon
Cosmium Confluence,rare
Disturbed Slumber,common
Earthshaker Dreadmaw,uncommon
Explorer's Cache,uncommon
"Ghalta, Stampede Tyrant",mythic
Glimpse the Core,uncommon
Glowcap Lantern,uncommon
