name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Knight of the Keep,common
The One Ring,mythic
Banish from Edoras,common
The Battle of Bywater,rare
Bill the Pony,uncommon
"Boromir, Warden of the Tower",rare
Dawn of a New Age,mythic
Dúnedain Blade,common
Eagles of the North,common
Eastfarthing Farmer,common
East-Mark Cavalier,common
"Éowyn, Lady of Rohan",uncommon
Errand-Rider of Gondor,common
Escape from Orthanc,common
Esquire of the King,common
"Faramir, Field Commander",uncommon
Flowering of the White Tree,rare
Fog on the Barrow-Downs,common
Forge Anew,rare
"Frodo, Sauron's Bane",rare
Gandalf the White,mythic
Hobbit's Sting,common
"Landroval, Horizon Witness",uncommon
Lost to Legend,uncommon
Nimble Hobbit,common
"Now for Wrath, Now for Ruin!",common
Protector of Gondor,common
Reprieve,uncommon
Rosie Cotton of South Lane,uncommon
Samwise the Stouthearted,uncommon
Second Breakfast,common
Shire Shirriff,uncommon
Slip On the Ring,common
Soldier of the Grey Host,common
Stalwarts of Osgiliath,common
Tale of Tinúviel,uncommon
Took Reaper,common
War of the Last Alliance,rare
Westfold Rider,common
You Cannot Pass!,uncommon
Arwen's Gift,common
The Bath Song,uncommon
Bewitching Leechcraft,common
"Bill Ferny, Bree Swindler",uncommon
Birthday Escape,common
Borne Upon a Wind,rare
Captain of Umbar,common
Council's Deliberation,uncommon
Deceive the Messenger,common
Dreadful as the Storm,common
"Elrond, Lord of Rivendell",uncommon
"Gandalf, Friend of the Shire",uncommon
Glorious Gale,common
"Goldberry, River-Daughter",rare
Grey Havens Navigator,common
Hithlain Knots,common
Horses of the Bruinen,uncommon
Ioreth of the Healing House,uncommon
Isolation at Orthanc,common
Ithilien Kingfisher,common
Knights of Dol Amroth,common
Lórien Revealed,common
Lost Isle Calling,rare
"Meneldor, Swift Savior",uncommon
Nimrodel Watcher,common
Pelargir Survivor,common
Press the Enemy,rare
Rangers of Ithilien,rare
Saruman the White,uncommon
Saruman's Trickery,uncommon
Scroll of Isildur,rare
Soothing of Sméagol,common
Stern Scolding,uncommon
Storm of Saruman,mythic
Surrounded by Orcs,common
Treason of Isengard,common
The Watcher in the Water,mythic
Willow-Wind,common
Bitter Downfall,uncommon
The Black Breath,common
Call of the Ring,rare
Cirith Ungol Patrol,common
Claim the Precious,common
Dunland Crebain,common
Easterling Vanguard,common
"Gollum, Patient Plotter",uncommon
Gollum's Bite,uncommon
Gorbag of Minas Morgul,uncommon
"Gothmog, Morgul Lieutenant",uncommon
Gríma Wormtongue,uncommon
"Grond, the Gatebreaker",uncommon
Haunt of the Dead Marshes,common
Isildur's Fateful Strike,rare
Lash of the Balrog,common
Lobelia Sackville-Baggins,rare
March from the Black Gate,uncommon
Mirkwood Bats,common
Mordor Muster,common
Mordor Trebuchet,common
Morgul-Knife Wound,common
Nasty End,common
Nazgûl,uncommon
Oath of the Grey Host,uncommon
One Ring to Rule Them All,rare
Orcish Bowmasters,rare
A-Orcish Bowmasters,rare
Orcish Medicine,common
Sam's Desperate Rescue,common
"Sauron, the Necromancer",rare
Shadow of the Enemy,mythic
Shelob's Ambush,common
Snarling Warg,common
The Torment of Gollum,common
Troll of Khazad-dûm,common
Uruk-hai Berserker,common
Voracious Fell Beast,uncommon
Witch-king of Angmar,mythic
Battle-Scarred Goblin,common
Book of Mazarbul,uncommon
Breaking of the Fellowship,common
Cast into the Fire,common
Display of Power,rare
"Éomer, Marshal of Rohan",rare
Éomer of the Riddermark,uncommon
Erebor Flamesmith,common
"Erkenbrand, Lord of Westfold",uncommon
Fall of Cair Andros,rare
"Fear, Fire, Foes!",uncommon
Fiery Inscription,uncommon
Fire of Orthanc,common
Foray of Orcs,uncommon
"Gimli, Counter of Kills",uncommon
Gimli's Axe,common
Gimli's Fury,common
"Glóin, Dwarf Emissary",rare
Goblin Fireleaper,uncommon
"Grishnákh, Brash Instigator",uncommon
Haradrim Spearmaster,common
Hew the Entwood,mythic
Improvised Club,common
Moria Marauder,rare
Oliphaunt,common
Olog-hai Crusher,common
Quarrel's End,common
Rally at the Hornburg,common
Ranger's Firebrand,uncommon
Relentless Rohirrim,common
Rising of the Day,uncommon
Rohirrim Lancer,common
Rush the Room,common
Smite the Deathless,common
Spiteful Banditry,mythic
Swarming of Moria,common
There and Back Again,rare
Warbeast of Gorgoroth,common
Bag End Porter,common
Bombadil's Song,common
Brandywine Farmer,common
Celeborn the Wise,uncommon
Chance-Met Elves,common
Delighted Halfling,rare
Dúnedain Rangers,uncommon
Elven Chorus,rare
Elven Farsight,common
Enraged Huorn,common
Entish Restoration,uncommon
Ent's Fury,common
Fall of Gil-galad,rare
"Fangorn, Tree Shepherd",rare
Galadhrim Bow,common
Galadhrim Guide,common
Generous Ent,common
Gift of Strands,uncommon
"Glorfindel, Dauntless Rescuer",uncommon
Last March of the Ents,mythic
"Legolas, Master Archer",rare
Long List of the Ents,uncommon
Lothlórien Lookout,common
Many Partings,common
Meriadoc Brandybuck,uncommon
Mirkwood Spider,common
Mirrormere Guardian,common
Mushroom Watchdogs,common
Peregrin Took,uncommon
Pippin's Bravery,common
"Quickbeam, Upstart Ent",uncommon
Radagast the Brown,mythic
Revive the Shire,common
The Ring Goes South,rare
Shortcut to Mushrooms,uncommon
Shower of Arrows,common
Stew the Coneys,uncommon
Wose Pathfinder,common
"Aragorn, Company Leader",rare
"Aragorn, the Uniter",mythic
"Arwen, Mortal Queen",mythic
Arwen Undómiel,uncommon
"The Balrog, Durin's Bane",rare
"Bilbo, Retired Burglar",uncommon
"Butterbur, Bree Innkeeper",uncommon
"Denethor, Ruling Steward",uncommon
Doors of Durin,rare
"Elrond, Master of Healing",rare
"Éowyn, Fearless Knight",rare
"Faramir, Prince of Ithilien",rare
Flame of Anor,rare
Friendly Rivalry,uncommon
Frodo Baggins,uncommon
Galadriel of Lothlórien,rare
