name,rarity
Glorious Anthem,rare
Cancel,common
Mind Rot,common
Shock,common
Quirion Dryad,rare
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Capture Sphere,common
Jeskai Elder,common
Skeleton Archer,common
Conclave Mentor,uncommon
Battle-Rattle Shaman,common
Fierce Empath,common
Cultivate,common
Dismal Backwater,common
Rugged Highlands,common
Scoured Barrens,common
Swiftwater Cliffs,common
Temple of Epiphany,rare
Temple of Mystery,rare
Thornwood Falls,common
Tranquil Cove,common
Volcanic Geyser,uncommon
Duress,common
Rewind,uncommon
"Azusa, Lost but Seeking",rare
Colossal Dreadmaw,common
Lorescale Coatl,uncommon
Destructive Tampering,common
Heroic Intervention,rare
Garruk's Uprising,uncommon
Return to Nature,common
Obsessive Stitcher,uncommon
Solemn Simulacrum,rare
Scorching Dragonfire,common
Riddleform,uncommon
Crash Through,common
Life Goes On,common
Wall of Runes,common
Bad Deal,uncommon
Burn Bright,common
Titanic Growth,common
Wildwood Patrol,common
Tavern Swindler,uncommon
Tormod's Crypt,common
Sure Strike,common
Fabled Passage,rare
Blossoming Sands,common
"Mangara, the Diplomat",mythic
"Jolrael, Mwonvuli Recluse",rare
Jungle Hollow,common
Temple of Malady,rare
Temple of Triumph,rare
Temple of Silence,rare
Mazemind Tome,rare
Containment Priest,rare
Palladium Myr,uncommon
Faith's Fetters,common
Wind-Scarred Crag,common
Scavenging Ooze,rare
Bloodfell Caves,common
Silversmote Ghoul,uncommon
Radiant Fountain,common
Pursued Whale,rare
Brash Taunter,rare
Roaming Ghostlight,common
Masked Blackguard,common
Goblin Wizardry,common
Havoc Jester,uncommon
Spellgorger Weird,common
Turret Ogre,common
Fungal Rebirth,uncommon
Swift Response,common
Shipwreck Dowser,common
Carrion Grub,common
Goremand,uncommon
Witch's Cauldron,common
Furious Rise,uncommon
"Subira, Tulzidi Caravanner",uncommon
Wildwood Scourge,uncommon
Pitchburn Devils,common
Goblin Arsonist,common
Fetid Imp,common
Thrill of Possibility,common
Snarespinner,common
Meteorite,common
Dub,common
Opt,common
Vodalian Arcanist,common
Deathbloom Thallid,common
Short Sword,common
Elder Gargaroth,mythic
Massacre Wurm,mythic
Unsubstantiate,uncommon
Heartfire Immolator,uncommon
Thrashing Brontodon,uncommon
Sanguine Indulgence,common
Primal Might,rare
"Ugin, the Spirit Dragon",mythic
Grasp of Darkness,uncommon
Demonic Embrace,rare
Village Rites,common
Wishcoin Crab,common
Portcullis Vine,common
Silent Dart,uncommon
Mystic Skyfish,common
Spined Megalodon,common
Epitaph Golem,common
Walking Corpse,common
Furor of the Bitten,common
Ranger's Guile,common
Basri's Acolyte,common
Daybreak Charger,common
Rambunctious Mutt,common
Tempered Veteran,uncommon
Valorous Steed,common
"Barrin, Tolarian Archmage",rare
Library Larcenist,common
Teferi's Protege,common
Tolarian Kraken,uncommon
Tome Anima,common
Liliana's Steward,common
"Vito, Thorn of the Dusk Rose",rare
Bolt Hound,uncommon
Chandra's Magmutt,common
Chandra's Pyreling,uncommon
"Gadrak, the Crown-Scourge",rare
Drowsing Tyrannodon,common
Hunter's Edge,common
Ornery Dilophosaur,common
Pridemalkin,common
Speaker of the Heavens,rare
Basri's Lieutenant,rare
Basri's Solidarity,uncommon
Celestial Enforcer,common
Defiant Strike,common
Revitalize,common
Teferi's Ageless Insight,rare
Tide Skimmer,uncommon
Waker of Waves,uncommon
Alchemist's Gift,common
Archfiend's Vessel,uncommon
Hooded Blightfang,rare
Thieves' Guild Enforcer,rare
Soul Sear,uncommon
Unleash Fury,uncommon
Invigorating Surge,uncommon
Llanowar Visionary,common
Twinblade Assassins,uncommon
Feat of Resistance,common
Chromatic Orrery,mythic
Baneslayer Angel,mythic
Frost Breath,common
Turn to Slag,common
Infernal Scarring,common
Onakke Ogre,common
Skyscanner,common
Prismite,common
Concordia Pegasus,common
Alpine Watchdog,common
Angelic Ascension,uncommon
Anointed Chorister,common
Aven Gagglemaster,uncommon
Basri Ket,mythic
Falconer Adept,uncommon
Gale Swooper,common
Griffin Aerie,uncommon
Idol of Endurance,rare
Legion's Judgment,common
Light of Promise,uncommon
Makeshift Battalion,common
Nine Lives,rare
Pack Leader,rare
Runed Halo,rare
Sanctum of Tranquil Light,uncommon
Seasoned Hallowblade,uncommon
Secure the Scene,common
Selfless Savior,uncommon
Siege Striker,uncommon
Staunch Shieldmate,common
Vryn Wingmare,uncommon
Warded Battlements,common
Discontinuity,mythic
Enthralling Hold,uncommon
Frantic Inventory,common
Ghostly Pilferer,rare
Keen Glidemaster,common
Lofty Denial,common
Miscast,uncommon
Mistral Singer,common
Rain of Revelation,uncommon
Read the Tides,common
Rookie Mistake,common
Rousing Read,common
Sanctum of Calm Waters,uncommon
See the Truth,rare
Shacklegeist,rare
Stormwing Entity,rare
Sublime Epiphany,rare
"Teferi, Master of Time",mythic
Teferi's Tutelage,uncommon
Blood Glutton,common
Caged Zombie,common
Crypt Lurker,common
Eliminate,uncommon
Finishing Blow,common
Gloom Sower,common
Grim Tutor,mythic
"Kaervek, the Spiteful",rare
Kitesail Freebooter,uncommon
"Liliana, Waker of the Dead",mythic
Liliana's Devotee,uncommon
Liliana's Standard Bearer,rare
Malefic Scythe,uncommon
Necromentia,rare
Peer into the Abyss,rare
Pestilent Haze,uncommon
Rise Again,common
Sanctum of Stone Fangs,uncommon
Bone Pit Brute,common
"Chandra, Heart of Fire",mythic
Chandra's Incinerator,rare
Conspicuous Snoop,rare
Double Vision,rare
Fiery Emancipation,mythic
Hellkite Punisher,uncommon
Hobblefiend,common
Igneous Cur,common
Kinetic Augur,uncommon
Sanctum of Shattered Heights,uncommon
Terror of the Peaks,mythic
Traitorous Greed,uncommon
Transmogrify,rare
Volcanic Salvo,rare
Burlfist Oak,uncommon
Canopy Stalker,uncommon
Feline Sovereign,rare
"Garruk, Unleashed",mythic
Garruk's Gorehorn,common
Garruk's Harbinger,rare
Gnarled Sage,common
Run Afoul,common
Sabertooth Mauler,common
Sanctum of Fruitful Harvest,uncommon
Setessan Training,common
Skyway Sniper,uncommon
Sporeweb Weaver,rare
Track Down,common
Trufflesnout,common
Warden of the Woods,uncommon
Alpine Houndmaster,uncommon
Dire Fleet Warmonger,uncommon
Experimental Overload,uncommon
Indulging Patrician,uncommon
Leafkin Avenger,uncommon
"Niambi, Esteemed Speaker",rare
"Radha, Heart of Keld",rare
Sanctum of All,rare
Watcher of the Spheres,uncommon
Chrome Replicator,uncommon
Forgotten Sentinel,common
Sparkhunter Masticore,rare
Animal Sanctuary,rare
"Rin and Seri, Inseparable",mythic
"Basri, Devoted Paladin",mythic
Adherent of Hope,common
Basri's Aegis,rare
Sigiled Contender,uncommon
"Teferi, Timeless Voyager",mythic
Historian of Zhalfir,uncommon
Teferi's Wavecaster,rare
"Liliana, Death Mage",mythic
Liliana's Scorn,rare
Liliana's Scrounger,uncommon
Spirit of Malevolence,common
"Chandra, Flame's Catalyst",mythic
Chandra's Firemaw,rare
Keral Keep Disciples,uncommon
Storm Caller,common
"Garruk, Savage Herald",mythic
Garruk's Warsteed,rare
Predatory Wurm,uncommon
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
"Rin and Seri, Inseparable // Rin and Seri, Inseparable",mythic
"Radha, Heart of Keld // Radha, Heart of Keld",rare
