name,rarity
Coppercoat Vanguard,uncommon
Deification,rare
Harnessed Snubhorn,uncommon
Metropolis Reformer,rare
Spark Rupture,rare
"Tazri, Stalwart Survivor",rare
Filter Out,uncommon
Tolarian Contempt,uncommon
Training Grounds,rare
Vesuvan Drifter,rare
Ayara's Oathsworn,rare
Blot Out,uncommon
Death-Rattle Oni,uncommon
Markov Baron,uncommon
Urborg Scavengers,rare
Arni Metalbrow,rare
Kolaghan Warmonger,uncommon
Plargg and Nassari,rare
Reckless Handling,uncommon
Animist's Might,uncommon
Leyline Immersion,rare
"Nissa, Resurgent Animist",mythic
Open the Way,rare
Tranquil Frillback,rare
Undercity Upheaval,uncommon
"Calix, Guided by Fate",mythic
Campus Renovation,uncommon
Cosmic Rebirth,uncommon
"Danitha, New Benalia's Light",rare
Feast of the Victorious Dead,uncommon
Gold-Forged Thopteryx,uncommon
"Jirina, Dauntless General",rare
"Jolrael, Voice of Zhalfir",rare
The Kenriths' Royal Funeral,rare
"Kiora, Sovereign of the Deep",mythic
"Nahiri, Forged in Fury",mythic
Nahiri's Resolve,rare
"Narset, Enlightened Exile",mythic
"Nashi, Moon's Legacy",rare
"Niv-Mizzet, Supreme",rare
"Ob Nixilis, Captive Kingpin",mythic
"Pia Nalaar, Consul of Revival",rare
Rebuild the City,rare
"Rocco, Street Chef",rare
"Samut, Vizier of Naktamun",mythic
"Sarkhan, Soul Aflame",mythic
"Sigarda, Font of Blessings",rare
Tyvar the Bellicose,mythic
"Karn, Legacy Reforged",mythic
Drannith Ruins,rare
