name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Deep Analysis,common
Annoyed Altisaur,common
Kaalia of the Vast,mythic
Toxic Deluge,rare
"Breya, Etherium Shaper",mythic
Worn Powerstone,uncommon
Decree of Justice,rare
Reef Worm,rare
Victimize,uncommon
Angel of the Ruins,rare
Nadier's Nightblade,uncommon
Cursed Mirror,rare
Ophiomancer,rare
Priest of Titania,common
Sylvan Safekeeper,rare
Emerald Medallion,rare
Jet Medallion,rare
Junk Diver,rare
Pearl Medallion,rare
Ruby Medallion,rare
Sapphire Medallion,rare
Urza's Incubator,rare
Estrid's Invocation,rare
Sevinne's Reclamation,rare
"K'rrik, Son of Yawgmoth",rare
Nesting Grounds,rare
"Laelia, the Blade Reforged",rare
Buried Alive,uncommon
Flusterstorm,rare
Meteoric Mace,uncommon
Recruiter of the Guard,rare
Wirewood Symbiote,uncommon
Bespoke Battlewagon,uncommon
Solar Transformer,uncommon
Flooded Strand,mythic
Polluted Delta,mythic
Bloodstained Mire,mythic
Wooded Foothills,mythic
Windswept Heath,mythic
Orim's Chant,rare
Distinguished Conjurer,uncommon
Branching Evolution,rare
Phyrexian Tower,rare
Fledgling Dragon,rare
Deserted Temple,mythic
Snow-Covered Wastes,uncommon
Breaker of Creation,uncommon
Devourer of Destiny,rare
Drownyard Lurker,common
Echoes of Eternity,rare
Eldrazi Ravager,uncommon
"Emrakul, the World Anew",mythic
Glaring Fleshraker,uncommon
"Herigast, Erupting Nullkite",mythic
It That Heralds the End,uncommon
"Kozilek, the Broken Reality",mythic
Kozilek's Command,rare
Null Elemental Blast,uncommon
Nulldrifter,rare
Twisted Riddlekeeper,uncommon
"Ulamog, the Defiler",mythic
Warped Tusker,common
Wastescape Battlemage,uncommon
Aerie Auxiliary,common
Ajani Fells the Godsire,uncommon
Argent Dais,rare
Charitable Levy,uncommon
Dog Umbra,common
Envoy of the Ancestors,uncommon
Essence Reliquary,uncommon
Expel the Unworthy,common
Flare of Fortitude,rare
Glyph Elemental,uncommon
Guardian of the Forgotten,uncommon
Guide of Souls,rare
A-Guide of Souls,rare
Hexgold Slith,common
Indebted Spirit,uncommon
Inspired Inventor,common
Jolted Awake,common
Mandibular Kite,common
Metastatic Evangel,uncommon
Muster the Departed,uncommon
Nyxborn Unicorn,common
Ocelot Pride,mythic
A-Ocelot Pride,mythic
"Pearl-Ear, Imperial Advisor",rare
"Phelia, Exuberant Shepherd",rare
Proud Pack-Rhino,uncommon
Rosecot Knight,common
Solstice Zealot,common
Static Prison,uncommon
Thraben Charm,common
Voltstorm Angel,uncommon
White Orchid Phantom,rare
Wing It,common
Wrath of the Skies,rare
Aether Spike,common
Amphibian Downpour,rare
Brainsurge,uncommon
Consign to Memory,uncommon
Copycrook,uncommon
Corrupted Shapeshifter,common
Deem Inferior,common
Depth Defiler,uncommon
Dreamtide Whale,rare
Electrozoa,common
Emrakul's Messenger,uncommon
Flare of Denial,rare
Harbinger of the Seas,rare
Hope-Ender Coatl,uncommon
Kozilek's Unsealing,uncommon
Petrifying Meddler,common
Roil Cartographer,uncommon
Sage of the Unknowable,common
Serum Visionary,common
Shadow of the Second Sun,mythic
Strix Serenade,rare
Tamiyo Meets the Story Circle,uncommon
Tempest Harvester,common
Triton Wavebreaker,uncommon
Tune the Narrative,common
Ugin's Binding,mythic
Unfathomable Truths,common
Utter Insignificance,common
Volatile Stormdrake,rare
Accursed Marauder,common
Arcbound Condor,uncommon
Breathe Your Last,common
Chthonian Nightmare,rare
Consuming Corruption,uncommon
Crabomination,rare
The Creation of Avacyn,uncommon
Dreadmobile,uncommon
Dreamdrinker Vampire,common
Drossclaw,common
Emperor of Bones,rare
Etched Slith,uncommon
Etherium Pteramander,uncommon
Eviscerator's Insight,common
Fetid Gargantua,common
Flare of Malice,rare
Gravedig,common
Grim Servant,uncommon
Kami of Jealous Thirst,common
Lethal Throwdown,uncommon
Marionette Apprentice,uncommon
Mindless Conscription,uncommon
Necrodominance,mythic
Nethergoyf,mythic
Quest for the Necropolis,uncommon
Refurbished Familiar,common
Retrofitted Transmogrant,common
Ripples of Undeath,rare
Scurrilous Sentry,common
"Shilgengar, Sire of Famine",rare
Warren Soultrader,rare
Wither and Bloom,common
Wurmcoil Larva,uncommon
Aether Revolt,rare
Amped Raptor,uncommon
"Ashling, Flame Dancer",mythic
Detective's Phoenix,rare
Eldrazi Linebreaker,rare
Fanged Flames,common
Flare of Duplication,rare
Frogmyr Enforcer,uncommon
Furnace Hellkite,uncommon
Galvanic Discharge,common
A-Galvanic Discharge,common
Ghostfire Slice,uncommon
Glimpse the Impossible,common
Infernal Captor,common
Inventor's Axe,common
Mogg Mob,uncommon
Molten Gatekeeper,common
Party Thrasher,rare
Phyrexian Ironworks,uncommon
Powerbalance,rare
Ral and the Implicit Maze,uncommon
Reckless Pyrosurfer,uncommon
Reiterating Bolt,uncommon
Sarpadian Simulacrum,common
Siege Smash,common
Skittering Precursor,uncommon
"Skoa, Embermage",common
Smelted Chargebug,common
Spawn-Gang Commander,uncommon
Thriving Skyclaw,common
Unstable Amulet,uncommon
Voidpouncer,common
Wheel of Potential,rare
Basking Broodscale,common
Birthing Ritual,mythic
Collective Resistance,uncommon
Colossal Dreadmask,common
"Eladamri, Korvecdal",mythic
Eldrazi Repurposer,common
Evolution Witness,common
Fanatic of Rhonas,rare
Fangs of Kalonia,uncommon
Flare of Cultivation,rare
Fowl Strike,common
Gift of the Viper,common
Horrific Assault,common
The Hunger Tide Rises,uncommon
Hydra Trainer,uncommon
Lion Umbra,uncommon
Malevolent Rumble,common
Monstrous Vortex,uncommon
Nightshade Dryad,common
Nyxborn Hydra,common
Path of Annihilation,uncommon
Primal Prayers,rare
Propagator Drone,uncommon
Signature Slam,uncommon
Six,rare
Sowing Mycospawn,rare
Springheart Nantuko,rare
