name,rarity
Pithing Needle,rare
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Clear Shot,common
Evolving Wilds,common
Immolation,common
Duress,common
Plummet,common
Return to Nature,common
Timberland Guide,common
Triskaidekaphile,rare
Morbid Opportunist,uncommon
Unnatural Growth,rare
Sludge Monster,rare
Consider,common
Gavony Silversmith,common
Bladebrand,common
"Adeline, Resplendent Cathar",rare
Ambitious Farmhand // Seasoned Cathar,uncommon
Beloved Beggar // Generous Soul,uncommon
Bereaved Survivor // Dauntless Avenger,uncommon
Blessed Defiance,common
Borrowed Time,uncommon
Brutal Cathar // Moonrage Brute,rare
Candlegrove Witch,common
Candletrap,common
Cathar Commando,common
Cathar's Call,uncommon
Celestus Sanctifier,common
Chaplain of Alms // Chapel Shieldgeist,uncommon
Clarion Cathars,common
Curse of Silence,rare
Duelcraft Trainer,uncommon
Enduring Angel // Angelic Enforcer,mythic
Fateful Absence,rare
Flare of Faith,common
Gavony Dawnguard,uncommon
Gavony Trapper,common
Hedgewitch's Mask,common
Homestead Courage,common
Intrepid Adversary,mythic
Loyal Gryff,uncommon
Lunarch Veteran // Luminous Phantom,common
Mourning Patrol // Morning Apparition,common
Odric's Outrider,uncommon
Ritual Guardian,common
Ritual of Hope,uncommon
Search Party Captain,common
Sigarda's Splendor,rare
Sigardian Savior,mythic
Soul-Guide Gryff,common
Sungold Barrage,common
Sungold Sentinel,rare
Sunset Revelry,uncommon
Thraben Exorcism,common
Unruly Mob,common
Vanquish the Horde,rare
Baithook Angler // Hook-Haunt Drifter,common
Component Collector,common
Covetous Castaway // Ghostly Castigator,uncommon
Curse of Surveillance,rare
Delver of Secrets // Insectile Aberration,uncommon
Devious Cover-Up,common
Dissipate,uncommon
Drownyard Amalgam,common
Fading Hope,uncommon
Falcon Abomination,common
Firmament Sage,uncommon
Flip the Switch,common
Galedrifter // Waildrifter,common
Geistwave,common
Grafted Identity,rare
Larder Zombie,common
"Lier, Disciple of the Drowned",mythic
Locked in the Cemetery,common
Malevolent Hermit // Benevolent Geist,rare
Memory Deluge,rare
Mysterious Tome // Chilling Chronicle,uncommon
Nebelgast Intruder,uncommon
Ominous Roost,uncommon
Organ Hoarder,common
Otherworldly Gaze,common
Overwhelmed Archivist // Archive Haunt,uncommon
Patrician Geist,rare
Phantom Carriage,uncommon
Poppet Stitcher // Poppet Factory,mythic
Revenge of the Drowned,common
Secrets of the Key,common
Shipwreck Sifters,common
Skaab Wrangler,uncommon
Spectral Adversary,mythic
Startle,common
Stormrider Spirit,common
Suspicious Stowaway // Seafaring Werewolf,rare
Unblinking Observer,common
Vivisection,uncommon
Arrogant Outlaw,common
Baneblade Scoundrel // Baneclaw Marauder,uncommon
Bat Whisperer,common
Blood Pact,common
Bloodline Culling,rare
