name,rarity
Shock,common
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Assassin's Trophy,rare
Lightning Helix,uncommon
Magnifying Glass,common
Murder,common
Wrench,uncommon
Candlestick,uncommon
Lead Pipe,uncommon
Knife,uncommon
Rope,uncommon
Make Your Move,common
Case of the Shattered Pact,uncommon
Absolving Lammasu,uncommon
Assemble the Players,rare
Aurelia's Vindicator,mythic
Auspicious Arrival,common
Call a Surprise Witness,uncommon
Case File Auditor,uncommon
Case of the Gateway Express,uncommon
Case of the Pilfered Proof,uncommon
Case of the Uneaten Feast,rare
Defenestrated Phantom,common
"Delney, Streetwise Lookout",mythic
Doorkeeper Thrull,rare
Due Diligence,common
Essence of Antiquity,uncommon
Forum Familiar,uncommon
Griffnaut Tracker,common
Haazda Vigilante,common
Inside Source,common
Karlov Watchdog,uncommon
Krovod Haunch,uncommon
Makeshift Binding,common
Marketwatch Phantom,common
Museum Nightwatch,common
Neighborhood Guardian,uncommon
No Witnesses,rare
Not on My Watch,uncommon
Novice Inspector,common
On the Job,common
Perimeter Enforcer,uncommon
Sanctuary Wall,uncommon
Seasoned Consultant,common
Tenth District Hero,rare
Unyielding Gatekeeper,rare
Wojek Investigator,rare
Agency Outfitter,uncommon
Behind the Mask,common
Benthic Criminologists,common
Bubble Smuggler,common
Burden of Proof,uncommon
Case of the Filched Falcon,uncommon
Case of the Ransacked Lab,rare
Cold Case Cracker,common
Conspiracy Unraveler,mythic
Coveted Falcon,rare
Crimestopper Sprite,common
Cryptic Coat,rare
Curious Inquiry,uncommon
Deduce,common
Dramatic Accusation,common
Eliminate the Impossible,uncommon
Exit Specialist,uncommon
Fae Flight,uncommon
Forensic Gadgeteer,rare
Forensic Researcher,uncommon
Furtive Courier,uncommon
Hotshot Investigators,common
Intrude on the Mind,mythic
Jaded Analyst,common
Living Conundrum,uncommon
Lost in the Maze,rare
Mistway Spy,uncommon
Out Cold,common
Proft's Eidetic Memory,rare
Projektor Inspector,common
Reasonable Doubt,common
Reenact the Crime,rare
Steamcore Scholar,rare
Sudden Setback,uncommon
Surveillance Monitor,uncommon
Unauthorized Exit,common
Agency Coroner,common
Alley Assailant,common
Barbed Servitor,rare
Basilica Stalker,common
Case of the Gorgon's Kiss,uncommon
Case of the Stashed Skeleton,rare
Cerebral Confiscation,common
Clandestine Meddler,uncommon
Deadly Cover-Up,rare
Extract a Confession,common
Festerleech,uncommon
Homicide Investigator,rare
Hunted Bonebrute,rare
Illicit Masquerade,rare
It Doesn't Add Up,uncommon
Leering Onlooker,uncommon
Long Goodbye,uncommon
Macabre Reconstruction,common
"Massacre Girl, Known Killer",mythic
Nightdrinker Moroii,uncommon
Outrageous Robbery,rare
Persuasive Interrogators,uncommon
Polygraph Orb,uncommon
Presumed Dead,uncommon
Repeat Offender,common
Rot Farm Mortipede,common
Slice from the Shadows,common
Slimy Dualleech,uncommon
Snarling Gorehound,common
Soul Enervation,uncommon
Toxin Analysis,common
Undercity Eliminator,uncommon
Unscrupulous Agent,common
Vein Ripper,mythic
Anzrag's Rampage,rare
Bolrac-Clan Basher,uncommon
Case of the Burning Masks,uncommon
Case of the Crimson Pulse,rare
Caught Red-Handed,uncommon
The Chase Is On,common
Concealed Weapon,uncommon
Connecting the Dots,rare
Convenient Target,uncommon
Cornered Crook,uncommon
Crime Novelist,uncommon
Demand Answers,common
Expedited Inheritance,mythic
Expose the Culprit,uncommon
Felonious Rage,common
Frantic Scapegoat,uncommon
Fugitive Codebreaker,rare
Galvanize,common
Gearbane Orangutan,common
Goblin Maskmaker,common
Harried Dronesmith,uncommon
Incinerator of the Guilty,mythic
Innocent Bystander,common
"Krenko, Baron of Tin Street",rare
Krenko's Buzzcrusher,rare
Lamplight Phoenix,rare
Offender at Large,common
Person of Interest,common
Pyrotechnic Performer,rare
Reckless Detective,uncommon
Red Herring,common
Rubblebelt Braggart,common
Suspicious Detonation,common
Torch the Witness,uncommon
Vengeful Tracker,uncommon
Aftermath Analyst,uncommon
Airtight Alibi,common
Analyze the Pollen,rare
Archdruid's Charm,rare
Audience with Trostani,rare
Axebane Ferox,rare
Bite Down on Crime,common
Case of the Locked Hothouse,rare
Case of the Trampled Garden,uncommon
Chalk Outline,uncommon
Culvert Ambusher,uncommon
Fanatical Strength,common
Flourishing Bloom-Kin,uncommon
Get a Leg Up,uncommon
Glint Weaver,uncommon
Greenbelt Radical,uncommon
Hard-Hitting Question,uncommon
Hedge Whisperer,uncommon
Hide in Plain Sight,rare
A Killer Among Us,uncommon
Loxodon Eavesdropper,common
Nervous Gardener,common
Pick Your Poison,common
Pompous Gadabout,uncommon
The Pride of Hull Clade,mythic
Rubblebelt Maverick,common
Sample Collector,uncommon
Sharp-Eyed Rookie,rare
Slime Against Humanity,common
They Went This Way,common
Topiary Panther,common
Tunnel Tipster,common
Undergrowth Recon,mythic
Vengeful Creeper,common
Vitu-Ghazi Inspector,common
"Agrus Kos, Spirit of Justice",mythic
"Alquist Proft, Master Sleuth",mythic
"Anzrag, the Quake-Mole",mythic
"Aurelia, the Law Above",rare
Blood Spatter Analysis,rare
Break Out,uncommon
Buried in the Garden,uncommon
Coerced to Kill,uncommon
Crowd-Control Warden,common
Curious Cadaver,uncommon
Deadly Complication,uncommon
Detective's Satchel,uncommon
Dog Walker,common
Doppelgang,rare
Drag the Canal,rare
"Etrata, Deadly Fugitive",mythic
Evidence Examiner,uncommon
"Ezrim, Agency Chief",rare
Faerie Snoop,common
Gadget Technician,common
Gleaming Geardrake,uncommon
Granite Witness,common
Ill-Timed Explosion,rare
Insidious Roots,uncommon
"Izoni, Center of the Web",rare
"Judith, Carnage Connoisseur",rare
"Kaya, Spirits' Justice",mythic
"Kellan, Inquisitive Prodigy // Tail the Suspect",rare
Kraul Whipcracker,uncommon
"Kylox, Visionary Inventor",rare
Kylox's Voltstrider,mythic
"Lazav, Wearer of Faces",rare
Leyline of the Guildpact,rare
Meddling Youths,uncommon
"Niv-Mizzet, Guildpact",rare
No More Lies,uncommon
Officious Interrogation,rare
Private Eye,uncommon
"Rakdos, Patron of Chaos",mythic
Rakish Scoundrel,common
Relive the Past,rare
Repulsive Mutation,uncommon
Riftburst Hellion,common
Rune-Brand Juggler,uncommon
Sanguine Savior,common
Shady Informant,common
Soul Search,uncommon
Sumala Sentry,uncommon
"Teysa, Opulent Oligarch",rare
Tin Street Gossip,uncommon
"Tolsimir, Midnight's Light",rare
Treacherous Greed,rare
"Trostani, Three Whispers",mythic
Undercover Crocodelf,common
Urgent Necropsy,mythic
"Vannifar, Evolved Enigma",mythic
Warleader's Call,rare
Wispdrinker Vampire,uncommon
Worldsoul's Rage,rare
"Yarus, Roar of the Old Gods",rare
Cease // Desist,uncommon
Flotsam // Jetsam,uncommon
Fuss // Bother,uncommon
Hustle // Bustle,uncommon
Push // Pull,uncommon
Cryptex,rare
Gravestone Strider,common
Lumbering Laundry,uncommon
Magnetic Snuffler,uncommon
Sanitation Automaton,common
Thinking Cap,common
Branch of Vitu-Ghazi,uncommon
Commercial District,rare
Elegant Parlor,rare
Escape Tunnel,common
Hedge Maze,rare
Lush Portico,rare
Meticulous Archive,rare
Public Thoroughfare,common
Raucous Theater,rare
Scene of the Crime,uncommon
Shadowy Backstreet,rare
Thundering Falls,rare
Undercity Sewers,rare
Underground Mortuary,rare
"Melek, Reforged Researcher",mythic
"Tomik, Wielder of Law",mythic
"Voja, Jaws of the Conclave",mythic
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
