name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Monastery Mentor,mythic
Dismal Backwater,common
Rugged Highlands,common
Scoured Barrens,common
Swiftwater Cliffs,common
Thornwood Falls,common
Tranquil Cove,common
Phyrexian Gargantua,uncommon
Negate,common
Inspired Charge,common
Blossoming Sands,common
Jungle Hollow,common
Wind-Scarred Crag,common
Bloodfell Caves,common
Kitesail,common
Skittering Surveyor,common
Stoke the Flames,rare
Wary Thespian,common
Elspeth's Smite,uncommon
Invasion of Innistrad // Deluge of the Dead,rare
Fairgrounds Trumpeter,uncommon
Ephara's Dispersal,common
Pile On,rare
Invasion of Ravnica // Guildpact Paragon,mythic
Aerial Boost,common
Alabaster Host Intercessor,common
Alabaster Host Sanctifier,common
Angelic Intervention,common
Archangel Elspeth,mythic
Attentive Skywarden,common
Bola Slinger,common
Boon-Bringer Valkyrie,rare
Cut Short,common
Dusk Legion Duelist,rare
Elesh Norn // The Argent Etchings,mythic
Enduring Bondwarden,common
Golden-Scale Aeronaut,common
Guardian of Ghirapur,rare
"Heliod, the Radiant Dawn // Heliod, the Warped Eclipse",rare
Infected Defector,common
Invasion of Belenon // Belenon War Anthem,uncommon
Invasion of Dominaria // Serra Faithkeeper,uncommon
Invasion of Gobakhan // Lightshield Array,rare
"Invasion of Theros // Ephara, Ever-Sheltering",rare
Kithkin Billyrider,common
Knight of the New Coalition,common
Knight-Errant of Eos,rare
Kor Halberd,common
Norn's Inquisitor,uncommon
Phyrexian Awakening,uncommon
Phyrexian Censor,uncommon
Progenitor Exarch,rare
Realmbreaker's Grasp,common
Scrollshift,common
Seal from Existence,uncommon
Seraph of New Capenna // Seraph of New Phyrexia,uncommon
Sigiled Sentinel,common
Sun-Blessed Guardian // Furnace-Blessed Conqueror,uncommon
Sunder the Gateway,common
Sunfall,rare
Surge of Salvation,uncommon
Swordsworn Cavalier,common
Tarkir Duneshaper // Burnished Dunestomper,common
Tiller of Flesh,uncommon
Zhalfirin Lancer,uncommon
Artistic Refusal,uncommon
Assimilate Essence,common
Astral Wingspan,uncommon
Captive Weird // Compleated Conjurer,uncommon
Change the Equation,uncommon
Chrome Host Seedshark,rare
Complete the Circuit,rare
Corruption of Towashi,uncommon
Disturbing Conversion,common
Expedition Lookout,common
Eyes of Gitaxias,common
Faerie Mastermind,rare
Furtive Analyst,common
Halo-Charged Skaab,common
Invasion of Arcavios // Invocation of the Founders,rare
Invasion of Kamigawa // Rooftop Saboteurs,uncommon
"Invasion of Segovia // Caetus, Sea Tyrant of Segovia",rare
Invasion of Vryn // Overloaded Mage-Ring,uncommon
Jin-Gitaxias // The Great Synthesis,mythic
Meeting of Minds,common
Moment of Truth,common
Oculus Whelp,common
Omen Hawker,uncommon
Oracle of Tragedy,uncommon
Order of the Mirror // Order of the Alabaster Host,common
Preening Champion,common
Protocol Knight,common
"Rona, Herald of Invasion // Rona, Tolarian Obliterator",rare
Saiba Cryptomancer,common
See Double,rare
Skyclave Aerialist // Skyclave Invader,uncommon
Stasis Field,common
Temporal Cleansing,common
Thunderhead Squadron,common
Tidal Terror,common
Transcendent Message,rare
Wicked Slumber,uncommon
Xerex Strobe-Knight,uncommon
Zephyr Singer,rare
Zhalfirin Shapecraft,common
Aetherblade Agent // Gitaxian Mindstinger,common
Archpriest of Shadows,rare
"Ayara, Widow of the Realm // Ayara, Furnace Queen",rare
Bladed Battle-Fan,common
Blightreaper Thallid // Blightsower Thallid,uncommon
Bloated Processor,rare
Breach the Multiverse,rare
Collective Nightmare,uncommon
Compleated Huntmaster,uncommon
Consuming Aetherborn,common
Corrupted Conviction,common
Deadly Derision,common
Dreg Recycler,common
Etched Familiar,common
Etched Host Doombringer,common
Failed Conversion,common
Final Flourish,common
Flitting Guerrilla,common
Gift of Compleation,uncommon
Glistening Deluge,uncommon
Gloomfang Mauler,common
Grafted Butcher,rare
Hoarding Broodlord,rare
Ichor Drinker,common
Ichor Shade,common
Invasion of Eldraine // Prickle Faeries,uncommon
"Invasion of Fiora // Marchesa, Resolute Monarch",rare
Invasion of Ulgrotha // Grandmother Ravi Sengir,uncommon
Merciless Repurposing,uncommon
Mirrodin Avenged,common
Nezumi Freewheeler // Hideous Fleshwheeler,uncommon
Nezumi Informant,common
Render Inert,uncommon
Scorn-Blade Berserker,uncommon
Sheoldred // The True Scriptures,mythic
Tenured Oilcaster,common
Traumatic Revelation,common
Unseal the Necropolis,common
Vanquish the Weak,common
Akki Scrapchomper,common
Beamtown Beatstick,common
Bloodfeather Phoenix,rare
Burning Sun's Fury,common
"Chandra, Hope's Beacon",mythic
City on Fire,rare
Coming In Hot,common
"Etali, Primal Conqueror // Etali, Primal Sickness",rare
Fearless Skald,uncommon
Furnace Gremlin,uncommon
Furnace Host Charger,common
Furnace Reins,uncommon
Hangar Scrounger,common
Harried Artisan // Phyrexian Skyflayer,uncommon
Into the Fire,rare
Invasion of Kaldheim // Pyre of the World Tree,rare
Invasion of Karsus // Refraction Elemental,rare
Invasion of Mercadia // Kyren Flamewright,uncommon
Invasion of Regatha // Disciples of the Inferno,uncommon
Invasion of Tarkir // Defiant Thundermaw,mythic
Karsus Depthguard,common
Khenra Spellspear // Gitaxian Spellstalker,uncommon
Lithomantic Barrage,uncommon
Marauding Dreadship,common
Mirran Banesplitter,common
Nahiri's Warcrafting,rare
Onakke Javelineer,common
Pyretic Prankster // Glistening Goremonger,common
Ral's Reinforcements,common
Ramosian Greatsword,uncommon
Rampaging Raptor,rare
Redcap Heelslasher,common
Scrappy Bruiser,uncommon
Searing Barb,common
Shatter the Source,common
Shivan Branch-Burner,uncommon
Thrashing Frontliner,common
Trailblazing Historian,common
Urabrask // The Great Work,mythic
Volcanic Spite,common
Voldaren Thrillseeker,rare
War-Trained Slasher,common
Wrenn's Resolve,common
Ancient Imperiosaur,rare
