name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Spell Pierce,common
Thirst for Knowledge,uncommon
Dismal Backwater,common
Rugged Highlands,common
Scoured Barrens,common
Swiftwater Cliffs,common
Thornwood Falls,common
Tranquil Cove,common
Uncharted Haven,common
Blossoming Sands,common
Spirited Companion,common
Circuit Mender,uncommon
Jungle Hollow,common
Mnemonic Sphere,common
Oni-Cult Anvil,uncommon
Wind-Scarred Crag,common
Bloodfell Caves,common
Greater Tanuki,common
Jukai Naturalist,uncommon
Secluded Courtyard,uncommon
Fade into Antiquity,common
"Shigeki, Jukai Visionary",rare
Spirit-Sister's Call,mythic
Kindled Fury,common
Touch the Spirit Realm,rare
Hotshot Mechanic,uncommon
Imperial Recovery Unit,uncommon
Kitsune Ace,common
Moonfolk Puzzlemaker,common
Sokenzan Smelter,uncommon
Master's Rebuke,common
Kodama of the West Tree,mythic
Golden-Tail Disciple,common
Light the Way,common
Sunblade Samurai,common
Moon-Circuit Hacker,common
Moonsnare Specialist,common
Network Disruptor,common
Prosperous Thief,uncommon
Undercity Scrounger,common
Virus Beetle,common
Unstoppable Ogre,common
Heir of the Ancient Fang,common
Orochi Merge-Keeper,uncommon
Patchwork Automaton,uncommon
Farewell,rare
"Junji, the Midnight Sky",mythic
"Tezzeret, Betrayer of Flesh",mythic
Ancestral Katana,common
A-Ancestral Katana,common
"Ao, the Dawn Sky",mythic
Banishing Slash,uncommon
Befriending the Moths // Imperial Moth,common
Blade-Blizzard Kitsune,uncommon
Born to Drive,uncommon
Brilliant Restoration,rare
Cloudsteel Kirin,rare
Dragonfly Suit,common
Eiganjo Exemplar,common
A-Eiganjo Exemplar,common
Era of Enlightenment // Hand of Enlightenment,common
The Fall of Lord Konda // Fragment of Konda,uncommon
Go-Shintai of Shared Purpose,uncommon
Imperial Oath,common
Imperial Subduer,common
A-Imperial Subduer,common
Intercessor's Arrest,common
Invoke Justice,rare
"Kyodai, Soul of Kamigawa",rare
"Light-Paws, Emperor's Voice",rare
Lion Sash,rare
Lucky Offering,common
March of Otherworldly Light,rare
Michiko's Reign of Truth // Portrait of Michiko,uncommon
Mothrider Patrol,common
"Norika Yamazaki, the Poet",uncommon
Regent's Authority,common
Repel the Vile,common
The Restoration of Eiganjo // Architect of Restoration,rare
Selfless Samurai,uncommon
Seven-Tail Mentor,common
Sky-Blessed Samurai,uncommon
Wanderer's Intervention,common
The Wandering Emperor,mythic
When We Were Young,uncommon
Acquisition Octopus,uncommon
Anchor to Reality,uncommon
Armguard Familiar,common
Awakened Awareness,uncommon
Behold the Unspeakable // Vision of the Unspeakable,uncommon
Covert Technician,uncommon
Discover the Impossible,uncommon
Disruption Protocol,common
Essence Capture,uncommon
Futurist Operative,uncommon
A-Futurist Operative,uncommon
Futurist Sentinel,common
Go-Shintai of Lost Wisdom,uncommon
Guardians of Oboro,common
Inventive Iteration // Living Breakthrough,rare
Invoke the Winds,rare
"Jin-Gitaxias, Progress Tyrant",mythic
"Kairi, the Swirling Sky",mythic
March of Swirling Mist,rare
Mindlink Mech,rare
Mirrorshell Crab,common
Mobilizer Mech,uncommon
The Modern Age // Vector Glider,common
A-Moon-Circuit Hacker,common
Moonsnare Prototype,common
Planar Incision,common
A-Prosperous Thief,uncommon
The Reality Chip,rare
Reality Heist,uncommon
Replication Specialist,uncommon
Saiba Trespassers,common
Short Circuit,common
Skyswimmer Koi,common
Suit Up,common
"Tameshi, Reality Architect",rare
Tamiyo's Compleation,common
Thousand-Faced Shadow,rare
A-Thousand-Faced Shadow,rare
Assassin's Ink,uncommon
Biting-Palm Ninja,rare
Blade of the Oni,mythic
Chainflail Centipede,common
Clawing Torment,common
Debt to the Kami,common
Dockside Chef,uncommon
Dokuchi Shadow-Walker,common
Dokuchi Silencer,uncommon
A-Dokuchi Silencer,uncommon
Enormous Energy Blade,uncommon
Go-Shintai of Hidden Cruelty,uncommon
Gravelighter,uncommon
"Hidetsugu, Devouring Chaos",rare
Inkrise Infiltrator,common
Invoke Despair,rare
Kaito's Pursuit,common
Kami of Restless Shadows,common
Kami of Terrible Secrets,common
Leech Gauntlet,uncommon
Lethal Exploit,common
Life of Toshiro Umezawa // Memory of Toshiro,uncommon
The Long Reach of Night // Animus of Night's Reach,uncommon
Malicious Malfunction,uncommon
March of Wretched Sorrow,rare
Mukotai Ambusher,common
Mukotai Soulripper,rare
"Nashi, Moon Sage's Scion",mythic
"A-Nashi, Moon Sage's Scion",mythic
Nezumi Bladeblesser,common
Nezumi Prowler,uncommon
A-Nezumi Prowler,uncommon
Okiba Reckoner Raid // Nezumi Road Captain,common
Okiba Salvage,uncommon
Reckoner Shakedown,common
Reckoner's Bargain,common
Return to Action,common
Soul Transfer,rare
"Tatsunari, Toad Rider",rare
Tribute to Horobi // Echo of Death's Wail,rare
Twisted Embrace,common
Unforgiving One,uncommon
You Are Already Dead,common
Akki Ember-Keeper,common
Akki Ronin,common
A-Akki Ronin,common
Akki War Paint,common
Ambitious Assault,common
"Atsushi, the Blazing Sky",mythic
Bronzeplate Boar,uncommon
Crackling Emergence,common
Dragonspark Reactor,uncommon
Experimental Synthesizer,common
Explosive Entry,common
Explosive Singularity,mythic
Fable of the Mirror-Breaker // Reflection of Kiki-Jiki,rare
Flame Discharge,uncommon
Gift of Wrath,common
Go-Shintai of Ancient Wars,uncommon
"Goro-Goro, Disciple of Ryusei",rare
"Heiko Yamazaki, the General",uncommon
Invoke Calamity,rare
Ironhoof Boar,common
Kami of Industry,common
Kami's Flare,common
Kumano Faces Kakkazan // Etching of Kumano,uncommon
Lizard Blades,rare
March of Reckless Joy,rare
Ogre-Head Helm,rare
Peerless Samurai,common
A-Peerless Samurai,common
Rabbit Battery,uncommon
Reinforced Ronin,uncommon
Scrap Welder,rare
Scrapyard Steelbreaker,common
Seismic Wave,uncommon
