name,rarity
Terramorphic Expanse,common
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Duress,common
Phyrexian Arena,rare
Phyrexian Obliterator,mythic
Prophetic Prism,common
Titanic Growth,common
Copperline Gorge,rare
Razorverge Thicket,rare
Seachrome Coast,rare
Thrummingbird,uncommon
Volt Charge,common
Thrill of Possibility,common
Blackcleave Cliffs,rare
Offer Immortality,common
"Ovika, Enigma Goliath",rare
Hexgold Hoverwings,uncommon
Mirran Bardiche,common
Resistance Reunited,uncommon
Chrome Prowler,common
Malcator's Watcher,common
Resistance Skywarden,uncommon
Against All Odds,uncommon
Annex Sentry,uncommon
Apostle of Invasion,uncommon
Basilica Shepherd,common
Bladed Ambassador,uncommon
Charge of the Mites,common
Compleat Devotion,common
Crawling Chorus,common
Duelist of Deep Faith,common
"Elesh Norn, Mother of Machines",mythic
The Eternal Wanderer,rare
Flensing Raptor,common
Goldwarden's Helm,common
Incisor Glider,common
Indoctrination Attendant,common
Infested Fleshcutter,uncommon
Jawbone Duelist,uncommon
"Kemba, Kha Enduring",rare
Leonin Lightbringer,common
Mandible Justiciar,common
"Mondrak, Glory Dominus",mythic
Norn's Wellspring,rare
Orthodoxy Enforcer,common
Ossification,uncommon
Phyrexian Vindicator,mythic
Planar Disruption,common
Plated Onslaught,uncommon
Porcelain Zealot,uncommon
Sinew Dancer,common
"Skrelv, Defector Mite",rare
Skrelv's Hive,rare
Swooping Lookout,uncommon
Vanish into Eternity,common
Veil of Assimilation,uncommon
White Sun's Twilight,rare
Zealot's Conviction,common
Aspirant's Ascent,common
Atmosphere Surgeon,uncommon
Blade of Shared Souls,rare
Blue Sun's Twilight,rare
Bring the Ending,common
Distorted Curiosity,uncommon
Encroaching Mycosynth,rare
Escaped Experiment,common
Experimental Augury,common
Eye of Malcator,common
Font of Progress,uncommon
Gitaxian Anatomist,common
Gitaxian Raptor,common
Glistener Seer,common
Ichor Synthesizer,common
Ichormoon Gauntlet,mythic
"Jace, the Perfected Mind",mythic
Meldweb Curator,common
Meldweb Strider,common
Mercurial Spelldancer,rare
Mesmerizing Dose,common
Mindsplice Apparatus,rare
Minor Misstep,uncommon
Prologue to Phyresis,common
Quicksilver Fisher,common
Reject Imperfection,uncommon
Serum Snare,uncommon
Tamiyo's Immobilizer,uncommon
Tamiyo's Logbook,uncommon
"Tekuthal, Inquiry Dominus",mythic
Transplant Theorist,uncommon
Trawler Drake,uncommon
"Unctus, Grand Metatect",rare
Unctus's Retrofitter,uncommon
Vivisurgeon's Insight,common
Watchful Blisterzoa,uncommon
Ambulatory Edifice,uncommon
Annihilating Glare,common
Anoint with Affliction,common
Archfiend of the Dross,rare
Bilious Skulldweller,uncommon
Black Sun's Twilight,rare
Blightbelly Rat,common
Bonepicker Skirge,common
Chittering Skitterling,uncommon
Cruel Grimnarch,common
Cutthroat Centurion,common
"Drivnod, Carnage Dominus",mythic
Drown in Ichor,uncommon
Feed the Infection,uncommon
Fleshless Gladiator,common
"Geth, Thane of Contracts",rare
Gulping Scraptrap,common
Infectious Inquiry,common
"Karumonix, the Rat King",rare
Necrogen Communion,uncommon
Necrosquito,uncommon
Nimraiser Paladin,uncommon
Pestilent Syphoner,common
Ravenous Necrotitan,uncommon
Scheming Aspirant,uncommon
Sheoldred's Edict,uncommon
Sheoldred's Headcleaver,common
Stinging Hivemaster,common
Testament Bearer,common
Vat Emergence,uncommon
Vat of Rebirth,uncommon
"Vraan, Executioner Thane",rare
"Vraska, Betrayal's Sting",mythic
Vraska's Fall,common
Whisper of the Dross,common
All Will Be One,mythic
Awaken the Sleeper,uncommon
Axiom Engraver,common
Barbed Batterfist,common
Bladegraft Aspirant,common
Blazing Crescendo,common
Cacophony Scamp,uncommon
Capricious Hellraiser,mythic
Chimney Rabble,common
Churning Reservoir,uncommon
Dragonwing Glider,rare
Exuberant Fuseling,uncommon
Forgehammer Centurion,common
Free from Flesh,common
Furnace Punisher,uncommon
Furnace Strider,common
Gleeful Demolition,uncommon
Hazardous Blast,common
Hexgold Halberd,uncommon
Hexgold Slash,common
"Koth, Fire of Resistance",rare
Kuldotha Cackler,common
Magmatic Sprinter,uncommon
Molten Rebuke,common
Nahiri's Sacrifice,uncommon
Oxidda Finisher,uncommon
Rebel Salvo,uncommon
Red Sun's Twilight,rare
Sawblade Scamp,common
Shrapnel Slinger,common
"Slobad, Iron Goblin",rare
"Solphim, Mayhem Dominus",mythic
Urabrask's Anointer,uncommon
Urabrask's Forge,rare
Vindictive Flamestoker,rare
Vulshok Splitter,common
Adaptive Sporesinger,common
Armored Scrapgorger,uncommon
Bloated Contaminator,rare
Branchblight Stalker,common
Cankerbloom,uncommon
Carnivorous Canopy,common
Conduit of Worlds,rare
Contagious Vorrac,common
Copper Longlegs,common
Evolved Spinoderm,rare
Evolving Adaptive,uncommon
Expand the Sphere,uncommon
Green Sun's Twilight,rare
Ichorspit Basilisk,common
Incubation Sac,uncommon
Infectious Bite,uncommon
Lattice-Blade Mantis,common
Maze's Mantle,common
"Nissa, Ascended Animist",mythic
Noxious Assault,uncommon
Oil-Gorger Troll,common
Paladin of Predation,uncommon
Plague Nurse,common
Predation Steward,common
Rustvine Cultivator,common
Ruthless Predation,common
Skyscythe Engulfer,common
Sylvok Battle-Chair,uncommon
Thirsting Roots,common
"Thrun, Breaker of Silence",rare
Tyrranax Atrocity,common
Tyrranax Rex,mythic
Tyvar's Stand,uncommon
Unnatural Restoration,uncommon
Venerated Rotpriest,rare
Venomous Brutalizer,uncommon
Viral Spawning,uncommon
"Zopandrel, Hunger Dominus",mythic
"Atraxa, Grand Unifier",mythic
Bladehold War-Whip,uncommon
Cephalopod Sentry,uncommon
Charforger,uncommon
Cinderslash Ravager,uncommon
"Ezuri, Stalker of Spheres",rare
Glissa Sunslayer,rare
"Jor Kadeen, First Goldwarden",rare
"Kaito, Dancing Shadow",rare
"Kaya, Intangible Slayer",rare
"Kethek, Crucible Goliath",rare
"Lukka, Bound to Ruin",mythic
"Malcator, Purity Overseer",rare
"Melira, the Living Cure",rare
"Migloz, Maze Crusher",rare
"Nahiri, the Unforgiving",mythic
Necrogen Rotpriest,uncommon
"Ria Ivor, Bane of Bladehold",rare
Serum-Core Chimera,uncommon
Slaughter Singer,uncommon
Tainted Observer,uncommon
"Tyvar, Jubilant Brawler",rare
"Venser, Corpse Puppet",rare
Vivisection Evangelist,uncommon
Voidwing Hybrid,uncommon
Argentum Masticore,rare
Atraxa's Skitterfang,uncommon
Basilica Skullbomb,common
Dross Skullbomb,common
Dune Mover,common
The Filigree Sylex,rare
Furnace Skullbomb,common
"Graaz, Unstoppable Juggernaut",rare
Ichorplate Golem,uncommon
Maze Skullbomb,common
Mirran Safehouse,rare
Monument to Perfection,rare
Myr Convert,uncommon
Myr Custodian,common
Myr Kinsmith,common
Phyrexian Atlas,common
Prosthetic Injector,uncommon
Ribskiff,uncommon
Soulless Jailer,rare
Staff of Compleation,mythic
Surgical Skullbomb,common
Sword of Forge and Frontier,mythic
Tablet of Compleation,rare
Zenith Chronicler,rare
The Autonomous Furnace,common
Darkslick Shores,rare
The Dross Pits,common
The Fair Basilica,common
The Hunter Maze,common
Mirrex,rare
The Monumental Facade,rare
The Mycosynth Gardens,rare
The Seedcore,rare
The Surgical Bay,common
Mite Overseer,rare
Serum Sovereign,rare
Kinzu of the Bleak Coven,rare
"Rhuk, Hexgold Nabber",rare
Goliath Hatchery,rare
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
