name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Snakeskin Veil,common
Take Up the Shield,common
Fake Your Own Death,common
Blooming Marsh,rare
Botanical Sanctum,rare
Concealed Courtyard,rare
Inspiring Vantage,rare
Spirebluff Canal,rare
Terror of the Peaks,mythic
Lush Oasis,common
Corrupted Conviction,common
Archangel of Tithes,mythic
Another Round,rare
Armored Armadillo,common
Aven Interrupter,rare
Bounding Felidar,uncommon
Bovine Intervention,uncommon
Bridled Bighorn,common
Claim Jumper,rare
Dust Animus,rare
Eriette's Lullaby,common
Final Showdown,mythic
"Fortune, Loyal Steed",rare
Frontier Seeker,uncommon
Getaway Glamer,uncommon
High Noon,rare
Holy Cow,common
Inventive Wingsmith,common
Lassoed by the Law,uncommon
Mystical Tether,common
Nurturing Pixie,uncommon
Omenport Vigilante,uncommon
One Last Job,rare
Outlaw Medic,common
Prairie Dog,uncommon
Prosperity Tycoon,uncommon
Requisition Raid,uncommon
Rustler Rampage,uncommon
Shepherd of the Clouds,uncommon
Sheriff of Safe Passage,uncommon
Stagecoach Security,common
Steer Clear,common
Sterling Keykeeper,common
Sterling Supplier,common
Thunder Lasso,uncommon
Trained Arynx,common
Vengeful Townsfolk,common
Wanted Griffin,common
Archmage's Newt,rare
Canyon Crab,uncommon
Daring Thunder-Thief,common
Deepmuck Desperado,uncommon
Djinn of Fool's Fall,common
Double Down,mythic
Duelist of the Mind,rare
Emergent Haunting,uncommon
Failed Fording,common
"Fblthp, Lost on the Range",rare
Fleeting Reflection,uncommon
"Geralf, the Fleshwright",mythic
Geyser Drake,common
Harrier Strix,common
Jailbreak Scheme,common
The Key to the Vault,rare
Loan Shark,common
Marauding Sphinx,uncommon
Metamorphic Blast,uncommon
Nimble Brigand,uncommon
Outlaw Stitcher,uncommon
Peerless Ropemaster,common
Phantom Interference,common
Plan the Heist,uncommon
Razzle-Dazzler,common
Seize the Secrets,common
Shackle Slinger,uncommon
Shifting Grift,uncommon
Slickshot Lockpicker,uncommon
Slickshot Vault-Buster,common
Spring Splasher,common
Step Between Worlds,rare
Stoic Sphinx,rare
Stop Cold,common
Take the Fall,common
This Town Ain't Big Enough,uncommon
Three Steps Ahead,rare
Visage Bandit,uncommon
Ambush Gigapede,common
Binding Negotiation,uncommon
Blacksnag Buzzard,common
Blood Hustler,uncommon
Boneyard Desecrator,common
Caustic Bronco,rare
Consuming Ashes,common
Desert's Due,common
Desperate Bloodseeker,common
Forsaken Miner,uncommon
"Gisa, the Hellraiser",mythic
Hollow Marauder,uncommon
Insatiable Avarice,rare
"Kaervek, the Punisher",rare
Lively Dirge,uncommon
Mourner's Surprise,common
Neutralize the Guards,uncommon
Nezumi Linkbreaker,common
Overzealous Muscle,common
Pitiless Carnage,rare
Rakish Crew,uncommon
Rattleback Apothecary,uncommon
Raven of Fell Omens,common
Rictus Robber,uncommon
Rooftop Assassin,common
Rush of Dread,rare
Servant of the Stinger,uncommon
Shoot the Sheriff,uncommon
Skulduggery,common
Tinybones Joins Up,rare
"Tinybones, the Pickpocket",mythic
Treasure Dredger,uncommon
Unfortunate Accident,uncommon
Unscrupulous Contractor,uncommon
"Vadmir, New Blood",rare
Vault Plunderer,common
Brimstone Roundup,uncommon
"Calamity, Galloping Inferno",rare
Caught in the Crossfire,uncommon
Cunning Coyote,uncommon
Deadeye Duelist,common
Demonic Ruckus,uncommon
Discerning Peddler,common
Explosive Derailment,common
Ferocification,uncommon
Gila Courser,uncommon
Great Train Heist,rare
Hell to Pay,rare
Hellspur Brute,uncommon
Hellspur Posse Boss,rare
Highway Robbery,common
Irascible Wolverine,common
Iron-Fist Pulverizer,common
Longhorn Sharpshooter,uncommon
"Magda, the Hoardmaster",rare
Magebane Lizard,uncommon
Mine Raider,common
Outlaws' Fury,common
Prickly Pair,common
Quick Draw,common
Quilled Charger,common
Reckless Lackey,common
Resilient Roadrunner,uncommon
Return the Favor,uncommon
Rodeo Pyromancers,common
Scalestorm Summoner,uncommon
Scorching Shot,uncommon
Slickshot Show-Off,rare
Stingerback Terror,rare
Take for a Ride,uncommon
Thunder Salvo,common
Trick Shot,common
Aloe Alchemist,uncommon
Ankle Biter,common
Beastbond Outcaster,uncommon
Betrayal at the Vault,uncommon
Bristlepack Sentry,common
"Bristly Bill, Spine Sower",mythic
Cactarantula,common
Colossal Rattlewurm,rare
Dance of the Tumbleweeds,common
Drover Grizzly,common
Freestrider Commando,common
Freestrider Lookout,rare
Full Steam Ahead,uncommon
Giant Beaver,common
Gold Rush,uncommon
Goldvein Hydra,mythic
Hardbristle Bandit,common
Intrepid Stablemaster,uncommon
Map the Frontier,uncommon
Ornery Tumblewagg,rare
Outcaster Greenblade,uncommon
Outcaster Trailblazer,rare
Patient Naturalist,common
Railway Brawler,mythic
Rambling Possum,uncommon
Raucous Entertainer,uncommon
Reach for the Sky,common
Rise of the Varmints,uncommon
Smuggler's Surprise,rare
Spinewoods Armadillo,uncommon
Spinewoods Paladin,common
Stubborn Burrowfiend,uncommon
Throw from the Saddle,common
Trash the Town,uncommon
Tumbleweed Rising,common
Voracious Varmint,common
Akul the Unrepentant,rare
"Annie Flash, the Veteran",mythic
Annie Joins Up,rare
Assimilation Aegis,mythic
At Knifepoint,uncommon
Badlands Revival,uncommon
Baron Bertram Graywater,uncommon
"Bonny Pall, Clearcutter",rare
"Breeches, the Blastmaker",rare
"Bruse Tarl, Roving Rancher",rare
Cactusfolk Sureshot,uncommon
Congregation Gryff,uncommon
"Doc Aurlock, Grizzled Genius",uncommon
"Eriette, the Beguiler",rare
"Ertha Jo, Frontier Mentor",uncommon
Form a Posse,uncommon
"Ghired, Mirror of the Wilds",mythic
"The Gitrog, Ravenous Ride",mythic
Honest Rutstein,uncommon
Intimidation Campaign,uncommon
"Jem Lightfoote, Sky Explorer",uncommon
