name,rarity
Nantuko Husk,uncommon
Fog,common
Knightly Valor,common
Mentor of the Meek,uncommon
Wingsteed Rider,common
Ingenious Skaab,common
Supernatural Stamina,common
Labyrinth Champion,uncommon
Monastery Swiftspear,common
Purphoros's Emissary,common
Experiment One,common
Gnarlback Rhino,common
Ashen Rider,rare
Bring to Light,rare
Cartel Aristocrat,common
Dragonlord Dromoka,mythic
Dragonlord Silumgar,mythic
Dreg Mangler,common
Lotleth Troll,uncommon
Lyev Skyknight,common
Martial Glory,common
"Ruric Thar, the Unbowed",rare
Tenth District Legionnaire,common
Archangel of Thune,mythic
Ovalchase Daredevil,uncommon
Thopter Engineer,uncommon
Clear Shot,common
Conclave Naturalists,common
Shamanic Revelation,rare
Ghor-Clan Rampager,uncommon
Progenitor Mimic,rare
Bile Blight,uncommon
Evolving Wilds,common
Reprisal,uncommon
Bident of Thassa,rare
Retraction Helix,common
Zulaport Cutthroat,uncommon
Humble Defector,uncommon
Notion Thief,rare
Temporal Trespass,mythic
Crackdown Construct,uncommon
Outpost Siege,rare
Scourge of Valkas,mythic
Fleecemane Lion,rare
Haven of the Spirit Dragon,rare
Lumbering Falls,rare
Fanatic of Mogis,uncommon
Compulsory Rest,common
Essence Scatter,common
Tah-Crop Skirmisher,common
Heart-Piercer Manticore,rare
Limits of Solidarity,uncommon
Honored Hydra,rare
Steward of Solidarity,uncommon
Knight of the White Orchid,rare
Sanitarium Skeleton,common
Shoulder to Shoulder,common
Expedite,common
Pulse of Murasa,uncommon
Dinrova Horror,uncommon
Unflinching Courage,uncommon
Bane of Bala Ged,uncommon
Void Winnower,mythic
"Gideon, Ally of Zendikar",mythic
Stasis Snare,uncommon
Clutch of Currents,common
Part the Waterveil,mythic
Scatter to the Winds,rare
Windrider Patrol,uncommon
Ob Nixilis Reignited,mythic
Painful Truths,rare
Ruinous Path,rare
Crumble to Dust,uncommon
Makindi Sliderunner,common
Radiant Flames,rare
Brood Monitor,uncommon
Woodland Wanderer,rare
Catacomb Sifter,uncommon
Skyrider Elf,uncommon
Pilgrim's Eye,uncommon
Shambling Vent,rare
Spawning Bed,uncommon
Liliana of the Dark Realms,mythic
"Elspeth, Sun's Champion",mythic
Rapid Hybridization,uncommon
Chasm Skulker,rare
"Goreclaw, Terror of Qal Sisma",rare
Ghostblade Eidolon,uncommon
Hero of Iroas,rare
Spirit of the Labyrinth,rare
Flitterstep Eidolon,uncommon
Fall of the Hammer,common
Aspect of Hydra,common
Hero of Leina Tower,rare
Hunter's Prowess,rare
Skyreaping,uncommon
Unravel the Aether,uncommon
Chromanticore,mythic
"Ephara, God of the Polis",mythic
"Karametra, God of Harvests",mythic
"Kiora, the Crashing Wave",mythic
Kiora's Follower,uncommon
"Mogis, God of Slaughter",mythic
"Phenax, God of Deception",mythic
"Xenagos, God of Revels",mythic
Fallaji Archaeologist,common
Audacity,uncommon
Selesnya Charm,uncommon
Darksteel Ingot,uncommon
Azorius Guildgate,common
Boros Guildgate,common
Dimir Guildgate,common
Golgari Guildgate,common
Gruul Guildgate,common
Izzet Guildgate,common
Orzhov Guildgate,common
Rakdos Guildgate,common
Selesnya Guildgate,common
Simic Guildgate,common
Sphinx of Magosi,rare
Read the Bones,common
Celestial Archon,rare
Dictate of Heliod,rare
Nighthowler,rare
Mizzium Mortars,rare
Stoneshock Giant,uncommon
Counterflux,rare
Epic Experiment,mythic
Steam Augury,rare
Rogue's Passage,uncommon
Hushwing Gryff,rare
Sphere of Safety,uncommon
Treasure Cruise,common
"Iroas, God of Victory",mythic
Archaeomancer,common
Nissa's Pilgrimage,common
Blood Baron of Vizkopa,mythic
Sage's Reverie,uncommon
Boon Satyr,rare
Zendikar Incarnate,uncommon
Growing Ranks,rare
Urban Evolution,uncommon
"Jace, Architect of Thought",mythic
Murmuring Mystic,uncommon
Niblis of Frost,rare
Soulflayer,rare
Xathrid Necromancer,rare
"Chandra, Flamecaller",mythic
Nyx Weaver,uncommon
Tragic Arrogance,rare
Hornet Nest,rare
"Liliana, Heretical Healer // Liliana, Defiant Necromancer",mythic
Gate Colossus,uncommon
"Xenagos, the Reveler",mythic
Wandering Fumarole,rare
Syndicate Messenger,common
Consider,common
Basilica Screecher,common
Coordinated Assault,uncommon
Kraul Harpooner,uncommon
Frostburn Weird,common
Day's Undoing,rare
Priest of the Blood Rite,uncommon
Furious Rise,uncommon
"Purphoros, God of the Forge",mythic
Ajani Steadfast,mythic
"Heliod, God of the Sun",mythic
Oath of Gideon,rare
Starfield of Nyx,mythic
Oath of Jace,rare
The Chain Veil,mythic
Open the Armory,uncommon
Aqueous Form,common
Burning Anger,uncommon
Dragon Mantle,common
Shipbreaker Kraken,rare
Stormtide Leviathan,rare
Wear // Tear,uncommon
Keepsake Gorgon,uncommon
Nessian Asp,uncommon
Voyaging Satyr,common
Whip of Erebos,rare
Dreadhound,uncommon
Fell Stinger,uncommon
Undead Butler,uncommon
Bloodtithe Harvester,uncommon
Liliana Vess,mythic
Anax and Cymede,rare
Ordeal of Purphoros,uncommon
"Polukranos, World Eater",mythic
Destructive Revelry,uncommon
Stab Wound,common
"Nissa, Voice of Zendikar",mythic
Quicken,rare
Nivix Cyclops,common
Rubblebelt Raiders,rare
Master of Waves,mythic
Tidebinder Mage,rare
Goblin Rabblemaster,rare
Ghirapur Gearcrafter,common
Pia and Kiran Nalaar,rare
Aetherling,rare
Hidden Strings,common
Opal Lake Gatekeepers,common
Blood Scrivener,rare
Crypt Incursion,common
Ubul Sar Gatekeepers,common
Skylasher,rare
Render Silent,rare
Sin Collector,uncommon
Sire of Insanity,rare
Alive // Well,uncommon
Armed // Dangerous,uncommon
Down // Dirty,uncommon
Far // Away,uncommon
Give // Take,uncommon
Profit // Loss,uncommon
Protect // Serve,uncommon
Toil // Trouble,uncommon
Turn // Burn,uncommon
Maze's End,mythic
Fight with Fire,uncommon
Whisperwood Elemental,mythic
Scion of Ugin,uncommon
Artful Maneuver,common
Secure the Wastes,rare
Silkwrap,uncommon
