name,rarity
Recover,common
Aggressive Urge,common
Naturalize,common
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Shatter,common
Pirate's Pillage,common
"Elenda, the Dusk Rose",mythic
Traveler's Amulet,common
Gleaming Barrier,common
Evolving Wilds,common
Dusk Legion Zealot,common
Ravenous Chupacabra,uncommon
Colossal Dreadmaw,common
Plummet,common
Stone Quarry,uncommon
Negate,common
Riverwise Augur,uncommon
Dead Man's Chest,rare
Dire Fleet Daredevil,rare
"Etali, Primal Storm",rare
Orazca Relic,common
Foul Orchard,common
Cinder Barrens,common
Forsaken Sanctuary,common
Highland Lake,common
Woodland Stream,common
Sworn Guardian,common
Waterknot,common
Bombard,common
World Shaper,rare
Raptor Companion,common
Kitesail Corsair,common
"Ghalta, Primal Hunger",rare
Path of Discovery,rare
Tendershoot Dryad,rare
"Zetalpa, Primal Dawn",rare
Crafty Cutpurse,rare
Brass's Bounty,rare
Slaughter the Strong,uncommon
Twilight Prophet,mythic
Wayward Swordtooth,rare
"Zacama, Primal Calamity",rare
The Immortal Sun,mythic
Arch of Orazca,rare
Flood of Recollection,common
Sailor of Means,common
Brazen Freebooter,common
Goblin Trailblazer,common
Strength of the Pack,uncommon
"Nezahal, Primal Tide",rare
Fanatical Firebrand,common
Moment of Triumph,common
Moment of Craving,common
Swab Goblin,common
Thrashing Brontodon,uncommon
Hunt the Weak,common
Crested Herdcaller,uncommon
Thunderherd Migration,uncommon
Everdawn Champion,uncommon
Gruesome Fate,common
Luminous Bonds,common
Oathsworn Vampire,uncommon
Divine Verdict,common
Aquatic Incursion,uncommon
Crashing Tide,common
Seafloor Oracle,rare
Swaggering Corsair,common
Pitiless Plunderer,uncommon
Cherished Hatchling,uncommon
Jadelight Ranger,rare
Curious Obsession,uncommon
Orazca Frillback,common
Raging Regisaur,uncommon
Majestic Heliopterus,uncommon
Martyr of Dusk,common
Radiant Destiny,rare
Temple Altisaur,rare
Timestream Navigator,mythic
Warkite Marauder,rare
Champion of Dusk,rare
Deeproot Elite,rare
Atzocan Seer,uncommon
"Kumena, Tyrant of Orazca",mythic
Legion Lieutenant,uncommon
Merfolk Mistbinder,uncommon
Silvergill Adept,uncommon
Sun Sentinel,common
Mist-Cloaked Herald,common
Grasping Scoundrel,common
Rekindling Phoenix,mythic
Strider Harness,uncommon
"Angrath, the Flame-Chained",mythic
Baffling End,uncommon
Exultant Skymarcher,common
Famished Paladin,uncommon
Skymarcher Aspirant,uncommon
Snubhorn Sentry,common
Expel from Orazca,uncommon
River Darter,common
Secrets of the Golden City,common
Dinosaur Hunter,common
Dusk Charger,common
Tomb Robber,rare
Charging Tuskodon,uncommon
Frilled Deathspitter,common
Mutiny,common
Needletooth Raptor,uncommon
Reckless Rage,uncommon
Hardy Veteran,common
Jungleborn Pioneer,common
Overgrown Armasaur,common
Hadana's Climb // Winged Temple of Orazca,rare
"Journey to Eternity // Atzal, Cave of Eternity",rare
Azor's Gateway // Sanctum of the Sun,mythic
Vampire Champion,common
Bishop of Binding,rare
Paladin of Atonement,rare
Sphinx's Decree,rare
Trapjaw Tyrant,mythic
Admiral's Order,rare
Induced Amnesia,rare
Kumena's Awakening,rare
Release to the Wind,rare
Dire Fleet Poisoner,rare
Mastermind's Acquisition,rare
"Tetzimoc, Primal Death",rare
Vona's Hunger,rare
Blood Sun,rare
Form of the Dinosaur,rare
Silverclad Ferocidons,rare
Tilonalli's Summoner,rare
Polyraptor,mythic
"Azor, the Lawbringer",mythic
"Huatli, Radiant Champion",mythic
"Path of Mettle // Metzali, Tower of Triumph",rare
Profane Procession // Tomb of the Dusk Rose,rare
Protean Raider,rare
Siegehorn Ceratops,rare
Storm the Vault // Vault of Catlacan,rare
Awakened Amalgam,rare
Captain's Hook,rare
Golden Guardian // Gold-Forge Garrison,rare
Silent Gravestone,rare
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
Blazing Hope,uncommon
Cleansing Ray,common
Forerunner of the Legion,uncommon
Imperial Ceratops,uncommon
Legion Conquistador,common
Pride of Conquerors,uncommon
Sanguine Glorifier,common
Squire's Devotion,common
Sun-Crested Pterodon,common
Deadeye Rig-Hauler,common
Hornswoggle,uncommon
Sea Legs,common
Siren Reaver,uncommon
Slippery Scoundrel,uncommon
Soul of the Rapids,common
Spire Winder,common
Arterial Flow,uncommon
Canal Monitor,common
Dark Inquiry,common
Fathom Fleet Boarder,common
Forerunner of the Coalition,uncommon
Golden Demise,uncommon
Impale,common
Mausoleum Harpy,uncommon
Reaver Ambush,uncommon
Sadistic Skymarcher,uncommon
Vampire Revenant,common
Voracious Vampire,common
Buccaneer's Bravado,common
Daring Buccaneer,uncommon
Forerunner of the Empire,uncommon
Orazca Raptor,common
See Red,uncommon
Shake the Foundations,uncommon
Stampeding Horncrest,common
Storm Fleet Swashbuckler,uncommon
Sun-Collared Raptor,common
Tilonalli's Crown,common
Cacophodon,uncommon
Enter the Unknown,uncommon
Forerunner of the Heralds,uncommon
Giltgrove Stalker,common
Jade Bearer,common
Jadecraft Artisan,common
Knight of the Stampede,common
Swift Warden,uncommon
Deadeye Brawler,uncommon
Dire Fleet Neckbreaker,uncommon
Jungle Creeper,uncommon
Relentless Raptor,uncommon
Resplendent Griffin,uncommon
Storm Fleet Sprinter,uncommon
"Vraska, Scheming Gorgon",mythic
Vraska's Conquistador,uncommon
Vraska's Scorn,rare
"Angrath, Minotaur Pirate",mythic
Angrath's Ambusher,uncommon
Angrath's Fury,rare
"Etali, Primal Storm // Etali, Primal Storm",rare
"Ghalta, Primal Hunger // Ghalta, Primal Hunger",rare
