name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Smothering Tithe,rare
Biogenic Upgrade,uncommon
Fireblade Artist,common
Hydroid Krasis,rare
"Judith, the Scourge Diva",rare
Sphinx of the Guildpact,uncommon
Mortify,uncommon
Act of Treason,common
Light Up the Stage,uncommon
Bedevil,rare
Theater of Horrors,rare
Impassioned Orator,common
Windstorm Drake,uncommon
Burn Bright,common
Goblin Gathering,common
Storm Strike,common
Stony Strength,common
End-Raze Forerunners,rare
Simic Ascendancy,rare
Unbreakable Formation,rare
Azorius Guildgate,common
Gruul Guildgate,common
Orzhov Guildgate,common
Rakdos Guildgate,common
Simic Guildgate,common
Scrabbling Claws,uncommon
Azorius Locket,common
Rakdos Locket,common
Wilderness Reclamation,uncommon
Growth Spiral,common
Incubation Druid,rare
Incubation // Incongruity,uncommon
Gate Colossus,uncommon
Rally to Battle,uncommon
Syndicate Messenger,common
Twilight Panther,common
Code of Constraint,uncommon
Sage's Row Savant,common
Skitter Eel,common
Blade Juggler,common
Orzhov Racketeers,uncommon
Rakdos Trumpeter,common
Spawn of Mayhem,mythic
Vindictive Vampire,uncommon
Dagger Caster,uncommon
Gravel-Hide Goblin,common
Enraged Ceratok,uncommon
Gift of Strength,common
Sauroform Hybrid,common
Steeple Creeper,common
Territorial Boar,common
Depose // Deploy,uncommon
Footlight Fiend,common
"Rakdos, the Showstopper",mythic
Scuttlegator,common
Seraph of the Scales,mythic
Vizkopa Vampire,common
Blood Crypt,rare
Breeding Pool,rare
Godless Shrine,rare
Hallowed Fountain,rare
Stomping Ground,rare
Ministrant of Obligation,common
Teysa Karlov,rare
Prying Eyes,common
Bladebrand,common
Sharktocrab,uncommon
Hero of Precinct One,rare
Kaya's Wrath,rare
Absorb,rare
Mammoth Spider,common
Archway Angel,uncommon
Gateway Sneak,uncommon
"Zegana, Utopian Speaker",rare
Forbidding Spirit,uncommon
Precognitive Perception,rare
Gateway Plaza,common
Tower Defense,uncommon
Spear Spewer,common
Bring to Trial,common
Justiciar's Portal,common
Consign to the Pit,common
Ill-Gotten Inheritance,common
Titanic Brawl,common
Slimebind,common
Wall of Lost Thoughts,uncommon
Priest of Forgotten Gods,rare
Sky Tether,uncommon
Thought Collapse,common
Flames of the Raze-Boar,uncommon
Silhana Wayfinder,uncommon
Sylvan Brushstrider,common
Lawmage's Binding,common
Benthic Biomancer,rare
Rhythm of the Wild,uncommon
Root Snare,common
Concordia Pegasus,common
Haazda Officer,common
Prowling Caracal,common
Rubblebelt Recluse,common
"Lavinia, Azorius Renegade",rare
"Domri, Chaos Bringer",mythic
"Kaya, Orzhov Usurper",mythic
Knight of the Last Breath,uncommon
Orzhov Locket,common
Essence Capture,uncommon
Pteramander,uncommon
Electrodominance,rare
Skewer the Critics,uncommon
Savage Smash,uncommon
Gates Ablaze,uncommon
Gatebreaker Ram,uncommon
Imperious Oligarch,common
Guardian Project,rare
Angelic Exaltation,uncommon
Arrester's Zeal,common
Expose to Daylight,common
Knight of Sorrows,common
Chillbringer,common
Clear the Mind,common
Humongulus,common
Carrion Imp,common
Catacomb Crocodile,common
Orzhov Enforcer,uncommon
Plague Wight,common
Undercity's Embrace,common
Mirror March,rare
Trollbred Guardian,uncommon
High Alert,uncommon
Simic Locket,common
Plaza of Harmony,rare
The Haunt of Hightower,mythic
Rakdos Firewheeler,uncommon
Lumbering Battlement,rare
Tithe Taker,rare
Mass Manipulation,rare
Sphinx of Foresight,rare
Awaken the Erstwhile,rare
Font of Agonies,rare
Gutterbones,rare
Amplifire,rare
Immolation Shaman,rare
Rix Maadi Reveler,rare
Skarrgan Hellkite,mythic
Biogenic Ooze,mythic
Growth-Chamber Guardian,rare
Rampage of the Clans,rare
Biomancer's Familiar,rare
Cindervines,rare
Deputy of Detention,rare
Emergency Powers,mythic
Ethereal Absolution,rare
Gruul Spellbreaker,rare
Nikya of the Old Ways,rare
Ravager Wurm,mythic
Bedeck // Bedazzle,rare
Junktroller,uncommon
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
Angel of Grace,mythic
Civic Stalwart,common
Resolute Watchdog,uncommon
Sentinel's Mark,uncommon
Spirit of the Spires,uncommon
Summary Judgment,common
Tenth District Veteran,common
Watchful Giant,common
Arrester's Admonition,common
Coral Commando,common
Eyes Everywhere,uncommon
Faerie Duelist,common
Mesmerizing Benthid,mythic
Persistent Petitioners,common
Quench,common
Senate Courier,common
Shimmer of Possibility,common
Skatewing Spy,uncommon
Swirling Torrent,uncommon
Verity Circle,rare
Bankrupt in Blood,uncommon
Bloodmist Infiltrator,uncommon
Clear the Stage,uncommon
Cry of the Carnarium,uncommon
Dead Revels,common
Debtors' Transport,common
Drill Bit,uncommon
Grotesque Demise,common
Noxious Groodion,common
Pestilent Spirit,rare
Spire Mangler,uncommon
Thirsting Shade,common
Undercity Scavenger,common
Burning-Tree Vandal,common
Cavalcade of Calamity,uncommon
Clamor Shaman,uncommon
Deface,common
Feral Maaka,common
Ghor-Clan Wrecker,common
Rubble Reading,common
Rumbling Ruin,uncommon
Scorchmark,common
Smelt-Ward Ignus,uncommon
Spikewheel Acrobat,common
Tin Street Dodger,uncommon
Axebane Beast,common
Gruul Beastmaster,uncommon
Open the Gates,common
Rampaging Rendhorn,common
Regenesis,uncommon
Sagittars' Volley,common
Saruli Caretaker,common
Wrecking Beast,common
Aeromunculus,common
Applied Biomancy,common
Azorius Knight-Arbiter,common
Azorius Skyguard,uncommon
Basilica Bell-Haunt,uncommon
Bolrac-Clan Crusher,uncommon
Captive Audience,mythic
Clan Guildmage,uncommon
Combine Guildmage,uncommon
Cult Guildmage,uncommon
"Dovin, Grand Arbiter",mythic
Dovin's Acuity,uncommon
Final Payment,common
Frenzied Arynx,common
Frilled Mystic,uncommon
