name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Reconstruct History,uncommon
Secret Rendezvous,uncommon
Plumb the Forbidden,uncommon
Beledros Witherbloom,mythic
Necroblossom Snarl,rare
Expressive Iteration,uncommon
Curate,common
Prismari Campus,common
Snow Day,uncommon
Resculpt,common
Storm-Kiln Artist,uncommon
Letter of Acceptance,common
Semester's End,rare
Culling Ritual,rare
Frostboil Snarl,rare
Furycalm Snarl,rare
Shineshadow Snarl,rare
Vineglimmer Snarl,rare
Professor Onyx,mythic
Eureka Moment,common
Quandrix Campus,common
Campus Guide,common
Burrog Befuddler,common
Deadly Brew,uncommon
Teach by Example,uncommon
Grinning Ignus,common
Pilgrim of the Ages,common
Combat Professor,common
Pillardrop Rescuer,common
Bury in Books,common
Multiple Choice,rare
Sudden Breakthrough,common
Reckless Amplimancer,common
Defend the Campus,common
Star Pupil,common
Frost Trickster,common
Pigment Storm,common
Big Play,common
Prismari Command,rare
Quandrix Command,rare
Access Tunnel,uncommon
Environmental Sciences,common
Dragon's Approach,common
Silverquill Campus,common
"Dina, Soul Steeper",uncommon
Rip Apart,uncommon
Archmage Emeritus,rare
Baleful Mastery,rare
Tenured Inkcaster,uncommon
Thrilling Discovery,common
Crackle with Power,mythic
Decisive Denial,uncommon
Humiliate,uncommon
Vanishing Verse,rare
Reduce to Memory,uncommon
Thunderous Orator,uncommon
Divide by Zero,uncommon
Kelpie Guide,uncommon
Serpentine Curve,common
Confront the Past,rare
Go Blank,uncommon
Lash of Malice,common
Sedgemoor Witch,rare
Explosive Welcome,uncommon
First Day of Class,common
Bookwurm,uncommon
Charge Through,common
Fortifying Draught,uncommon
"Mila, Crafty Companion // Lukka, Wayward Bonder",mythic
"Plargg, Dean of Chaos // Augusta, Dean of Order",rare
"Shaile, Dean of Radiance // Embrose, Dean of Shadow",rare
"Valentin, Dean of the Vein // Lisette, Dean of the Root",rare
Fracture,uncommon
"Quintorius, Field Historian",uncommon
"Rootha, Mercurial Artist",uncommon
Witherbloom Apprentice,uncommon
Archway Commons,common
Leonin Lightscribe,rare
Strict Proctor,rare
Sparring Regimen,rare
Devastating Mastery,rare
Elite Spellbinder,rare
Academic Probation,rare
"Mavinda, Students' Advocate",mythic
Dream Strix,rare
Tempted by the Oriq,rare
Ingenious Mastery,rare
Teachings of the Archaics,rare
Oriq Loremage,rare
Callous Bloodmage,rare
Poet's Quill,rare
Conspiracy Theorist,rare
Efreet Flamepainter,rare
Retriever Phoenix,rare
Fervent Mastery,rare
Draconic Intervention,rare
Illuminate History,rare
Dragonsguard Elite,rare
Accomplished Alchemist,rare
Gnarled Professor,rare
Exponential Growth,rare
Verdant Mastery,rare
Basic Conjuration,rare
Ecological Appreciation,mythic
Mortality Spear,uncommon
Silverquill Silencer,rare
Silverquill Command,rare
Dramatic Finale,rare
Daemogoth Titan,rare
Witherbloom Command,rare
Rushed Rebirth,rare
Manifestation Sage,rare
Double Major,rare
Culmination of Studies,rare
Elemental Expressionist,rare
Venerable Warsinger,rare
Blade Historian,rare
Radiant Scrollwielder,rare
Lorehold Command,rare
Selfless Glyphweaver // Deadly Vanity,rare
Pestilent Cauldron // Restorative Burst,rare
Augmenter Pugilist // Echoing Equation,rare
"Kianne, Dean of Substance // Imbraham, Dean of Theory",rare
Torrent Sculptor // Flamethrower Sonata,rare
"Uvilda, Dean of Perfection // Nassari, Dean of Expression",rare
Flamescroll Celebrant // Revel in Silence,rare
Blot Out the Sky,mythic
Harness Infinity,mythic
"Kasmina, Enigma Sage",mythic
Body of Research,mythic
Magma Opus,mythic
Hofri Ghostforge,mythic
"Extus, Oriq Overlord // Awaken the Blood Avatar",mythic
"Blex, Vexing Pest // Search for Blex",mythic
"Jadzi, Oracle of Arcavios // Journey to the Oracle",mythic
"Rowan, Scholar of Sparks // Will, Scholar of Frost",mythic
Shadrix Silverquill,mythic
Tanazir Quandrix,mythic
Galazeth Prismari,mythic
Velomachus Lorehold,mythic
Strixhaven Stadium,rare
"Codie, Vociferous Codex",rare
Wandering Archaic // Explore the Vastlands,rare
Mascot Exhibition,mythic
Hall of Oracles,rare
The Biblioplex,rare
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
Solve the Equation,rare
Expanded Anatomy,common
Introduction to Annihilation,common
Introduction to Prophecy,common
Ageless Guardian,common
Beaming Defiance,common
Clever Lumimancer,uncommon
Detention Vortex,uncommon
Dueling Coach,uncommon
A-Dueling Coach,uncommon
Eager First-Year,common
Expel,common
Guiding Voice,common
Professor of Symbology,uncommon
Show of Confidence,uncommon
Stonebinder's Familiar,uncommon
Stonerise Spirit,common
Study Break,common
Arcane Subtraction,common
Mentor's Guidance,uncommon
A-Mentor's Guidance,uncommon
Mercurial Transformation,uncommon
Pop Quiz,common
Reject,common
Soothsayer Adept,common
Symmetry Sage,uncommon
A-Symmetry Sage,uncommon
Test of Talents,uncommon
Vortex Runner,common
Waterfall Aerialist,common
Wormhole Serpent,uncommon
Arrogant Poet,common
Brackish Trudge,uncommon
Crushing Disappointment,common
Essence Infusion,common
Eyetwitch,uncommon
Flunk,uncommon
Hunt for Specimens,common
Leech Fanatic,common
Mage Hunter,uncommon
Mage Hunters' Onslaught,common
Necrotic Fumes,uncommon
Novice Dissector,common
Professor's Warning,common
Promising Duskmage,common
Specter of the Fens,common
A-Tenured Inkcaster,uncommon
Umbral Juke,uncommon
Unwilling Ingredient,common
Academic Dispute,uncommon
Ardent Dustspeaker,uncommon
A-Ardent Dustspeaker,uncommon
Blood Age General,common
Enthusiastic Study,common
Fuming Effigy,common
Hall Monitor,uncommon
Heated Debate,common
Igneous Inspiration,uncommon
Illustrious Historian,common
Mascot Interception,uncommon
Pillardrop Warden,common
Start from Scratch,uncommon
Tome Shredder,common
A-Tome Shredder,common
