name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Dismal Backwater,common
Evolving Wilds,common
Frontier Bivouac,uncommon
Rugged Highlands,common
Scoured Barrens,common
Swiftwater Cliffs,common
Thornwood Falls,common
Tranquil Cove,common
Craterhoof Behemoth,mythic
Blossoming Sands,common
Jungle Hollow,common
Mystic Monastery,uncommon
Wind-Scarred Crag,common
Nomad Outpost,uncommon
Opulent Palace,uncommon
Sandsteppe Citadel,uncommon
Bloodfell Caves,common
Snakeskin Veil,common
Twin Bolt,common
"Ugin, Eye of the Storms",mythic
"Anafenza, Unyielding Lineage",rare
Clarion Conqueror,rare
"Elspeth, Storm Slayer",mythic
Sage of the Skies,rare
Smile at Death,mythic
United Battlefront,rare
Voice of Victory,rare
Ambling Stormshell,rare
Dragonologist,rare
Marang River Regent // Coil and Catch,rare
Naga Fleshcrafter,rare
Stillness in Motion,rare
"Taigam, Master Opportunist",mythic
Winternight Stories,rare
Avenger of the Fallen,rare
Qarsi Revenant,rare
Rot-Curse Rakshasa,mythic
Scavenger Regent // Exude Toxin,rare
The Sibsig Ceremony,rare
"Sidisi, Regent of the Mire",rare
Sinkhole Surveyor,rare
Cori-Steel Cutter,rare
Dracogenesis,mythic
Magmatic Hellkite,rare
"Sarkhan, Dragon Ascendant",rare
Stadium Headliner,rare
Stormscale Scion,mythic
Tersa Lightshatter,rare
Bloomvine Regent // Claim Territory,rare
Herd Heirloom,rare
Lasyd Prowler,rare
Nature's Rhythm,rare
"Surrak, Elusive Hunter",rare
Warden of the Grove,rare
All-Out Assault,mythic
Awaken the Honored Dead,rare
Barrensteppe Siege,rare
"Betor, Kin to All",mythic
Call the Spirit Dragons,mythic
Death Begets Life,mythic
Dragonback Assault,mythic
Eshki Dragonclaw,rare
Fangkeeper's Familiar,rare
"Felothar, Dawn of the Abzan",rare
Flamehold Grappler,rare
Frostcliff Siege,rare
Glacierwood Siege,rare
Hollowmurk Siege,rare
Inevitable Defeat,rare
Jeskai Revelation,mythic
"Kotis, the Fangkeeper",rare
Lotuslight Dancers,rare
Mardu Siegebreaker,rare
"Narset, Jeskai Waymaster",rare
"Neriv, Heart of the Storm",mythic
New Way Forward,rare
Perennation,mythic
Rediscover the Way,rare
Revival of the Ancestors,rare
Roar of Endless Song,rare
Severance Priest,rare
"Shiko, Paragon of the Way",mythic
Songcrafter Mage,rare
Temur Battlecrier,rare
"Teval, Arbiter of Virtue",mythic
Thunder of Unity,rare
"Ureni, the Song Unending",mythic
Windcrag Siege,rare
Yathan Roadwatcher,rare
"Zurgo, Thunder's Decree",rare
Dragonfire Blade,rare
Mox Jasper,mythic
Cori Mountain Monastery,rare
Dalkovan Encampment,rare
Great Arashin City,rare
Kishla Village,rare
Maelstrom of the Spirit Dragon,rare
Mistrise Village,rare
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
Arashin Sunshield,common
Bearer of Glory,common
Coordinated Maneuver,common
Dalkovan Packbeasts,uncommon
Descendant of Storms,uncommon
Dragonback Lancer,common
Duty Beyond Death,uncommon
Fortress Kin-Guard,common
Furious Forebear,uncommon
Lightfoot Technique,common
Loxodon Battle Priest,uncommon
Mardu Devotee,common
Osseous Exhale,common
Poised Practitioner,common
Rally the Monastery,uncommon
Rebellious Strike,common
Riling Dawnbreaker // Signaling Roar,common
Salt Road Packbeast,common
Starry-Eyed Skyrider,uncommon
Static Snare,uncommon
Stormbeacon Blade,uncommon
Stormplain Detainment,common
Sunpearl Kirin,uncommon
Teeming Dragonstorm,uncommon
Tempest Hawk,common
Wayspeaker Bodyguard,uncommon
Aegis Sculptor,uncommon
Agent of Kotis,common
Bewildering Blizzard,uncommon
Constrictor Sage,uncommon
Dirgur Island Dragon // Skimming Strike,common
Dispelling Exhale,common
Dragonstorm Forecaster,uncommon
Essence Anchor,uncommon
Focus the Mind,common
Fresh Start,uncommon
Highspire Bell-Ringer,common
Humbling Elder,common
Iceridge Serpent,common
Kishla Trawlers,uncommon
Ringing Strike Mastery,common
Riverwalk Technique,common
Roiling Dragonstorm,uncommon
Sibsig Appraiser,common
Snowmelt Stag,common
Spectral Denial,uncommon
Temur Devotee,common
Unending Whisper,common
Ureni's Rebuff,uncommon
Veteran Ice Climber,uncommon
Wingblade Disciple,uncommon
Wingspan Stride,common
Abzan Devotee,common
Adorned Crocodile,common
Aggressive Negotiations,common
Alchemist's Assistant,uncommon
Alesha's Legacy,common
Caustic Exhale,common
Corroding Dragonstorm,uncommon
Cruel Truths,common
Delta Bloodflies,common
Desperate Measures,uncommon
Dragon's Prey,common
Feral Deathgorger // Dusk Sight,common
Gurmag Rakshasa,uncommon
Hundred-Battle Veteran,uncommon
Kin-Tree Nurturer,common
Krumar Initiate,uncommon
Nightblade Brigade,common
Salt Road Skirmish,uncommon
Sandskitter Outrider,common
Strategic Betrayal,uncommon
Unburied Earthcarver,common
Unrooted Ancestor,uncommon
Venerated Stormsinger,uncommon
Wail of War,uncommon
Worthy Cost,common
Yathan Tombguard,uncommon
Breaching Dragonstorm,uncommon
Channeled Dragonfire,uncommon
Devoted Duelist,common
Equilibrium Adept,uncommon
Fire-Rim Form,common
Fleeting Effigy,uncommon
Iridescent Tiger,uncommon
Jeskai Devotee,common
Meticulous Artisan,common
Molten Exhale,common
Narset's Rebuke,common
Overwhelming Surge,uncommon
Rescue Leopard,common
Reverberating Summons,uncommon
Seize Opportunity,common
Shock Brigade,common
Shocking Sharpshooter,uncommon
Stormshriek Feral // Flush Out,common
Summit Intimidator,common
Sunset Strikemaster,uncommon
Underfoot Underdogs,common
Unsparing Boltcaster,uncommon
War Effort,uncommon
Wild Ride,common
Zurgo's Vanguard,uncommon
Ainok Wayfarer,common
Attuned Hunter,uncommon
Champion of Dusan,common
Dragon Sniper,uncommon
