name,rarity
Underworld Dreams,rare
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Dreamshaper Shaman,uncommon
Hero of the Games,common
Traveler's Amulet,common
Revoke Existence,common
Temple of Abandon,rare
Plummet,common
Tectonic Giant,rare
Terror of Mount Velus,rare
Return to Nature,common
Archon of Sun's Grace,rare
Banishing Light,uncommon
Woe Strider,rare
Demon of Loathing,rare
Ilysian Caryatid,common
Wrap in Flames,common
Arasta of the Endless Web,rare
Wolfwillow Haven,uncommon
Temple of Enlightenment,rare
Temple of Plenty,rare
Temple of Malice,rare
Temple of Deceit,rare
Soul-Guide Lantern,uncommon
Gray Merchant of Asphodel,common
Indomitable Will,common
The Akroan War,rare
Venomous Hierophant,common
Gift of Strength,common
"Heliod, Sun-Crowned",mythic
"Thryx, the Sudden Storm",uncommon
Mire Triton,common
"Anax, Hardened in the Forge",uncommon
Blood Aspirant,common
Furious Rise,uncommon
Omen of the Sun,common
"Erebos, Bleak-Hearted",mythic
Mindwrack Harpy,common
The Binding of the Titans,uncommon
Destiny Spinner,uncommon
Dryad of the Ilysian Grove,rare
Nessian Wanderer,uncommon
Omen of the Hunt,common
Setessan Champion,rare
"Calix, Destiny's Hand",mythic
Portent of Betrayal,common
Field of Ruin,uncommon
Thrill of Possibility,common
Thirst for Meaning,common
Nightmare Shepherd,rare
Skola Grovedancer,common
"Athreos, Shroud-Veiled",mythic
Nessian Hornbeetle,uncommon
Nadir Kraken,rare
Riptide Turtle,common
Stinging Lionfish,uncommon
Flicker of Fate,common
Hydra's Growth,uncommon
Alseid of Life's Bounty,uncommon
Captivating Unicorn,common
Dreadful Apathy,common
Favored of Iroas,uncommon
Glory Bearers,common
Phalanx Tactics,uncommon
Pious Wayfarer,common
"Taranika, Akroan Veteran",rare
Transcendent Envoy,common
Elite Instructor,common
Wavebreak Hippocamp,rare
Impending Doom,uncommon
Irreverent Revelers,common
Relentless Pursuit,common
Thaumaturge's Familiar,common
Archon of Falling Stars,uncommon
Leonin of the Lost Pride,common
Sunmane Pegasus,common
Naiad of Hidden Coves,common
Omen of the Sea,common
Starlit Mantle,common
Towering-Wave Mystic,common
Vexing Gull,common
Whirlwind Denial,uncommon
Infuriate,common
Warbriar Blessing,common
Funeral Rites,common
Shadowspear,mythic
Heliod's Pilgrim,common
Setessan Training,common
"Uro, Titan of Nature's Wrath",mythic
Thassa's Oracle,rare
Underworld Breach,rare
Victory's Envoy,rare
Labyrinth of Skophos,rare
Idyllic Tutor,rare
"Daxos, Blessed by the Sun",uncommon
"Tymaret, Chosen from Death",uncommon
"Renata, Called to the Hunt",uncommon
"Atris, Oracle of Half-Truths",rare
"Kroxa, Titan of Death's Hunger",mythic
Treeshaker Chimera,rare
Ox of Agonas,mythic
Unknown Shores,common
Heliod's Intervention,rare
The Birth of Meletis,uncommon
Elspeth Conquers Death,rare
Heliod's Punishment,uncommon
Karametra's Blessing,common
Reverent Hoplite,uncommon
Cling to Dust,uncommon
Elspeth's Nightmare,uncommon
Lampad of Death's Vigil,common
Mogis's Favor,common
Pharika's Libation,common
Eutropia the Twice-Favored,uncommon
"Klothys, God of Destiny",mythic
Altar of the Pantheon,common
"Callaphe, Beloved of the Sea",uncommon
"Elspeth, Undaunted Hero",mythic
Ironscale Hydra,rare
Staggering Insight,rare
"Elspeth, Sun's Nemesis",mythic
"Ashiok, Nightmare Muse",mythic
"Thassa, Deep-Dwelling",mythic
"Nylea, Keen-Eyed",mythic
"Purphoros, Bronze-Blooded",mythic
"Aphemia, the Cacophony",rare
Mantle of the Wolf,rare
Shatter the Sky,rare
"Kunoros, Hound of Athreos",rare
Gallia of the Endless Dance,rare
Ashiok's Erasure,rare
Purphoros's Intervention,rare
Dream Trawler,rare
Storm Herald,rare
Nessian Boar,rare
Phoenix of Ash,rare
Nyx Lotus,rare
Nylea's Intervention,rare
Enigmatic Incarnation,rare
Eat to Extinction,rare
Storm's Wrath,rare
"Polukranos, Unchained",mythic
Haktos the Unscarred,rare
Allure of the Unknown,rare
"Dalakos, Crafter of Wonders",rare
Protean Thaumaturge,rare
Erebos's Intervention,rare
Treacherous Blessing,rare
Eidolon of Obstruction,rare
Thassa's Intervention,rare
Nyxbloom Ancient,mythic
Gravebreaker Lamia,rare
Bronzehide Lion,rare
Kiora Bests the Sea God,mythic
Tymaret Calls the Dead,rare
The First Iroan Games,rare
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
Serpent of Yawning Depths,rare
Agonizing Remorse,uncommon
Commanding Presence,uncommon
Dawn Evangel,uncommon
Daybreak Chimera,common
Hero of the Pride,common
Hero of the Winds,uncommon
Lagonna-Band Storyteller,uncommon
Nyxborn Courser,common
Rumbling Sentry,common
Sentinel's Eyes,common
Triumphant Surge,common
"Alirios, Enraptured",uncommon
Brine Giant,common
Chain to Memory,common
Deny the Divine,common
Eidolon of Philosophy,common
Glimpse of Freedom,uncommon
Ichthyomorphosis,common
Medomai's Prophecy,uncommon
Memory Drain,common
Nyxborn Seaguard,common
One with the Stars,uncommon
Sage of Mysteries,uncommon
Sea God's Scorn,uncommon
Shimmerwing Chimera,uncommon
Shoal Kraken,uncommon
Sleep of the Dead,common
Stern Dismissal,common
Sweet Oblivion,uncommon
Threnody Singer,uncommon
Triton Waverider,common
Witness of Tomorrows,common
Aspect of Lamprey,common
Blight-Breath Catoblepas,common
Discordant Piper,common
Drag to the Underworld,uncommon
Enemy of Enlightenment,uncommon
Final Death,common
Fruit of Tizerus,common
Grim Physician,common
Hateful Eidolon,uncommon
Inevitable End,uncommon
Minion's Return,uncommon
Mire's Grasp,common
Nyxborn Marauder,common
Omen of the Dead,common
Pharika's Spawn,uncommon
Rage-Scarred Berserker,common
Scavenging Harpy,common
Soulreaper of Mogis,common
Temple Thief,common
Underworld Charger,common
Arena Trickster,common
Aspect of Manticore,common
Careless Celebrant,uncommon
Dreamstalker Manticore,uncommon
Escape Velocity,uncommon
Fateful End,uncommon
Final Flare,common
Flummoxed Cyclops,common
Heroes of the Revel,uncommon
Incendiary Oracle,common
Iroas's Blessing,common
Nyxborn Brute,common
Omen of the Forge,common
Oread of Mountain's Blaze,common
Satyr's Cunning,common
Skophos Maze-Warden,uncommon
Skophos Warleader,common
Stampede Rider,common
The Triumph of Anax,uncommon
Underworld Fires,uncommon
Underworld Rage-Hound,common
Chainweb Aracnir,uncommon
Hyrax Tower Scout,common
Inspire Awe,common
Klothys's Design,uncommon
Loathsome Chimera,common
Moss Viper,common
Mystic Repeal,uncommon
Nexus Wardens,common
Nylea's Forerunner,common
Nylea's Huntmaster,common
Nyx Herald,uncommon
Nyxborn Colossus,common
Pheres-Band Brawler,uncommon
Setessan Petitioner,uncommon
Setessan Skirmisher,common
Voracious Typhon,common
Acolyte of Affliction,uncommon
Devourer of Memory,uncommon
Hero of the Nyxborn,uncommon
Mischievous Chimera,uncommon
Rise to Glory,uncommon
"Siona, Captain of the Pyleas",uncommon
Slaughter-Priest of Mogis,uncommon
Warden of the Chained,uncommon
Bronze Sword,common
Entrancing Lyre,uncommon
Mirror Shield,uncommon
Thundering Chariot,uncommon
Wings of Hubris,common
Eidolon of Inspiration,uncommon
Elspeth's Devotee,rare
Sunlit Hoplite,common
"Ashiok, Sculptor of Fears",mythic
Swimmer in Nightmares,uncommon
Ashiok's Forerunner,rare
Grasping Giant,rare
Sphinx Mindbreaker,rare
Underworld Sentinel,rare
Deathbellow War Cry,rare
