name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Valorous Stance,uncommon
Abrade,common
Evolving Wilds,common
"Thalia, Guardian of Thraben",rare
Doomed Dissenter,common
Sure Strike,common
Mulch,common
Hullbreaker Horror,rare
Overcharged Amalgam,rare
Crawling Infestation,common
Investigator's Journal,rare
Hero's Downfall,rare
Bramble Armor,common
Snarling Wolf,common
Adamant Will,common
Angelic Quartermaster,uncommon
Arm the Cathars,uncommon
Bride's Gown,uncommon
By Invitation Only,rare
Cemetery Protector,mythic
Circle of Confinement,uncommon
Dawnhart Geist,uncommon
Distracting Geist // Clever Distraction,uncommon
Drogskol Infantry // Drogskol Armaments,common
Estwald Shieldbasher,common
Faithbound Judge // Sinner's Judgment,mythic
Fierce Retribution,common
Fleeting Spirit,uncommon
Gryff Rider,common
Gryffwing Cavalry,uncommon
Hallowed Haunting,mythic
Heron of Hope,common
Heron-Blessed Geist,common
Hopeful Initiate,rare
"Katilda, Dawnhart Martyr // Katilda's Rising Dawn",rare
Kindly Ancestor // Ancestor's Embrace,common
Lantern Flare,rare
Militia Rallier,common
Nebelgast Beguiler,common
Nurturing Presence,common
Ollenbock Escort,uncommon
Panicked Bystander // Cackling Culprit,uncommon
Parish-Blade Trainee,common
Piercing Light,common
Radiant Grace // Radiant Restraints,uncommon
Resistance Squad,uncommon
Sanctify,common
Savior of Ollenbock,mythic
Sigarda's Imprisonment,common
Sigarda's Summons,rare
Supernatural Rescue,common
Traveling Minister,common
Twinblade Geist // Twinblade Invocation,uncommon
Unholy Officiant,common
Vampire Slayer,common
Voice of the Blessed,rare
Wedding Announcement // Wedding Festivity,rare
Welcoming Vampire,rare
Alchemist's Retrieval,common
Binding Geist // Spectral Binding,common
Biolume Egg // Biolume Serpent,uncommon
Cemetery Illuminator,mythic
Chill of the Grave,common
Cobbled Lancer,uncommon
Consuming Tide,rare
Cradle of Safety,common
Cruel Witness,common
Diver Skaab,uncommon
Dreadlight Monstrosity,common
Dreamshackle Geist,rare
Fear of Death,common
Geistlight Snare,uncommon
"Geralf, Visionary Stitcher",rare
Gutter Skulker // Gutter Shortcut,uncommon
Inspired Idea,rare
"Jacob Hauken, Inspector // Hauken's Insight",mythic
Lantern Bearer // Lanterns' Lift,common
Lunar Rejection,uncommon
Mirrorhall Mimic // Ghastly Mimicry,rare
Mischievous Catgeist // Catlike Curiosity,uncommon
Necroduality,mythic
Patchwork Crawler,rare
Repository Skaab,common
Scattered Thoughts,common
Screaming Swarm,uncommon
Selhoff Entomber,common
Serpentine Ambush,common
Skywarp Skaab,common
Soulcipher Board // Cipherbound Spirit,uncommon
Steelclad Spirit,common
Stitched Assistant,common
Stormchaser Drake,uncommon
Syncopate,common
Syphon Essence,common
Thirst for Discovery,uncommon
Wanderlight Spirit,common
Wash Away,uncommon
Whispering Wizard,uncommon
Winged Portent,rare
Witness the Future,uncommon
Wretched Throng,common
Aim for the Head,common
Archghoul of Thraben,uncommon
Bleed Dry,common
Blood Fountain,common
Bloodcrazed Socialite,common
Bloodsworn Squire // Bloodsworn Knight,uncommon
Bloodvial Purveyor,rare
Catapult Fodder // Catapult Captain,uncommon
Cemetery Desecrator,mythic
Concealing Curtains // Revealing Eye,rare
Courier Bat,common
Demonic Bargain,rare
Desperate Farmer // Depraved Harvester,common
Diregraf Scavenger,common
Dread Fugue,uncommon
Dreadfeast Demon,rare
Dying to Serve,rare
Edgar's Awakening,uncommon
Falkenrath Forebear,rare
Fell Stinger,uncommon
Gift of Fangs,common
Gluttonous Guest,common
Graf Reaver,rare
Grisly Ritual,common
Groom's Finery,uncommon
Headless Rider,rare
"Henrika Domnathi // Henrika, Infernal Seer",mythic
Innocent Traveler // Malicious Invader,uncommon
Mindleech Ghoul,common
Parasitic Grasp,uncommon
Path of Peril,rare
Persistent Specimen,common
Pointed Discussion,common
Ragged Recluse // Odious Witch,common
Restless Bloodseeker // Bloodsoaked Reveler,uncommon
Rot-Tide Gargantua,common
Skulking Killer,uncommon
Sorin the Mirthless,mythic
"Toxrill, the Corrosive",mythic
Undead Butler,uncommon
Undying Malice,common
Unhallowed Phalanx,common
Vampire's Kiss,common
Voldaren Bloodcaster // Bloodbat Summoner,rare
Wedding Security,uncommon
Alchemist's Gambit,rare
Alluring Suitor // Deadly Dancer,uncommon
Ancestral Anger,common
Ballista Watcher // Ballista Wielder,uncommon
Belligerent Guest,common
Blood Hypnotist,uncommon
Blood Petal Celebrant,common
Bloody Betrayal,common
Cemetery Gatekeeper,mythic
"Chandra, Dressed to Kill",mythic
Change of Fortune,rare
Creepy Puppeteer,rare
Curse of Hospitality,rare
Daybreak Combatants,common
Dominating Vampire,rare
End the Festivities,common
Falkenrath Celebrants,common
Fearful Villager // Fearsome Werewolf,common
Flame-Blessed Bolt,common
Frenzied Devils,uncommon
Honeymoon Hearse,uncommon
Hungry Ridgewolf,common
Ill-Tempered Loner // Howlpack Avenger,rare
Into the Night,uncommon
Kessig Flamebreather,common
Kessig Wolfrider,rare
Lacerate Flesh,common
Lambholt Raconteur // Lambholt Ravager,uncommon
Lightning Wolf,common
Magma Pummeler,uncommon
Manaform Hellkite,mythic
Markov Retribution,uncommon
Olivia's Attendants,rare
Pyre Spawn,common
Reckless Impulse,common
Rending Flame,uncommon
Runebound Wolf,uncommon
Sanguine Statuette,uncommon
Stensia Uprising,rare
Vampires' Vengeance,uncommon
Volatile Arsonist // Dire-Strain Anarchist,mythic
Voldaren Epicure,common
Voltaic Visionary // Volt-Charged Berserker,uncommon
Weary Prisoner // Wrathful Jailbreaker,common
Apprentice Sharpshooter,common
Ascendant Packleader,rare
Avabruck Caretaker // Hollowhenge Huntmaster,mythic
Bramble Wurm,uncommon
Cartographer's Survey,uncommon
Cemetery Prowler,mythic
Cloaked Cadet,uncommon
Crushing Canopy,common
