name,rarity
Demolish,common
Giant Growth,common
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Battlefield Promotion,common
Kasmina's Transmutation,common
Tenth District Legionnaire,common
Firemind Vessel,uncommon
Topple the Statue,uncommon
Iron Bully,common
New Horizons,common
Totally Lost,common
Paradise Druid,uncommon
Return to Nature,common
Despark,uncommon
Bond of Revival,uncommon
Pollenbright Druid,common
Bond of Discipline,uncommon
Charmed Stray,common
Wall of Runes,common
Unlikely Aid,common
Vampire Opportunist,common
"Karn, the Great Creator",mythic
"Narset, Parter of Veils",rare
"Nissa, Who Shakes the World",rare
"Teferi, Time Raveler",rare
"Domri, Anarch of Bolas",rare
Casualties of War,rare
Time Wipe,rare
Blast Zone,rare
Ajani's Pridemate,uncommon
Augur of Bolas,uncommon
Orzhov Guildgate,common
Simic Guildgate,common
Deathsprout,uncommon
Leyline Prowler,uncommon
Band Together,common
"Vivien, Champion of the Wilds",rare
Enforcer Griffin,common
Finale of Glory,mythic
Law-Rune Enforcer,common
Trusted Pegasus,common
War Screecher,common
Erratic Visionary,common
Rescuer Sphinx,uncommon
Thunder Drake,common
Tithebearer Giant,common
Chainwhip Cyclops,common
Spellgorger Weird,common
Turret Ogre,common
Challenger Troll,uncommon
Kronch Wrangler,common
Sunblade Angel,common
Wanderer's Strike,common
Cyclops Electromancer,common
Courage in Crisis,common
Finale of Devastation,mythic
"Mowu, Loyal Companion",uncommon
"Ugin, the Ineffable",rare
Grateful Apparition,uncommon
The Wanderer,uncommon
Flux Channeler,uncommon
Spark Double,rare
Dreadhorde Invasion,rare
Sarkhan the Masterless,rare
"Saheeli, Sublime Artificer",uncommon
Interplanar Beacon,uncommon
Karn's Bastion,rare
Mobilized District,rare
Spark Harvest,common
Sorin's Thirst,common
"Krenko, Tin Street Kingpin",rare
"Neheb, Dreadhorde Champion",rare
Snarespinner,common
Primordial Wurm,common
Commence the Endgame,rare
God-Eternal Oketra,mythic
Eternal Skylord,uncommon
Gleaming Overseer,uncommon
Massacre Girl,rare
Mayhem Devil,uncommon
"Liliana, Dreadhorde General",mythic
Finale of Revelation,mythic
Bolt Bend,uncommon
Gateway Plaza,common
Divine Arrow,common
"Kasmina, Enigmatic Mentor",uncommon
"Arlinn, Voice of the Pack",uncommon
Pouncing Lynx,common
"Jace, Arcane Strategist",mythic
No Escape,common
"Ob Nixilis, the Hate-Twisted",uncommon
Ob Nixilis's Cruelty,common
Spark Reaper,common
Chandra's Pyrohelix,common
Eternal Taskmaster,uncommon
Defiant Strike,common
Desperate Lunge,common
Rally of Wings,uncommon
Vraska's Finisher,common
Dreadhorde Arcanist,rare
Bond of Flourishing,uncommon
"Jiang Yanggu, Wildcrafter",uncommon
Bulwark Giant,common
Blindblast,common
Heartfire,common
Tibalt's Rager,uncommon
Mana Geode,common
Evolution Sage,uncommon
Cruel Celebrant,uncommon
Merfolk Skydiver,uncommon
Goblin Assailant,common
Prismite,common
Ironclad Krovod,common
Makeshift Battalion,common
Bolas's Citadel,rare
Gideon Blackblade,mythic
"Nicol Bolas, Dragon-God",mythic
Gideon's Sacrifice,common
Niv-Mizzet Reborn,mythic
"Roalesk, Apex Hybrid",mythic
Parhelion II,rare
Finale of Promise,mythic
Tyrant's Scorn,uncommon
Dovin's Veto,rare
Single Combat,rare
Ravnica at War,rare
