name,rarity
Commune with Nature,common
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Evolving Wilds,common
Sleight of Hand,common
Prophetic Prism,common
Titanic Growth,common
Rowdy Research,uncommon
Soul-Guide Lantern,uncommon
Disdainful Stroke,common
Crystal Grotto,common
Glass Casket,uncommon
Gingerbrute,common
Stroke of Midnight,uncommon
Mocking Sprite,common
"Ruby, Daring Tracker",uncommon
Quick Study,common
Redcap Gutter-Dweller,rare
Tough Cookie,uncommon
Boundary Lands Ranger,common
Witch's Mark,common
Ice Out,rare
Realm-Scorcher Hellkite,mythic
Archon of the Wild Rose,rare
Expel the Interlopers,rare
Moonshaker Cavalry,mythic
Regal Bunnicorn,rare
Spellbook Vendor,rare
A Tale for the Ages,rare
Three Blind Mice,rare
Virtue of Loyalty // Ardenvale Fealty,mythic
Werefox Bodyguard,rare
Asinine Antics,mythic
Extraordinary Journey,rare
Farsight Ritual,rare
Horned Loch-Whale // Lagoon Breach,rare
Ingenious Prodigy,rare
Sleep-Cursed Faerie,rare
Talion's Messenger,rare
Virtue of Knowledge // Vantress Visions,mythic
"Ashiok, Wicked Manipulator",mythic
Beseech the Mirror,mythic
The End,rare
Gumdrop Poisoner // Tempt with Treats,rare
Lich-Knights' Conquest,rare
"Lord Skitter, Sewer King",rare
Lord Skitter's Blessing,rare
Rankle's Prank,rare
Specter of Mortality,rare
Spiteful Hexmage,rare
Tangled Colony,rare
Virtue of Persistence // Locthwain Scorn,mythic
Charming Scoundrel,rare
Food Fight,rare
"Goddric, Cloaked Reveler",rare
"Imodane, the Pyrohammer",rare
Raging Battle Mouse,rare
Rotisserie Elemental,rare
Song of Totentanz,rare
Virtue of Courage // Embereth Blaze,mythic
Blossoming Tortoise,mythic
Bramble Familiar // Fetch Quest,rare
Elvish Archivist,rare
Feral Encounter,rare
Gruff Triplets,rare
The Huntsman's Redemption,rare
Sentinel of Lost Lore,rare
Thunderous Debut,rare
Virtue of Strength // Garenbrig Growth,mythic
Agatha of the Vile Cauldron,mythic
The Apprentice's Folly,rare
Eriette of the Charmed Apple,mythic
Faunsbane Troll,rare
The Goose Mother,rare
Hylda of the Icy Crown,mythic
Likeness Looter,rare
"Rowan, Scion of War",mythic
"Talion, the Kindly Lord",mythic
"Will, Scion of Peace",mythic
"Yenna, Redtooth Regent",rare
Beluna Grandsquall // Seek Thrills,mythic
Cruel Somnophage // Can't Wake Up,rare
Decadent Dragon // Expensive Taste,rare
Devouring Sugarmaw // Have for Dinner,rare
Elusive Otter // Grove's Bounty,rare
Heartflame Duelist // Heartflame Slash,rare
"Kellan, the Fae-Blooded // Birthright Boon",mythic
Mosswood Dreadknight // Dread Whispers,rare
Pollen-Shield Hare // Hare Raising,rare
Questing Druid // Seek the Beast,rare
Scalding Viper // Steam Clean,rare
Twining Twins // Swift Spiral,rare
Agatha's Soul Cauldron,mythic
Hylda's Crown of Winter,rare
The Irencrag,rare
"Syr Ginger, the Meal Ender",rare
Restless Bivouac,rare
Restless Cottage,rare
Restless Fortress,rare
Restless Spire,rare
Restless Vinestalk,rare
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
Archon's Glory,common
Armory Mice,common
Besotted Knight // Betroth the Beast,common
Break the Spell,common
Charmed Clothier,common
Cheeky House-Mouse // Squeak By,uncommon
Cooped Up,common
Cursed Courtier,uncommon
Discerning Financier,uncommon
Dutiful Griffin,uncommon
Eerie Interference,uncommon
Frostbridge Guard,common
Gallant Pie-Wielder,uncommon
Hopeful Vigil,common
Kellan's Lightblades,common
Knight of Doves,uncommon
Moment of Valor,common
Plunge into Winter,common
The Princess Takes Flight,uncommon
Protective Parents,common
Return Triumphant,common
Rimefur Reindeer,common
Savior of the Sleeping,common
Slumbering Keepguard,common
Solitary Sanctuary,uncommon
Stockpiling Celebrant,common
Tuinvale Guide,common
Unassuming Sage,common
Aquatic Alchemist // Bubble Up,common
Archive Dragon,uncommon
Beluna's Gatekeeper // Entry Denied,common
Bitter Chill,uncommon
Chancellor of Tales,uncommon
Diminisher Witch,common
Freeze in Place,common
Gadwick's First Duel,uncommon
Galvanic Giant // Storm Reading,uncommon
Icewrought Sentry,uncommon
Into the Fae Court,common
Johann's Stopgap,common
Living Lectern,common
Merfolk Coralsmith,common
Misleading Motes,common
Obyra's Attendants // Desperate Parry,common
Picklock Prankster // Free the Fae,uncommon
Snaremaster Sprite,common
Spell Stutter,common
Splashy Spellcaster,uncommon
Stormkeld Prowler,common
Succumb to the Cold,uncommon
Tenacious Tomeseeker,uncommon
Vantress Transmuter // Croaking Curse,common
Water Wings,common
Ashiok's Reaper,uncommon
Back for Seconds,uncommon
Barrow Naughty,common
Candy Grapple,common
Conceited Witch // Price of Beauty,common
Dream Spoilers,uncommon
Ego Drain,uncommon
Eriette's Whisper,common
Faerie Dreamthief,uncommon
Faerie Fencing,uncommon
Feed the Cauldron,common
Fell Horseman // Deathly Ride,common
High Fae Negotiator,uncommon
Hopeless Nightmare,common
Lord Skitter's Butcher,uncommon
Mintstrosity,common
Not Dead After All,common
Rat Out,common
Rowan's Grim Search,common
Scream Puff,common
Shatter the Oath,common
Stingblade Assassin,common
Sugar Rush,common
Sweettooth Witch,common
Taken by Nightmares,uncommon
Twisted Sewer-Witch,uncommon
Voracious Vermin,common
Warehouse Tabby,common
Wicked Visitor,common
The Witch's Vanity,uncommon
Belligerent of the Ball,uncommon
Bellowing Bruiser // Beat a Path,common
Bespoke Battlegarb,common
Cut In,common
Edgewall Pack,common
Embereth Veteran,uncommon
Flick a Coin,common
Frantic Firebolt,common
Gnawing Crescendo,common
Grabby Giant // That's Mine,common
Grand Ball Guest,common
Harried Spearguard,common
Hearth Elemental // Stoke Genius,uncommon
Kindled Heroism,common
Korvold and the Noble Thief,uncommon
Merry Bards,common
Minecart Daredevil // Ride the Rails,common
Monstrous Rage,uncommon
Ratcatcher Trainee // Pest Problem,common
Redcap Thief,common
Skewer Slinger,common
Stonesplitter Bolt,uncommon
Tattered Ratter,uncommon
Torch the Tower,common
Twisted Fealty,uncommon
