name,rarity
Demystify,common
Air Elemental,uncommon
Cancel,common
Demolish,common
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Spell Pierce,common
Seekers' Squire,common
Storm Fleet Pyromancer,common
Call to the Feast,common
Hostage Taker,rare
Costly Plunder,common
Dire Fleet Hoarder,common
Heartless Pillage,common
New Horizons,common
Unclaimed Territory,uncommon
Duress,common
Colossal Dreadmaw,common
Stone Quarry,uncommon
Rile,common
Lightning Strike,uncommon
Woodland Stream,common
Goring Ceratops,rare
Overflowing Insight,rare
Nest Robber,common
Jungle Delver,common
Favorable Winds,uncommon
Raptor Companion,common
Sure Strike,common
Chart a Course,uncommon
Sunbird's Invocation,rare
Glacial Fortress,rare
Rootbound Crag,rare
Sunpetal Grove,rare
Slice in Twain,uncommon
Dragonskull Summit,rare
Boneyard Parley,mythic
Captivating Crew,rare
Verdant Sun's Avatar,rare
Dire Fleet Ravager,mythic
Glorifier of Dusk,uncommon
Wakening Sun's Avatar,rare
Makeshift Munitions,common
Star of Extinction,rare
Pillar of Origins,uncommon
Vanquisher's Banner,rare
Daring Saboteur,uncommon
Prosperous Pirates,common
Sailor of Means,common
Siren Stormtamer,uncommon
Fiery Cannonade,common
Lightning-Rig Crew,uncommon
Rummaging Goblin,common
Pirate's Cutlass,common
Field of Ruin,uncommon
Crushing Canopy,common
Mark of the Vampire,common
Cobbled Wings,common
Captain Lannery Storm,rare
Opt,common
Drowned Catacomb,rare
Rampaging Ferocidon,rare
Sorcerous Spyglass,rare
Bishop's Soldier,common
Storm Fleet Spy,uncommon
Dive Down,common
River's Rebuke,rare
Grazing Whiptail,common
Ranging Raptors,uncommon
Ripjaw Raptor,rare
Thundering Spineback,uncommon
Bright Reprisal,uncommon
Frenzied Raptor,common
Rigging Runner,uncommon
Imperial Aerosaur,uncommon
Inspiring Cleric,uncommon
Lookout's Dispersal,uncommon
One With the Wind,common
Perilous Voyage,uncommon
River Sneak,uncommon
Shaper Apprentice,common
Storm Sculptor,common
Watertrap Weaver,common
Blight Keeper,common
Firecannon Blast,common
Trove of Temptation,uncommon
Pounce,common
Skymarch Bloodletter,common
Fathom Fleet Firebrand,common
Paladin of the Bloodstained,common
Shore Keeper,common
Wind Strider,common
Contract Killing,common
Ruthless Knave,uncommon
Sanctum Seeker,rare
Vicious Conquistador,uncommon
Commune with Dinosaurs,common
Drover of the Mighty,uncommon
Ixalli's Diviner,common
Merfolk Branchwalker,uncommon
Savage Stomp,uncommon
Hijack,common
Bellowing Aegisaur,uncommon
Kinjalli's Sunwing,rare
"Mavren Fein, Dusk Apostle",rare
Deeproot Waters,uncommon
Herald of Secret Streams,rare
"Kopala, Warden of Waves",rare
Fathom Fleet Captain,rare
Angrath's Marauders,rare
Otepec Huntmaster,uncommon
Deathgorge Scavenger,rare
Admiral Beckett Brass,mythic
Raging Swordtooth,uncommon
Regisaur Alpha,rare
"Tishana, Voice of Thunder",mythic
