name,rarity
Awestruck Cygnet,rare
Cottontail Caretaker,uncommon
Sandcloud Harbinger,uncommon
Three Tree Battalion,rare
Archival Whorl,rare
Pool Resources,uncommon
Shellfish Scholar,uncommon
Tempest Trapper,rare
Chittering Skullspeaker,uncommon
Putrefying Rotboar,rare
Sanguine Soothsayer,rare
Tasteful Offering,uncommon
Brave Meadowguard,uncommon
Charged Conjuration,rare
Cindercone Smite,uncommon
Bramblearmor Brawler,rare
Fountainport Charmer,uncommon
Traverse Valley,uncommon
Vigorous Farming,rare
Ace Flockbringer,rare
"Buxton, Decorated Host",mythic
Darkstar Banisher,rare
Dazzling Flameweaver,rare
"Euru, Acorn Scrounger",mythic
"Indris, the Hydrostatic Surge",mythic
Leaf-Leap Guide,mythic
Marshland Hordemaster,rare
Recruit Instructor,mythic
Resourceful Collector,rare
Thought Rattle,rare
