name,rarity
History of Benalia,mythic
"Rusko, Clockmaker",uncommon
By Elspeth's Command,rare
Norn's Disassembly,rare
Tawnos Endures,uncommon
Hurkyl's Prodigy,uncommon
Piece It Together,uncommon
Lonely End,uncommon
Penregon Besieged,rare
Fallaji Antiquarian,rare
Kayla's Kindling,mythic
Melt Through,uncommon
Tomakul Phoenix,rare
Argothian Uprooting,rare
Foundry Groundbreaker,rare
Legion of Clay,rare
Sylvan Smite,uncommon
Argivian Welcome,uncommon
Assemble the Team,uncommon
"Crucias, Titan of the Waves",mythic
Great Desert Hellion,rare
"Jarsyl, Dark Age Scion",mythic
Perilous Iteration,uncommon
"Raddic, Tal Zealot",rare
"Richlau, Headmaster",mythic
Yotian Courier,rare
Forgefire Automaton,mythic
Gixian Recycler,rare
Patchplate Resolute,uncommon
Urza's Construction Drone,rare
Warzone Duplicator,rare
