name,rarity
"Ethrimik, Imagined Fiend",mythic
Improvising Aerialist,uncommon
Mothlight Processionist,rare
Solitary Study // Endless Corridor,rare
Housemeld,uncommon
Lurker in the Deep,mythic
Fear of Ridicule,rare
Glimmer Hoarder,rare
Razor Demon,rare
Replicating Terror,uncommon
Welcome the Darkness,mythic
Anguished Recollection,uncommon
Crude Abattoir // Unsavory Kitchen,rare
Eager Flameguide,uncommon
Chittering Illuminator,rare
Harrowing Swarm,uncommon
Verdant Dread,mythic
Wary Zone Guard,uncommon
"Effie, Fast Learner",rare
Enduring Friendship,rare
Fear of Change,uncommon
Gilded Ambusher,rare
Golden Sidekick,uncommon
Mangled Soulrager,mythic
Mischievous Lookout,rare
Polterheist,rare
Unnatural Summons,rare
Valiant Emberkin,rare
Wingbright Thief,uncommon
Soul Shredder,rare
