name,rarity
Cogwork Progenitor,rare
Legion's Chant,rare
Radiant Smite,uncommon
Valiant Batrider,rare
Herald's Reveille,uncommon
Hymn to the Ages,mythic
Landlore Navigator,uncommon
Plunderer's Prize,rare
Chitinous Crawler,mythic
Dusk's Landing,uncommon
Legion Reconsecrator,rare
Mycelic Ballad,rare
Phantasmal Extraction,uncommon
Caldera Breaker,mythic
"Kamachal, Ship's Mascot",rare
Pirate's Landing,uncommon
Ribald Shanty,uncommon
Colossal Chorus,mythic
Mythweaver Poq,mythic
Propagator Primordium,rare
Scalespeaker Shepherd,rare
Wingbane Vantasaur,uncommon
Brazen Boarding,rare
High Marshal Arguel,rare
Merfolk Tunnel-Guide,uncommon
Mycoid Resurrection,rare
Reflection Net,uncommon
Scalesoul Gnome,rare
Stalwart Speartail,rare
"Tan Jolom, the Worldwalker",rare
