name,rarity
Sigardian Evangel,uncommon
Sanguine Brushstroke,uncommon
Toralf's Disciple,uncommon
Tenacious Pup,uncommon
Forsaken Crossroads,uncommon
Angel of Eternal Dawn,rare
Angel of Unity,uncommon
Captain Eberhart,mythic
Divine Purge,rare
Ethereal Escort,mythic
Expedition Supplier,rare
Faithful Disciple,uncommon
Inquisitor Captain,rare
Slayer's Bounty,rare
Suntail Squadron,rare
Absorb Energy,rare
Unexpected Conversion,rare
Clone Crafter,rare
Discover the Formula,rare
Geist of Regret,mythic
Geistchanneler,rare
Kindred Denial,uncommon
Obsessive Collector,rare
"Oglor, Devoted Assistant",mythic
Rimewall Protector,uncommon
Sinister Reflections,rare
Tireless Angler,rare
Cursebound Witch,uncommon
Assemble from Parts,rare
Break Expectations,uncommon
Citystalker Connoisseur,rare
"Gutmorn, Pactbound Servant",mythic
Patient Zero,rare
Predatory Sludge,rare
Puppet Raiser,mythic
Sap Vitality,rare
Veteran Ghoulcaller,rare
Arms Scavenger,rare
Bloodrage Alpha,rare
Brittle Blast,uncommon
Conductive Current,rare
Electrostatic Blast,rare
Fearsome Whelp,uncommon
Frenzied Geistblaster,rare
"Rahilda, Wanted Cutthroat // Rahilda, Feral Outlaw",mythic
"Tibalt, Wicked Tormentor",mythic
Town-Razer Tyrant,rare
Antique Collector,rare
"Garruk, Wrath of the Wilds",mythic
Geistpack Alpha,rare
Grizzled Huntmaster,rare
Hinterland Chef,rare
Hollowhenge Wrangler,rare
"Ishkanah, Broodmother",mythic
Lupine Harbingers,rare
Ravenous Pursuit,rare
Settle the Wilds,uncommon
Begin Anew,rare
"Gitrog, Horror of Zhava",rare
Key to the Archive,rare
Soulstealer Axe,uncommon
Wickerwing Effigy,rare
Ominous Traveler,rare
