name,rarity
Scrutiny of the Guildpact,uncommon
Sleuth Instructor,rare
Spotlight Falcon,rare
Case of the Lost Witness,mythic
Emporium Thopterist,uncommon
Excogitator Sphinx,rare
Mapping the Maze,uncommon
Ominous Lockbox,rare
Cackling Observer,rare
Lurking Spinecrawler,uncommon
Perforator Crocodile,mythic
Snarlfang Vermin,uncommon
Case of the Market Melee,uncommon
Concert Kaboomist,uncommon
Construction Arsonist,rare
Shove Aside,uncommon
Guildpact Greenwalker,rare
Rampaging Ursaguana,rare
Relics of the Rubblebelt,rare
Sproutwatch Dryad,rare
Woodland Investigation,uncommon
"Emmara, Voice of the Conclave",rare
"Furgul, Quag Nurturer",rare
Izzet Polarizer,rare
Juggle the Performance,mythic
"Roalesk, Prime Specimen",mythic
Scour the Scene,uncommon
"Tajic, Legion's Valor",mythic
Thought-String Analyst,rare
"Veko, Death's Doorkeeper",rare
