name,rarity
Dragonfly Pilot,uncommon
Inchblade Companion,rare
Kami of Transmutation,rare
Fragment Reality,rare
Mothrider Cavalry,mythic
Experimental Pilot,uncommon
Holographic Double,rare
Futurist Spellthief,rare
Semblance Scanner,rare
Better Offer,rare
Saiba Syphoner,mythic
Painful Bond,uncommon
Swarm Saboteur,rare
Kami of Mourning,rare
Undercity Plunder,rare
Soul Servitude,rare
Consuming Oni,mythic
Artillery Enthusiast,uncommon
Foundry Beetle,rare
Junkyard Scrapper,rare
Bellowsbreath Ogre,rare
Molten Impact,rare
Forgeborn Phoenix,mythic
Kami of Bamboo Groves,uncommon
Chronicler of Worship,rare
Boseiju Pathlighter,rare
Jukai Liberator,rare
Runaway Growth,rare
Forceful Cultivator,mythic
Imperial Blademaster,rare
