name,rarity
Ghalma the Shaper,mythic
Kemba's Outfitter,uncommon
Nettling Host,rare
Norn's Fetchling,uncommon
Quicksilver Servitor,rare
Surgical Metamorph,rare
Tezzeret's Reckoning,uncommon
Blightwing Whelp,rare
March Toward Perfection,uncommon
Sheoldred's Assimilator,rare
Hexgold Sledge,uncommon
Magmatic Scorchwing,rare
Phyrexian Harvester,mythic
"Rothga, Bonded Engulfer",mythic
Phyresis Roach,uncommon
Spawning Pod,rare
"Arek, False Goldwarden",mythic
Bladehold Cleaver,rare
Contagion Dispenser,rare
Darksteel Hydra,mythic
Glistening Extractor,rare
"Gyox, Brutal Carnivora",rare
Ichor Aberration,rare
Innovative Metatect,rare
Mephidross Slime,uncommon
Quicksilver Lapidary,uncommon
Seething Skitter-Priest,uncommon
Skullpiercer Gnat,uncommon
"Vexyr, Ich-Tekik's Heir",rare
Phyrexian Scrapyard,rare
