name,rarity
Prairie Survivalist,rare
Resolute Rejection,uncommon
Ruby Collector,rare
Saint Elenda,mythic
Stalwart Realmwarden,rare
Emerald Collector,rare
Solitary Defiance,rare
Thieving Aven,uncommon
Grave Expectations,uncommon
Pearl Collector,rare
"Rankle, Pitiless Trickster",mythic
Impetuous Lootmonger,uncommon
Sapphire Collector,rare
Switchgrass Grazer,uncommon
Wagon Wrecker,rare
Blooming Cactusfolk,rare
"Jessie Zane, Fangbringer",mythic
Jet Collector,rare
"Albiorix, Goose Tyrant // Wild Goose Chase",rare
Cathartic Operation,uncommon
Emperor Apatzec Intli IV,mythic
"Grenzo, Crooked Jailer",rare
Intruder's Inquisition,uncommon
"Nashi, Illusion Gadgeteer",rare
Silent Extraction,uncommon
Teysa of the Ghost Council,mythic
Triumphant Getaway,rare
"Vona de Iedo, the Antifex",rare
Weave the Nightmare,uncommon
Runecarved Obelisk,uncommon
