name,rarity
Celestial Vault,uncommon
Herald of Vengeance,rare
Skyline Savior,uncommon
Agent of Raffine,rare
Choice of Fortunes,uncommon
Nightclub Bouncer,uncommon
Graven Archfiend,rare
Shattering Finale,uncommon
Xander's Wake,uncommon
Big Spender,uncommon
Pass the Torch,rare
Traumatic Prank,uncommon
Giant Regrowth,uncommon
Loose in the Park,rare
Menagerie Curator,uncommon
Arming Gala,rare
Back-Alley Gardener,mythic
Bank Job,rare
Bind to Secrecy,rare
Brokers' Safeguard,rare
Cabaretti Revels,rare
Diviner of Fates,mythic
Effluence Devourer,mythic
Obscura Polymorphist,rare
Racketeer Boss,rare
Riveteers Provocateur,rare
Rope Line Attendant,rare
Spara's Bodyguard,mythic
Spelldrain Assassin,mythic
Syndicate Recruiter,rare
