name,rarity
"Lam, Storm Crane Elder",mythic
Thunderbond Vanguard,rare
Waystone's Guidance,uncommon
Cunning Azurescale // Divining Dive,rare
Pearl Lake Warden // Nesting Instinct,rare
Ureni's Counsel,uncommon
Draconic Fealty,uncommon
Runeblade Raiser,uncommon
Sibsig's Artisan,rare
Dragonblood Twins,uncommon
Dragonsoul Prodigy,rare
Dragon Typhoon,rare
Stormforged Armor,rare
Swiftspear's Teachings,uncommon
Amber-Plate Ainok,uncommon
Hardened Bonds,rare
Pampered Loamfrill,rare
Audacious Knuckleblade,rare
Call the Crash,rare
Dalkovan Outrider,rare
"Hamza, Might of the Yathan",mythic
Illuminating Lash,uncommon
Mardu Thunderkite,mythic
Oasis of Renewal,rare
Song of Seasons,uncommon
Stonehide Ancient // Warning Tremor,mythic
Territorial Strike,uncommon
"Xho Cai, Flickering Talon",mythic
Dragonweave Tapestry,rare
Desert Cenote,rare
