name,rarity
"Cerise, Slayer of Fear",rare
Dedicated Dollmaker,rare
The Conundrum of Bowls,rare
Paths of Tuinvale,uncommon
Talion's Throneguard,rare
Tome of Gadwick,rare
Dunbarrow Revivalist,uncommon
Underbridge Warlock,mythic
Draconic Debut,uncommon
Heir to Dragonfire,rare
Overcooked,mythic
Victory of the Pyrohammer,rare
A Golden Opportunity,rare
"Hex, Kellan's Companion",rare
Swine Rebellion,rare
Accident-Prone Apprentice // Amphibian Accident,uncommon
Drover of the Swine,mythic
First Little Pig,uncommon
Grow Old Together,uncommon
High Fae Prankster,rare
Jewel Mine Overseer,mythic
Outfitted Jouster,rare
Porcine Portent // Lend a Ham,rare
Second Little Pig,uncommon
Steady Tortoise // Harried Dash,uncommon
Stormkeld Curator // Giant Secrets,mythic
Syr Joshua and Syr Saxon,rare
Third Little Pig,uncommon
Captivating Crossroads,rare
Loch Larent,uncommon
