name,rarity
Plains,common
Island,common
Swamp,common
Mountain,common
Forest,common
Disenchant,common
Negate,common
Tormenting Voice,common
Rabid Bite,common
Smite the Monstrous,common
Skyclave Apparition,rare
Broken Wings,common
Lotus Cobra,rare
Feed the Swarm,common
Lithoform Engine,mythic
Into the Roil,common
Archpriest of Iona,rare
Squad Commander,rare
Malakir Blood-Priest,common
Nighthawk Scavenger,rare
Thwart the Grave,uncommon
Windrider Wizard,common
Demon's Disciple,common
"Taborax, Hope's Demise",uncommon
"Akiri, Fearless Voyager",uncommon
Felidar Retreat,rare
"Jace, Mirror Mage",mythic
Forsaken Monument,mythic
Myriad Construct,rare
"Ashaya, Soul of the Wild",mythic
Inscription of Abundance,rare
Scute Swarm,rare
Marauding Blight-Priest,common
Spitfire Lagac,common
Gnarlid Colony,common
Highborn Vampire,common
Nullpriest of Oblivion,rare
Crawling Barrens,rare
Pressure Point,common
Joraga Visionary,common
Ruin Crab,uncommon
Attended Healer,uncommon
Mesa Lynx,common
Prowling Felidar,common
Chilling Trap,common
Blood Price,common
Grotag Night-Runner,uncommon
Magmatic Channeler,rare
Canopy Baloth,common
Iridescent Hornbeetle,uncommon
Scale the Heights,common
Swarm Shambler,rare
Dauntless Unity,common
Maul of the Skyclaves,rare
Expedition Diviner,common
Blood Beckoning,common
Expedition Skulker,common
Scion of the Swarm,uncommon
Subtle Strike,common
Expedition Champion,common
Fissure Wizard,common
Goma Fada Vanguard,uncommon
Kargan Intimidator,rare
Roil Eruption,common
Scavenged Blade,common
Adventure Awaits,common
Ancient Greenwarden,mythic
Kazandu Nectarpot,common
Kazandu Stomper,common
Oran-Rief Ooze,rare
Skyclave Pick-Axe,uncommon
Territorial Scythecat,common
Cliffhaven Kitesail,common
Relic Axe,uncommon
Thieving Skydiver,rare
Archon of Emeria,rare
Skyclave Relic,rare
Vanquish the Weak,common
Luminarch Aspirant,rare
Skyclave Shade,rare
Vastwood Surge,uncommon
"Kaza, Roil Chaser",rare
Kabira Takedown // Kabira Plateau,uncommon
Sejiri Shelter // Sejiri Glacier,common
Jwari Disruption // Jwari Ruins,uncommon
Silundi Vision // Silundi Isle,common
Blackbloom Rogue // Blackbloom Bog,uncommon
Pelakka Predation // Pelakka Caverns,common
Akoum Warrior // Akoum Teeth,common
Valakut Awakening // Valakut Stoneforge,uncommon
Bala Ged Recovery // Bala Ged Sanctuary,uncommon
Khalni Ambush // Khalni Territory,common
"Moraug, Fury of Akoum",mythic
Angel of Destiny,mythic
Canyon Jerboa,uncommon
Fearless Fledgling,uncommon
Kor Celebrant,common
Ondu Inversion // Ondu Skyruins,rare
"Tazri, Beacon of Unity",mythic
Bloodchief's Thirst,uncommon
Dreadwurm,common
Hagra Mauling // Hagra Broodpit,rare
Thundering Sparkmage,uncommon
"Linvala, Shield of Sea Gate",rare
Spoils of Adventure,uncommon
Branchloft Pathway // Boulderloft Pathway,rare
Brightclimb Pathway // Grimclimb Pathway,rare
Clearwater Pathway // Murkwater Pathway,rare
Cragcrown Pathway // Timbercrown Pathway,rare
Needleverge Pathway // Pillarverge Pathway,rare
Riverglide Pathway // Lavaglide Pathway,rare
Tangled Florahedron // Tangled Vale,uncommon
Skyclave Squid,common
Akoum Hellhound,common
Skyclave Geopede,uncommon
Makindi Ox,common
Brushfire Elemental,uncommon
Valakut Exploration,rare
"Omnath, Locus of Creation",mythic
"Phylath, World Sculptor",rare
Coveted Prize,rare
"Orah, Skyclave Hierophant",rare
"Charix, the Raging Isle",rare
Nahiri's Lithoforming,rare
"Drana, the Last Bloodchief",mythic
Nimble Trapfinder,rare
Master of Winds,rare
Coralhelm Chronicler,rare
Shatterskull Charger,rare
Tajuru Paragon,rare
Legion Angel,rare
Cragplate Baloth,rare
Maddening Cacophony,rare
Leyline Tyrant,mythic
Throne of Makindi,rare
Sea Gate Stormcaller,mythic
Scourge of the Skyclaves,mythic
Wayward Guide-Beast,rare
Inscription of Ruin,rare
Shadows' Verdict,rare
Inscription of Insight,rare
"Zareth San, the Trickster",rare
"Zagras, Thief of Heartbeats",rare
"Yasharn, Implacable Earth",rare
"Verazol, the Split Current",rare
"Grakmaw, Skyclave Ravager",rare
Confounding Conundrum,rare
Soul Shatter,rare
Roiling Vortex,rare
Relic Robber,rare
"Nahiri, Heir of the Ancients",mythic
Nissa of Shadowed Boughs,mythic
Kazandu Mammoth // Kazandu Valley,rare
"Emeria's Call // Emeria, Shattered Skyclave",mythic
"Sea Gate Restoration // Sea Gate, Reborn",mythic
"Agadeem's Awakening // Agadeem, the Undercrypt",mythic
"Shatterskull Smashing // Shatterskull, the Hammer Pass",mythic
"Turntimber Symbiosis // Turntimber, Serpentine Wood",mythic
Glasspool Mimic // Glasspool Shore,rare
Plains // Plains,common
Island // Island,common
Swamp // Swamp,common
Mountain // Mountain,common
Forest // Forest,common
Allied Assault,uncommon
Angelheart Protector,common
Cliffhaven Sell-Sword,common
Emeria Captain,uncommon
Expedition Healer,common
Farsight Adept,common
Journey to Oblivion,uncommon
Kabira Outrider,common
Kitesail Cleric,uncommon
Kor Blademaster,uncommon
Makindi Stampede // Makindi Mesas,uncommon
Nahiri's Binding,common
Paired Tactician,uncommon
Practiced Tactics,common
Resolute Strike,common
Sea Gate Banneret,common
Shepherd of Heroes,common
Skyclave Cleric // Skyclave Basilica,uncommon
Tazeem Raptor,common
Anticognition,common
Beyeen Veil // Beyeen Coast,uncommon
Bubble Snare,common
Cascade Seer,common
Cleric of Chill Depths,common
Concerted Defense,uncommon
Cunning Geysermage,common
Deliberate,common
Field Research,common
Glacial Grasp,common
Living Tempest,common
Lullmage's Domination,uncommon
A-Master of Winds,rare
Merfolk Falconer,uncommon
Merfolk Windrobber,uncommon
Risen Riptide,common
Roost of Drakes,uncommon
Seafloor Stalker,common
Shell Shield,common
Skyclave Plunder,uncommon
