name,printings,rarity
Demystify,"10E, 8ED, 9ED, M12, ONS, ROE, XLN",common
Glorious Anthem,"10E, 7ED, 8ED, 9ED, M21, PJAS, PJJT, PJSE, PM21, PRM, PS11, PSUS, USG",rare
Pacifism,"10E, 6ED, 7ED, 8ED, 9ED, A25, ANB, ATH, BBD, BRB, DDC, DMR, DTK, DVD, EMA, FDN, IKO, J25, JMP, M10, M11, M12, M13, M14, M20, MIR, ONS, PLST, PS11, PSAL, TMP, TPR, USG, WC04",common
Righteousness,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 9ED, CED, CEI, DDL, ELD, FBB, J22, LEA, LEB, M10, SUM",rare
Rule of Law,"10E, M20, MRD",uncommon
Serra Angel,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 7ED, 8ED, 9ED, ANB, ATH, CED, CEI, CMA, CMD, DDC, DMR, DOM, DVD, EMA, FBB, FDN, GN3, GNT, IMA, J25, JMP, LEA, LEB, M10, M11, M12, M13, M14, M15, ME4, O90P, OANA, ORI, P30A, P30H, PDOM, PLST, PMDA, PRM, PS11, PTC, PW24, PWOS, SLD, SUM, V15, W16, W17",rare
Wrath of God,"10E, 2ED, 2XM, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, AKR, BRB, C13, CED, CEI, CMM, DMR, EMA, FBB, LEA, LEB, MP2, P07, PLST, PMEI, POR, PRM, PTC, PZ1, SLD, SUM, V14, WC00, WC03, WC04",rare
Youthful Knight,"10E, ATH, E01, ELD, MM3, PLST, PS11, STH, TPR",common
Air Elemental,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, 9ED, ANB, BRB, BTD, CED, CEI, DD2, DPA, FBB, GNT, J25, JVC, LEA, LEB, M10, M19, M20, ME4, P02, PLST, PS11, S99, SUM, W17, XLN",uncommon
Arcanis the Omnipotent,"10E, C17, DDN, DMR, EMA, FDN, ONS, PLST, PRM, SLD, WC03",rare
Cancel,"10E, AKH, ALA, DPA, FDN, KTK, M10, M11, M12, M14, M15, M19, M21, P10, PC2, PCA, PLST, PRM, PS11, RTR, TSP, XLN, ZEN",common
Flashfreeze,"10E, CSP, FDN, M10, M11, M12, MM2, PLST",uncommon
Phantom Warrior,"10E, 6ED, 7ED, 8ED, 9ED, BBD, DPA, M10, M14, M20, POR, PS11, S99, WTH",uncommon
Sift,"10E, 2XM, 9ED, A25, M19, PS11, STH, TPR",common
Snapping Drake,"10E, BTD, DPA, M10, M19, M20, PLST, POR, PS11, RAV, S99",common
Time Stop,"10E, CHK, FDN, PFDN, SLD",rare
Unsummon,"10E, 2ED, 30A, 3ED, 4BB, 4ED, 5ED, 6ED, 7ED, 8ED, ANB, CED, CEI, CON, DPA, E02, FBB, FDN, HOU, ITP, LEA, LEB, M10, M11, M12, M13, M20, PS11, RQS, SUM, WC03",common
Deathmark,"10E, CSP, FDN, M10, M11, M12, MM2",uncommon
Gravedigger,"10E, 6ED, 7ED, 8ED, 9ED, AKH, AKR, BTD, CM2, CMD, DCI, EMA, HOP, J22, J25, M10, M11, M12, M15, M19, M20, ODY, PLST, POR, PS11, PSAL, S99, TMP, TPR",common
Mind Rot,"10E, 7ED, 8ED, 9ED, DPA, DTK, KLD, KLR, M10, M11, M12, M13, M14, M15, M19, M20, M21, ORI, P02, PLST, POR, PS11, RTR, S99, W16",common
Nantuko Husk,"10E, 9ED, CMD, J25, ONS, ORI, PIO, PLST, PSAL",uncommon
