1,Anoint with Affliction
3,Cut Down
4,Darkslick Shores
4,Deep-Cavern Bat
1,Dreams of Steel and Oil
3,Enduring Curiosity
4,Floodpits Drowner
1,Fountainport
1,Gix's Command
4,Gloomlake Verge
3,Go for the Throat
3,Island
3,"Kaito, Bane of Nightmares"
3,Preacher of the Schism
2,Qarsi Revenant
2,Restless Reef
1,"Sheoldred, the Apocalypse"
2,Soulstone Sanctuary
1,Spell Pierce
4,Spyglass Siren
5,Swamp
1,Tishana's Tidebinder
4,Underground River
1,Anoint with Affliction
1,Cut Down
1,Dreams of Steel and Oil
2,Duress
1,Faerie Mastermind
2,Ghost Vacuum
1,"Kaito, Bane of Nightmares"
1,Negate
1,"Sheoldred, the Apocalypse"
1,Sword of Once and Future
1,The Filigree Sylex
2,Tishana's Tidebinder
